year,basin,region,no,name,time,intensity,lat,lon
2004,WP,MM,1,RANANIM,2004-08-06:00:00:00,TS,15.3,136.8
2004,WP,MM,2,RANANIM,2004-08-06:03:00:00,TS,15.2962,135.715
2004,WP,MM,3,RANANIM,2004-08-06:06:00:00,TS,15.3,134.7
2004,WP,MM,4,RANANIM,2004-08-06:09:00:00,TS,15.327,133.805
2004,WP,MM,5,RANANIM,2004-08-06:12:00:00,TS,15.4,133
2004,WP,MM,6,RANANIM,2004-08-06:15:00:00,TS,15.5502,132.16
2004,WP,MM,7,RANANIM,2004-08-06:18:00:00,TS,15.7,131.5
2004,WP,MM,8,RANANIM,2004-08-06:21:00:00,TS,15.7646,131.167
2004,WP,MM,9,RANANIM,2004-08-07:00:00:00,TS,15.6889,130.911
2004,WP,MM,10,RANANIM,2004-08-07:03:00:00,TS,15.6975,130.659
2004,WP,MM,11,RANANIM,2004-08-07:06:00:00,TS,15.7636,130.464
2004,WP,MM,12,RANANIM,2004-08-07:09:00:00,TS,15.8733,130.304
2004,WP,MM,13,RANANIM,2004-08-07:12:00:00,TS,16.0333,130.2
2004,WP,MM,14,RANANIM,2004-08-07:15:00:00,TS,16.2058,130.116
2004,WP,MM,15,RANANIM,2004-08-07:18:00:00,TS,16.4333,130.067
2004,WP,MM,16,RANANIM,2004-08-07:21:00:00,TS,16.7467,130.052
2004,WP,MM,17,RANANIM,2004-08-08:00:00:00,TS,17.1,130.067
2004,WP,MM,18,RANANIM,2004-08-08:03:00:00,TS,17.4458,130.088
2004,WP,MM,19,RANANIM,2004-08-08:06:00:00,TS,17.7692,130.162
2004,WP,MM,20,RANANIM,2004-08-08:09:00:00,TS,18.0054,130.229
2004,WP,MM,21,RANANIM,2004-08-08:12:00:00,TS,18.2533,130.3
2004,WP,MM,22,RANANIM,2004-08-08:15:00:00,TS,18.6069,130.404
2004,WP,MM,23,RANANIM,2004-08-08:18:00:00,TS,18.975,130.475
2004,WP,MM,24,RANANIM,2004-08-08:21:00:00,TS,19.2669,130.438
2004,WP,MM,25,RANANIM,2004-08-09:00:00:00,TS,19.525,130.325
2004,WP,MM,26,RANANIM,2004-08-09:03:00:00,TS,19.7844,130.187
2004,WP,MM,27,RANANIM,2004-08-09:06:00:00,TS,20.025,130
2004,WP,MM,28,RANANIM,2004-08-09:09:00:00,TS,20.2468,129.798
2004,WP,MM,29,RANANIM,2004-08-09:12:00:00,TS,20.45,129.525
2004,WP,MM,30,RANANIM,2004-08-09:15:00:00,TS,20.6321,129.131
2004,WP,MM,31,RANANIM,2004-08-09:18:00:00,TS,20.825,128.725
2004,WP,MM,32,RANANIM,2004-08-09:21:00:00,TS,21.0468,128.399
2004,WP,MM,33,RANANIM,2004-08-10:00:00:00,TS,21.325,128.175
2004,WP,MM,34,RANANIM,2004-08-10:03:00:00,TS,21.7111,128.11
2004,WP,MM,35,RANANIM,2004-08-10:06:00:00,TS,22.075,128.05
