year,basin,region,no,name,time,intensity,lat,lon
2004,WP,MM,1,TINGTING,2004-06-24:18:00:00,NR,11.6,153.8
2004,WP,MM,2,TINGTING,2004-06-24:21:00:00,NR,11.6,153.55
2004,WP,MM,3,TINGTING,2004-06-25:00:00:00,TS,11.48,153.3
2004,WP,MM,4,TINGTING,2004-06-25:03:00:00,TS,11.5413,152.991
2004,WP,MM,5,TINGTING,2004-06-25:06:00:00,TS,11.6,152.68
2004,WP,MM,6,TINGTING,2004-06-25:09:00:00,TS,11.6075,152.402
2004,WP,MM,7,TINGTING,2004-06-25:12:00:00,TS,11.6,152.169
2004,WP,MM,8,TINGTING,2004-06-25:15:00:00,TS,11.6453,151.954
2004,WP,MM,9,TINGTING,2004-06-25:18:00:00,TS,11.7,151.727
2004,WP,MM,10,TINGTING,2004-06-25:21:00:00,TS,11.7375,151.448
2004,WP,MM,11,TINGTING,2004-06-26:00:00:00,TS,11.775,151.175
2004,WP,MM,12,TINGTING,2004-06-26:03:00:00,TS,11.8025,150.949
2004,WP,MM,13,TINGTING,2004-06-26:06:00:00,TS,11.875,150.75
2004,WP,MM,14,TINGTING,2004-06-26:09:00:00,TS,12.0118,150.562
2004,WP,MM,15,TINGTING,2004-06-26:12:00:00,TS,12.25,150.375
2004,WP,MM,16,TINGTING,2004-06-26:15:00:00,TS,12.6224,150.202
2004,WP,MM,17,TINGTING,2004-06-26:18:00:00,TS,13.025,149.95
2004,WP,MM,18,TINGTING,2004-06-26:21:00:00,TS,13.3352,149.521
2004,WP,MM,19,TINGTING,2004-06-27:00:00:00,TS,13.6,149.05
2004,WP,MM,20,TINGTING,2004-06-27:03:00:00,TS,13.8374,148.681
2004,WP,MM,21,TINGTING,2004-06-27:06:00:00,TS,14.075,148.35
2004,WP,MM,22,TINGTING,2004-06-27:09:00:00,TS,14.3362,148.023
2004,WP,MM,23,TINGTING,2004-06-27:12:00:00,TS,14.65,147.7
