year,basin,region,no,name,time,intensity,lat,lon
2004,WP,MM,1,NOT_NAMED,2004-03-14:00:00:00,NR,3,143.3
2004,WP,MM,2,NOT_NAMED,2004-03-14:03:00:00,NR,3.46758,142.785
2004,WP,MM,3,NOT_NAMED,2004-03-14:06:00:00,NR,4,142.3
2004,WP,MM,4,NOT_NAMED,2004-03-14:09:00:00,NR,4.62247,141.87
2004,WP,MM,5,NOT_NAMED,2004-03-14:12:00:00,NR,5.2,141.5
2004,WP,MM,6,NOT_NAMED,2004-03-14:15:00:00,NR,5.59493,141.192
2004,WP,MM,7,NOT_NAMED,2004-03-14:18:00:00,NR,5.9,140.9
2004,WP,MM,8,NOT_NAMED,2004-03-14:21:00:00,NR,6.22249,140.557
2004,WP,MM,9,NOT_NAMED,2004-03-15:00:00:00,NR,6.5,140.2
2004,WP,MM,10,NOT_NAMED,2004-03-15:03:00:00,NR,6.73746,139.857
2004,WP,MM,11,NOT_NAMED,2004-03-15:06:00:00,NR,6.9,139.5
2004,WP,MM,12,NOT_NAMED,2004-03-15:09:00:00,NR,6.98753,139.085
2004,WP,MM,13,NOT_NAMED,2004-03-15:12:00:00,NR,7,138.7
2004,WP,MM,14,NOT_NAMED,2004-03-15:15:00:00,NR,6.97996,138.412
2004,WP,MM,15,NOT_NAMED,2004-03-15:18:00:00,NR,6.9,138.2
2004,WP,MM,16,NOT_NAMED,2004-03-15:21:00:00,NR,6.76498,138.035
2004,WP,MM,17,NOT_NAMED,2004-03-16:00:00:00,TS,6.58,137.92
2004,WP,MM,18,NOT_NAMED,2004-03-16:03:00:00,TS,6.42249,137.747
2004,WP,MM,19,NOT_NAMED,2004-03-16:06:00:00,TS,6.25714,137.514
2004,WP,MM,20,NOT_NAMED,2004-03-16:09:00:00,TS,6.07125,137.211
2004,WP,MM,21,NOT_NAMED,2004-03-16:12:00:00,TS,5.9,136.9
2004,WP,MM,22,NOT_NAMED,2004-03-16:15:00:00,TS,5.7412,136.619
2004,WP,MM,23,NOT_NAMED,2004-03-16:18:00:00,TS,5.65,136.3
2004,WP,MM,24,NOT_NAMED,2004-03-16:21:00:00,TS,5.66248,135.905
2004,WP,MM,25,NOT_NAMED,2004-03-17:00:00:00,TS,5.75,135.45
2004,WP,MM,26,NOT_NAMED,2004-03-17:03:00:00,TS,5.85629,134.935
2004,WP,MM,27,NOT_NAMED,2004-03-17:06:00:00,TS,6,134.45
2004,WP,MM,28,NOT_NAMED,2004-03-17:09:00:00,TS,6.15617,134.114
2004,WP,MM,29,NOT_NAMED,2004-03-17:12:00:00,TS,6.35,133.8
2004,WP,MM,30,NOT_NAMED,2004-03-17:15:00:00,TS,6.56615,133.42
2004,WP,MM,31,NOT_NAMED,2004-03-17:18:00:00,TS,6.85,132.95
2004,WP,MM,32,NOT_NAMED,2004-03-17:21:00:00,TS,7.20881,132.347
2004,WP,MM,33,NOT_NAMED,2004-03-18:00:00:00,TS,7.65,131.7
2004,WP,MM,34,NOT_NAMED,2004-03-18:03:00:00,TS,8.16368,131.106
2004,WP,MM,35,NOT_NAMED,2004-03-18:06:00:00,TS,8.88889,130.489
2004,WP,MM,36,NOT_NAMED,2004-03-18:09:00:00,TS,9.46444,129.974
2004,WP,MM,37,NOT_NAMED,2004-03-18:12:00:00,TS,9.90909,129.536
2004,WP,MM,38,NOT_NAMED,2004-03-18:15:00:00,TS,10.2316,129.135
2004,WP,MM,39,NOT_NAMED,2004-03-18:18:00:00,TS,10.4667,128.767
2004,WP,MM,40,NOT_NAMED,2004-03-18:21:00:00,TS,10.7166,128.432
2004,WP,MM,41,NOT_NAMED,2004-03-19:00:00:00,TS,10.9667,128.133
2004,WP,MM,42,NOT_NAMED,2004-03-19:03:00:00,TS,11.2216,127.859
