year,basin,region,no,name,time,intensity,lat,lon
2005,NA,NA,1,HARVEY,2005-08-02:18:00:00,TS,28.2,-68.8
2005,NA,NA,2,HARVEY,2005-08-02:21:00:00,TS,28.565,-68.7452
2005,NA,NA,3,HARVEY,2005-08-03:00:00:00,TS,28.9,-68.7
2005,NA,NA,4,HARVEY,2005-08-03:03:00:00,TS,29.1925,-68.6648
2005,NA,NA,5,HARVEY,2005-08-03:06:00:00,TS,29.5,-68.6
2005,NA,NA,6,HARVEY,2005-08-03:09:00:00,TS,29.8999,-68.4874
2005,NA,NA,7,HARVEY,2005-08-03:12:00:00,TS,30.3,-68.3
2005,NA,NA,8,HARVEY,2005-08-03:15:00:00,TS,30.6295,-68.0747
2005,NA,NA,9,HARVEY,2005-08-03:18:00:00,TS,30.9,-67.7
2005,NA,NA,10,HARVEY,2005-08-03:21:00:00,TS,31.1227,-67.11
2005,NA,NA,11,HARVEY,2005-08-04:00:00:00,TS,31.3,-66.4
2005,NA,NA,12,HARVEY,2005-08-04:03:00:00,TS,31.4572,-65.7072
2005,NA,NA,13,HARVEY,2005-08-04:06:00:00,TS,31.6,-65
2005,NA,NA,14,HARVEY,2005-08-04:09:00:00,TS,31.7645,-64.3076
2005,NA,NA,15,HARVEY,2005-08-04:12:00:00,TS,31.9,-63.6
2005,NA,NA,16,HARVEY,2005-08-04:15:00:00,TS,31.9646,-62.8646
2005,NA,NA,17,HARVEY,2005-08-04:18:00:00,TS,32,-62.1
2005,NA,NA,18,HARVEY,2005-08-04:21:00:00,TS,32.0353,-61.2697
2005,NA,NA,19,HARVEY,2005-08-05:00:00:00,TS,32.1,-60.5
2005,NA,NA,20,HARVEY,2005-08-05:03:00:00,TS,32.2494,-59.8978
2005,NA,NA,21,HARVEY,2005-08-05:06:00:00,TS,32.4,-59.4
2005,NA,NA,22,HARVEY,2005-08-05:09:00:00,TS,32.4722,-58.9273
2005,NA,NA,23,HARVEY,2005-08-05:12:00:00,TS,32.5,-58.5
2005,NA,NA,24,HARVEY,2005-08-05:15:00:00,TS,32.4999,-58.0773
2005,NA,NA,25,HARVEY,2005-08-05:18:00:00,TS,32.5,-57.7
2005,NA,NA,26,HARVEY,2005-08-05:21:00:00,TS,32.5199,-57.3624
2005,NA,NA,27,HARVEY,2005-08-06:00:00:00,TS,32.6,-57.1
2005,NA,NA,28,HARVEY,2005-08-06:03:00:00,TS,32.7699,-56.9126
2005,NA,NA,29,HARVEY,2005-08-06:06:00:00,TS,33,-56.8
2005,NA,NA,30,HARVEY,2005-08-06:09:00:00,TS,33.28,-56.7275
2005,NA,NA,31,HARVEY,2005-08-06:12:00:00,TS,33.5,-56.7
2005,NA,NA,32,HARVEY,2005-08-06:15:00:00,TS,33.492,-56.7818
2005,NA,NA,33,HARVEY,2005-08-06:18:00:00,TS,33.5,-56.7
2005,NA,NA,34,HARVEY,2005-08-06:21:00:00,TS,33.7261,-56.1458
2005,NA,NA,35,HARVEY,2005-08-07:00:00:00,TS,34.1,-55.5
2005,NA,NA,36,HARVEY,2005-08-07:03:00:00,TS,34.5768,-55.1766
2005,NA,NA,37,HARVEY,2005-08-07:06:00:00,TS,35.1,-54.9
2005,NA,NA,38,HARVEY,2005-08-07:09:00:00,TS,35.5649,-54.4872
2005,NA,NA,39,HARVEY,2005-08-07:12:00:00,TS,36,-54
2005,NA,NA,40,HARVEY,2005-08-07:15:00:00,TS,36.4075,-53.4571
2005,NA,NA,41,HARVEY,2005-08-07:18:00:00,TS,36.8,-52.9
2005,NA,NA,42,HARVEY,2005-08-07:21:00:00,TS,37.1845,-52.4063
2005,NA,NA,43,HARVEY,2005-08-08:00:00:00,TS,37.6,-51.9
2005,NA,NA,44,HARVEY,2005-08-08:03:00:00,TS,38.0836,-51.3808
2005,NA,NA,45,HARVEY,2005-08-08:06:00:00,TS,38.6,-50.7
2005,NA,NA,46,HARVEY,2005-08-08:09:00:00,TS,39.1164,-49.6886
2005,NA,NA,47,HARVEY,2005-08-08:12:00:00,TS,39.6,-48.6
2005,NA,NA,48,HARVEY,2005-08-08:15:00:00,TS,40.0133,-47.7326
2005,NA,NA,49,HARVEY,2005-08-08:18:00:00,TS,40.4,-46.9
2005,NA,NA,50,HARVEY,2005-08-08:21:00:00,TS,40.8144,-45.9721
2005,NA,NA,51,HARVEY,2005-08-09:00:00:00,ET,41.2,-45
2005,NA,NA,52,HARVEY,2005-08-09:03:00:00,ET,41.522,-43.999
2005,NA,NA,53,HARVEY,2005-08-09:06:00:00,ET,41.8,-43
2005,NA,NA,54,HARVEY,2005-08-09:09:00:00,ET,42.0411,-42.0554
2005,NA,NA,55,HARVEY,2005-08-09:12:00:00,ET,42.3,-41.1
2005,NA,NA,56,HARVEY,2005-08-09:15:00:00,ET,42.6124,-40.0489
2005,NA,NA,57,HARVEY,2005-08-09:18:00:00,ET,43,-39
2005,NA,NA,58,HARVEY,2005-08-09:21:00:00,ET,43.5138,-38.036
2005,NA,NA,59,HARVEY,2005-08-10:00:00:00,ET,44,-37.1
2005,NA,NA,60,HARVEY,2005-08-10:03:00:00,ET,44.3254,-36.0895
2005,NA,NA,61,HARVEY,2005-08-10:06:00:00,ET,44.5,-35.2
2005,NA,NA,62,HARVEY,2005-08-10:09:00:00,ET,44.5437,-34.5811
2005,NA,NA,63,HARVEY,2005-08-10:12:00:00,ET,44.5,-34.1
2005,NA,NA,64,HARVEY,2005-08-10:15:00:00,ET,44.4648,-33.5851
2005,NA,NA,65,HARVEY,2005-08-10:18:00:00,ET,44.4,-33.1
2005,NA,NA,66,HARVEY,2005-08-10:21:00:00,ET,44.3149,-32.6276
