year,basin,region,no,name,time,intensity,lat,lon
2009,WP,MM,1,KROVANH,2009-08-26:06:00:00,NR,20.1,151.1
2009,WP,MM,2,KROVANH,2009-08-26:09:00:00,NR,19.935,150.97
2009,WP,MM,3,KROVANH,2009-08-26:12:00:00,NR,19.8,150.8
2009,WP,MM,4,KROVANH,2009-08-26:15:00:00,NR,19.72,150.565
2009,WP,MM,5,KROVANH,2009-08-26:18:00:00,NR,19.7,150.3
2009,WP,MM,6,KROVANH,2009-08-26:21:00:00,NR,19.7199,150.057
2009,WP,MM,7,KROVANH,2009-08-27:00:00:00,NR,19.8,149.8
2009,WP,MM,8,KROVANH,2009-08-27:03:00:00,NR,19.9275,149.5
2009,WP,MM,9,KROVANH,2009-08-27:06:00:00,NR,20.1,149.2
2009,WP,MM,10,KROVANH,2009-08-27:09:00:00,NR,20.285,148.935
2009,WP,MM,11,KROVANH,2009-08-27:12:00:00,NR,20.5,148.7
2009,WP,MM,12,KROVANH,2009-08-27:15:00:00,NR,20.735,148.477
2009,WP,MM,13,KROVANH,2009-08-27:18:00:00,NR,21,148.3
2009,WP,MM,14,KROVANH,2009-08-27:21:00:00,NR,21.2625,148.163
2009,WP,MM,15,KROVANH,2009-08-28:00:00:00,TS,21.5429,148.514
2009,WP,MM,16,KROVANH,2009-08-28:03:00:00,TS,22.041,148.696
2009,WP,MM,17,KROVANH,2009-08-28:06:00:00,TS,22.6,148.8
2009,WP,MM,18,KROVANH,2009-08-28:09:00:00,TS,23.1769,148.831
2009,WP,MM,19,KROVANH,2009-08-28:12:00:00,TS,23.75,148.775
2009,WP,MM,20,KROVANH,2009-08-28:15:00:00,TS,24.278,148.714
2009,WP,MM,21,KROVANH,2009-08-28:18:00:00,TS,24.825,148.55
2009,WP,MM,22,KROVANH,2009-08-28:21:00:00,TS,25.4457,148.215
2009,WP,MM,23,KROVANH,2009-08-29:00:00:00,TS,26.1,147.775
2009,WP,MM,24,KROVANH,2009-08-29:03:00:00,TS,26.7537,147.324
2009,WP,MM,25,KROVANH,2009-08-29:06:00:00,TS,27.4,146.85
2009,WP,MM,26,KROVANH,2009-08-29:09:00:00,TS,28.0174,146.431
2009,WP,MM,27,KROVANH,2009-08-29:12:00:00,TS,28.625,145.925
2009,WP,MM,28,KROVANH,2009-08-29:15:00:00,TS,29.2784,145.24
2009,WP,MM,29,KROVANH,2009-08-29:18:00:00,TS,29.85,144.4
2009,WP,MM,30,KROVANH,2009-08-29:21:00:00,TS,30.2407,143.417
2009,WP,MM,31,KROVANH,2009-08-30:00:00:00,TS,30.525,142.45
2009,WP,MM,32,KROVANH,2009-08-30:03:00:00,TS,30.7825,141.62
2009,WP,MM,33,KROVANH,2009-08-30:06:00:00,TS,31.05,141.025
2009,WP,MM,34,KROVANH,2009-08-30:09:00:00,TS,31.3951,140.738
2009,WP,MM,35,KROVANH,2009-08-30:12:00:00,TS,31.8,140.55
2009,WP,MM,36,KROVANH,2009-08-30:15:00:00,TS,32.1801,140.251
2009,WP,MM,37,KROVANH,2009-08-30:18:00:00,TS,32.65,140
2009,WP,MM,38,KROVANH,2009-08-30:21:00:00,TS,33.0723,139.887
2009,WP,MM,39,KROVANH,2009-08-31:00:00:00,TS,33.525,139.925
2009,WP,MM,40,KROVANH,2009-08-31:03:00:00,TS,34.0137,140.092
2009,WP,MM,41,KROVANH,2009-08-31:06:00:00,TS,34.625,140.525
2009,WP,MM,42,KROVANH,2009-08-31:09:00:00,TS,35.4404,140.966
2009,WP,MM,43,KROVANH,2009-08-31:12:00:00,TS,36.4,141.5
2009,WP,MM,44,KROVANH,2009-08-31:15:00:00,TS,37.3136,142.147
2009,WP,MM,45,KROVANH,2009-08-31:18:00:00,TS,38.325,142.925
2009,WP,MM,46,KROVANH,2009-08-31:21:00:00,TS,39.3392,143.773
2009,WP,MM,47,KROVANH,2009-09-01:00:00:00,MX,40.3,144.621
2009,WP,MM,48,KROVANH,2009-09-01:03:00:00,MX,41.3077,145.451
2009,WP,MM,49,KROVANH,2009-09-01:06:00:00,MX,42.2,146.31
2009,WP,MM,50,KROVANH,2009-09-01:09:00:00,TS,42.6618,147.252
2009,WP,MM,51,KROVANH,2009-09-01:12:00:00,ET,42.9,148.25
2009,WP,MM,52,KROVANH,2009-09-01:15:00:00,ET,43.1358,149.235
2009,WP,MM,53,KROVANH,2009-09-01:18:00:00,ET,43.3,150.3
2009,WP,MM,54,KROVANH,2009-09-01:21:00:00,ET,43.4328,151.497
2009,WP,MM,55,KROVANH,2009-09-02:00:00:00,ET,43.5,152.8
2009,WP,MM,56,KROVANH,2009-09-02:03:00:00,ET,43.4983,154.162
2009,WP,MM,57,KROVANH,2009-09-02:06:00:00,ET,43.45,155.55
