year,basin,region,no,name,time,intensity,lat,lon
2009,WP,MM,1,MELOR,2009-09-28:12:00:00,NR,7.3,163.8
2009,WP,MM,2,MELOR,2009-09-28:15:00:00,NR,7.82513,163.265
2009,WP,MM,3,MELOR,2009-09-28:18:00:00,NR,8.3,162.7
2009,WP,MM,4,MELOR,2009-09-28:21:00:00,NR,8.69988,162.08
2009,WP,MM,5,MELOR,2009-09-29:00:00:00,NR,9.1,161.4
2009,WP,MM,6,MELOR,2009-09-29:03:00:00,NR,9.63006,160.643
2009,WP,MM,7,MELOR,2009-09-29:06:00:00,TS,9.97143,159.943
2009,WP,MM,8,MELOR,2009-09-29:09:00:00,TS,10.2625,158.91
2009,WP,MM,9,MELOR,2009-09-29:12:00:00,TS,10.5231,157.938
2009,WP,MM,10,MELOR,2009-09-29:15:00:00,TS,10.7226,157.272
2009,WP,MM,11,MELOR,2009-09-29:18:00:00,TS,10.925,156.85
2009,WP,MM,12,MELOR,2009-09-29:21:00:00,TS,11.2191,156.411
2009,WP,MM,13,MELOR,2009-09-30:00:00:00,TS,11.6,155.95
2009,WP,MM,14,MELOR,2009-09-30:03:00:00,TS,12.1158,155.355
2009,WP,MM,15,MELOR,2009-09-30:06:00:00,TS,12.575,154.775
2009,WP,MM,16,MELOR,2009-09-30:09:00:00,TS,12.783,154.32
2009,WP,MM,17,MELOR,2009-09-30:12:00:00,TS,12.875,153.975
2009,WP,MM,18,MELOR,2009-09-30:15:00:00,TS,12.9618,153.714
2009,WP,MM,19,MELOR,2009-09-30:18:00:00,TS,13.075,153.525
2009,WP,MM,20,MELOR,2009-09-30:21:00:00,TS,13.3011,153.381
2009,WP,MM,21,MELOR,2009-10-01:00:00:00,TS,13.55,153.2
2009,WP,MM,22,MELOR,2009-10-01:03:00:00,TS,13.7457,152.865
2009,WP,MM,23,MELOR,2009-10-01:06:00:00,TS,13.9,152.5
2009,WP,MM,24,MELOR,2009-10-01:09:00:00,TS,14.0299,152.23
2009,WP,MM,25,MELOR,2009-10-01:12:00:00,TS,14.1,151.975
2009,WP,MM,26,MELOR,2009-10-01:15:00:00,TS,14.0751,151.658
2009,WP,MM,27,MELOR,2009-10-01:18:00:00,TS,14.05,151.375
2009,WP,MM,28,MELOR,2009-10-01:21:00:00,TS,14.1274,151.217
2009,WP,MM,29,MELOR,2009-10-02:00:00:00,TS,14.25,151.075
2009,WP,MM,30,MELOR,2009-10-02:03:00:00,TS,14.3506,150.857
2009,WP,MM,31,MELOR,2009-10-02:06:00:00,TS,14.5,150.575
2009,WP,MM,32,MELOR,2009-10-02:09:00:00,TS,14.7567,150.256
2009,WP,MM,33,MELOR,2009-10-02:12:00:00,TS,15.025,149.85
2009,WP,MM,34,MELOR,2009-10-02:15:00:00,TS,15.2101,149.327
2009,WP,MM,35,MELOR,2009-10-02:18:00:00,TS,15.35,148.775
2009,WP,MM,36,MELOR,2009-10-02:21:00:00,TS,15.4397,148.314
2009,WP,MM,37,MELOR,2009-10-03:00:00:00,TS,15.575,147.85
2009,WP,MM,38,MELOR,2009-10-03:03:00:00,TS,15.8797,147.345
2009,WP,MM,39,MELOR,2009-10-03:06:00:00,TS,16.2,146.75
2009,WP,MM,40,MELOR,2009-10-03:09:00:00,TS,16.4113,146.019
2009,WP,MM,41,MELOR,2009-10-03:12:00:00,TS,16.525,145.225
2009,WP,MM,42,MELOR,2009-10-03:15:00:00,TS,16.5292,144.455
