year,basin,region,no,name,time,intensity,lat,lon
2021,WP,MM,1,CHAMPI,2021-06-21:00:00:00,TS,11.25,147.45
2021,WP,MM,2,CHAMPI,2021-06-21:03:00:00,TS,11.4974,146.931
2021,WP,MM,3,CHAMPI,2021-06-21:06:00:00,TS,11.7408,146.405
2021,WP,MM,4,CHAMPI,2021-06-21:09:00:00,TS,11.979,145.87
2021,WP,MM,5,CHAMPI,2021-06-21:12:00:00,TS,12.2196,145.357
2021,WP,MM,6,CHAMPI,2021-06-21:15:00:00,TS,12.4656,144.906
2021,WP,MM,7,CHAMPI,2021-06-21:18:00:00,TS,12.7261,144.455
2021,WP,MM,8,CHAMPI,2021-06-21:21:00:00,TS,13.0144,143.931
2021,WP,MM,9,CHAMPI,2021-06-22:00:00:00,TS,13.3,143.4
2021,WP,MM,10,CHAMPI,2021-06-22:03:00:00,TS,13.5624,142.917
2021,WP,MM,11,CHAMPI,2021-06-22:06:00:00,TS,13.7885,142.447
2021,WP,MM,12,CHAMPI,2021-06-22:09:00:00,TS,13.9599,141.947
2021,WP,MM,13,CHAMPI,2021-06-22:12:00:00,TS,14.1308,141.482
2021,WP,MM,14,CHAMPI,2021-06-22:15:00:00,TS,14.312,141.081
2021,WP,MM,15,CHAMPI,2021-06-22:18:00:00,TS,14.5711,140.773
2021,WP,MM,16,CHAMPI,2021-06-22:21:00:00,TS,15.0399,140.583
2021,WP,MM,17,CHAMPI,2021-06-23:00:00:00,TS,15.6,140.5
2021,WP,MM,18,CHAMPI,2021-06-23:03:00:00,TS,16.2075,140.607
2021,WP,MM,19,CHAMPI,2021-06-23:06:00:00,TS,16.8,140.7
2021,WP,MM,20,CHAMPI,2021-06-23:09:00:00,TS,17.3101,140.53
2021,WP,MM,21,CHAMPI,2021-06-23:12:00:00,TS,17.7,140.3
2021,WP,MM,22,CHAMPI,2021-06-23:15:00:00,TS,17.93,140.17
2021,WP,MM,23,CHAMPI,2021-06-23:18:00:00,TS,18.1,140.1
2021,WP,MM,24,CHAMPI,2021-06-23:21:00:00,TS,18.3275,140.092
2021,WP,MM,25,CHAMPI,2021-06-24:00:00:00,TS,18.6,140.1
2021,WP,MM,26,CHAMPI,2021-06-24:03:00:00,TS,18.95,140.072
2021,WP,MM,27,CHAMPI,2021-06-24:06:00:00,TS,19.3,140
2021,WP,MM,28,CHAMPI,2021-06-24:09:00:00,TS,19.55,139.857
2021,WP,MM,29,CHAMPI,2021-06-24:12:00:00,TS,19.8,139.7
2021,WP,MM,30,CHAMPI,2021-06-24:15:00:00,TS,20.135,139.592
2021,WP,MM,31,CHAMPI,2021-06-24:18:00:00,TS,20.5,139.5
2021,WP,MM,32,CHAMPI,2021-06-24:21:00:00,TS,20.8275,139.385
2021,WP,MM,33,CHAMPI,2021-06-25:00:00:00,TS,21.2,139.3
2021,WP,MM,34,CHAMPI,2021-06-25:03:00:00,TS,21.6925,139.27
2021,WP,MM,35,CHAMPI,2021-06-25:06:00:00,TS,22.2,139.3
2021,WP,MM,36,CHAMPI,2021-06-25:09:00:00,TS,22.615,139.392
2021,WP,MM,37,CHAMPI,2021-06-25:12:00:00,TS,23,139.5
2021,WP,MM,38,CHAMPI,2021-06-25:15:00:00,TS,23.385,139.558
2021,WP,MM,39,CHAMPI,2021-06-25:18:00:00,TS,23.8,139.6
2021,WP,MM,40,CHAMPI,2021-06-25:21:00:00,TS,24.27,139.635
2021,WP,MM,41,CHAMPI,2021-06-26:00:00:00,TS,24.8,139.7
2021,WP,MM,42,CHAMPI,2021-06-26:03:00:00,TS,25.4,139.835
2021,WP,MM,43,CHAMPI,2021-06-26:06:00:00,TS,26,140
2021,WP,MM,44,CHAMPI,2021-06-26:09:00:00,TS,26.4999,140.135
2021,WP,MM,45,CHAMPI,2021-06-26:12:00:00,TS,27,140.3
2021,WP,MM,46,CHAMPI,2021-06-26:15:00:00,TS,27.5475,140.528
2021,WP,MM,47,CHAMPI,2021-06-26:18:00:00,TS,28.2,140.8
2021,WP,MM,48,CHAMPI,2021-06-26:21:00:00,TS,28.9897,141.056
2021,WP,MM,49,CHAMPI,2021-06-27:00:00:00,TS,29.9,141.4
2021,WP,MM,50,CHAMPI,2021-06-27:03:00:00,TS,30.8846,141.876
2021,WP,MM,51,CHAMPI,2021-06-27:06:00:00,TS,31.9,142.5
2021,WP,MM,52,CHAMPI,2021-06-27:09:00:00,TS,32.8123,143.243
2021,WP,MM,53,CHAMPI,2021-06-27:12:00:00,TS,33.8,144.1
2021,WP,MM,54,CHAMPI,2021-06-27:15:00:00,TS,35.0946,145.018
2021,WP,MM,55,CHAMPI,2021-06-27:18:00:00,ET,36.3,146
2021,WP,MM,56,CHAMPI,2021-06-27:21:00:00,ET,37.0864,146.998
2021,WP,MM,57,CHAMPI,2021-06-28:00:00:00,ET,37.6,148
