time,lat,lon
2014-10-23:12.00.00,10.8,62.1
2014-10-23:15.00.00,10.9625,61.9425
2014-10-23:18.00.00,11.1,61.8
2014-10-23:21.00.00,11.2,61.685
2014-10-24:00.00.00,11.3,61.6
2014-10-24:03.00.00,11.45,61.52
2014-10-24:06.00.00,11.6,61.5
2014-10-24:09.00.00,11.7075,61.57
2014-10-24:12.00.00,11.8,61.7
2014-10-24:15.00.00,11.8925,61.8425
2014-10-24:18.00.00,12,62
2014-10-24:21.00.00,12.12,62.165
2014-10-25:00.00.00,12.34,62.14
2014-10-25:03.00.00,12.5516,62.0617
2014-10-25:06.00.00,12.7286,62.0143
2014-10-25:09.00.00,12.9741,61.9298
2014-10-25:12.00.00,13.25,61.9
2014-10-25:15.00.00,13.3461,61.9089
2014-10-25:18.00.00,13.45,62
2014-10-25:21.00.00,13.7785,62.274
2014-10-26:00.00.00,14.05,62.5
2014-10-26:03.00.00,14.0787,62.5
2014-10-26:06.00.00,14.15,62.5
2014-10-26:09.00.00,14.1712,62.5037
2014-10-26:12.00.00,14.25,62.5
2014-10-26:15.00.00,14.3463,62.4788
2014-10-26:18.00.00,14.45,62.45
2014-10-26:21.00.00,14.5537,62.4325
2014-10-27:00.00.00,14.75,62.4
2014-10-27:03.00.00,14.825,62.3287
2014-10-27:06.00.00,14.85,62.25
2014-10-27:09.00.00,14.9,62.1963
2014-10-27:12.00.00,15,62.15
2014-10-27:15.00.00,15.0675,62.1075
2014-10-27:18.00.00,15.2,62.05
2014-10-27:21.00.00,15.435,61.8426
2014-10-28:00.00.00,15.6,61.75
2014-10-28:03.00.00,15.76,61.6812
2014-10-28:06.00.00,15.95,61.65
2014-10-28:09.00.00,16.335,61.6824
2014-10-28:12.00.00,16.75,61.8
2014-10-28:15.00.00,17.2438,61.7539
2014-10-28:18.00.00,17.65,61.7
2014-10-28:21.00.00,17.94,61.685
2014-10-29:00.00.00,18.1,61.8
2014-10-29:03.00.00,18.475,61.835
2014-10-29:06.00.00,18.7,61.9
2014-10-29:09.00.00,18.8325,61.9813
2014-10-29:12.00.00,19,62.2
2014-10-29:15.00.00,19.1675,62.5175
2014-10-29:18.00.00,19.25,62.85
2014-10-29:21.00.00,19.375,63.1575
2014-10-30:00.00.00,19.55,63.55
2014-10-30:03.00.00,19.79,63.9288
2014-10-30:06.00.00,20.05,64.15
2014-10-30:09.00.00,20.0713,64.3826
2014-10-30:12.00.00,20.25,64.55
2014-10-30:15.00.00,20.3862,64.6425
2014-10-30:18.00.00,20.4857,64.7571
2014-10-30:21.00.00,20.605,64.9434
2014-10-31:00.00.00,20.7,65.02
2014-10-31:03.00.00,20.8425,65.0725
2014-10-31:06.00.00,21,65.1
2014-10-31:09.00.00,21.2,65.08
2014-10-31:12.00.00,21.4,65
2014-10-31:15.00.00,21.58,64.8801
2014-10-31:18.00.00,21.7,64.7
2014-10-31:21.00.00,21.7226,64.4574
2014-11-01:00.00.00,21.7,64.2
2014-11-01:03.00.00,21.6999,64
2014-11-01:06.00.00,21.7,63.8
2014-11-01:09.00.00,21.7001,63.5625
2014-11-01:12.00.00,21.7,63.3
