time,lat,lon
2019-06-09:00.00.00,10.1,71.9
2019-06-09:03.00.00,10.1824,71.6126
2019-06-09:06.00.00,10.4,71.4
2019-06-09:09.00.00,10.6275,71.205
2019-06-09:12.00.00,10.9,71.1
2019-06-09:15.00.00,11.1925,71.1424
2019-06-09:18.00.00,11.5,71.2
2019-06-09:21.00.00,11.8,71.1225
2019-06-10:00.00.00,12.02,71
2019-06-10:03.00.00,12.4333,70.9333
2019-06-10:06.00.00,12.6143,70.8429
2019-06-10:09.00.00,12.9159,70.7695
2019-06-10:12.00.00,13.3,70.7
2019-06-10:15.00.00,13.6068,70.5995
2019-06-10:18.00.00,13.9,70.55
2019-06-10:21.00.00,14.1963,70.6174
2019-06-11:00.00.00,14.6,70.7
2019-06-11:03.00.00,14.9175,70.7363
2019-06-11:06.00.00,15.2,70.75
2019-06-11:09.00.00,15.6425,70.7649
2019-06-11:12.00.00,16.05,70.75
2019-06-11:15.00.00,16.5788,70.69
2019-06-11:18.00.00,17,70.6
2019-06-11:21.00.00,17.3788,70.4962
2019-06-12:00.00.00,17.7,70.3
2019-06-12:03.00.00,18.0037,70.1925
2019-06-12:06.00.00,18.4,70
2019-06-12:09.00.00,18.7575,69.8962
2019-06-12:12.00.00,19.05,69.85
2019-06-12:15.00.00,19.4075,69.7712
2019-06-12:18.00.00,19.65,69.7
2019-06-12:21.00.00,19.9037,69.6287
2019-06-13:00.00.00,20.15,69.55
2019-06-13:03.00.00,20.3287,69.4575
2019-06-13:06.00.00,20.5,69.35
2019-06-13:09.00.00,20.69,69.175
2019-06-13:12.00.00,20.85,69.05
2019-06-13:15.00.00,20.8825,68.9
2019-06-13:18.00.00,20.9,68.85
2019-06-13:21.00.00,20.9325,68.6713
2019-06-14:00.00.00,21,68.55
2019-06-14:03.00.00,20.9825,68.4175
2019-06-14:06.00.00,20.95,68.35
2019-06-14:09.00.00,20.875,68.2863
2019-06-14:12.00.00,20.8,68.2
2019-06-14:15.00.00,20.775,68.0612
2019-06-14:18.00.00,20.75,67.9
2019-06-14:21.00.00,20.7249,67.6613
2019-06-15:00.00.00,20.65,67.5
2019-06-15:03.00.00,20.6176,67.3287
2019-06-15:06.00.00,20.6,66.9
2019-06-15:09.00.00,20.6174,66.6675
2019-06-15:12.00.00,20.65,66.4
2019-06-15:15.00.00,20.675,66.225
2019-06-15:18.00.00,20.7,65.95
2019-06-15:21.00.00,20.7325,65.7638
2019-06-16:00.00.00,20.75,65.45
2019-06-16:03.00.00,20.7862,65.2275
2019-06-16:06.00.00,20.8,65.15
2019-06-16:09.00.00,20.7431,65.079
2019-06-16:12.00.00,20.75,65.2
2019-06-16:15.00.00,20.85,65.6
2019-06-16:18.00.00,21.05,66.05
2019-06-16:21.00.00,21.3568,66.3937
2019-06-17:00.00.00,21.65,66.65
2019-06-17:03.00.00,21.7824,66.7853
2019-06-17:06.00.00,21.9429,67
2019-06-17:09.00.00,22.1853,67.4331
2019-06-17:12.00.00,22.5,67.88
2019-06-17:15.00.00,22.8372,68.1152
2019-06-17:18.00.00,23.1,68.3
2019-06-17:21.00.00,23.2097,68.59
2019-06-18:00.00.00,23.2,69
2019-06-18:03.00.00,23.1182,69.5578
2019-06-18:06.00.00,23,70.2
