year,basin,region,no,name,time,intensity,lat,lon
2004,WP,MM,1,MUIFA,2004-11-13:18:00:00,TS,9.63333,134.167
2004,WP,MM,2,MUIFA,2004-11-13:21:00:00,TS,10.0518,133.196
2004,WP,MM,3,MUIFA,2004-11-14:00:00:00,TS,10.4333,132.3
2004,WP,MM,4,MUIFA,2004-11-14:03:00:00,TS,10.7637,131.519
2004,WP,MM,5,MUIFA,2004-11-14:06:00:00,TS,11.1231,130.731
2004,WP,MM,6,MUIFA,2004-11-14:09:00:00,TS,11.6111,129.847
2004,WP,MM,7,MUIFA,2004-11-14:12:00:00,TS,12.0467,128.967
2004,WP,MM,8,MUIFA,2004-11-14:15:00:00,TS,12.2965,128.077
2004,WP,MM,9,MUIFA,2004-11-14:18:00:00,TS,12.375,127.275
2004,WP,MM,10,MUIFA,2004-11-14:21:00:00,TS,12.314,126.698
2004,WP,MM,11,MUIFA,2004-11-15:00:00:00,TS,12.325,126.35
2004,WP,MM,12,MUIFA,2004-11-15:03:00:00,TS,12.6673,126.212
2004,WP,MM,13,MUIFA,2004-11-15:06:00:00,TS,13.1,126.15
2004,WP,MM,14,MUIFA,2004-11-15:09:00:00,TS,13.4181,125.951
2004,WP,MM,15,MUIFA,2004-11-15:12:00:00,TS,13.65,125.725
2004,WP,MM,16,MUIFA,2004-11-15:15:00:00,TS,13.7651,125.506
2004,WP,MM,17,MUIFA,2004-11-15:18:00:00,TS,13.85,125.35
2004,WP,MM,18,MUIFA,2004-11-15:21:00:00,TS,14.0118,125.372
2004,WP,MM,19,MUIFA,2004-11-16:00:00:00,TS,14.2,125.35
2004,WP,MM,20,MUIFA,2004-11-16:03:00:00,TS,14.4289,125.061
2004,WP,MM,21,MUIFA,2004-11-16:06:00:00,TS,14.575,124.675
2004,WP,MM,22,MUIFA,2004-11-16:09:00:00,TS,14.5031,124.322
2004,WP,MM,23,MUIFA,2004-11-16:12:00:00,TS,14.375,124.025
2004,WP,MM,24,MUIFA,2004-11-16:15:00:00,TS,14.3506,123.834
2004,WP,MM,25,MUIFA,2004-11-16:18:00:00,TS,14.375,123.725
2004,WP,MM,26,MUIFA,2004-11-16:21:00:00,TS,14.4206,123.654
2004,WP,MM,27,MUIFA,2004-11-17:00:00:00,TS,14.5,123.625
2004,WP,MM,28,MUIFA,2004-11-17:03:00:00,TS,14.6012,123.596
2004,WP,MM,29,MUIFA,2004-11-17:06:00:00,TS,14.725,123.6
2004,WP,MM,30,MUIFA,2004-11-17:09:00:00,TS,14.8475,123.661
2004,WP,MM,31,MUIFA,2004-11-17:12:00:00,TS,15,123.725
2004,WP,MM,32,MUIFA,2004-11-17:15:00:00,TS,15.22,123.734
2004,WP,MM,33,MUIFA,2004-11-17:18:00:00,TS,15.425,123.725
2004,WP,MM,34,MUIFA,2004-11-17:21:00:00,TS,15.5312,123.714
2004,WP,MM,35,MUIFA,2004-11-18:00:00:00,TS,15.6,123.725
2004,WP,MM,36,MUIFA,2004-11-18:03:00:00,TS,15.695,123.781
2004,WP,MM,37,MUIFA,2004-11-18:06:00:00,TS,15.775,123.875
2004,WP,MM,38,MUIFA,2004-11-18:09:00:00,TS,15.8331,123.996
2004,WP,MM,39,MUIFA,2004-11-18:12:00:00,TS,15.85,124.125
2004,WP,MM,40,MUIFA,2004-11-18:15:00:00,TS,15.83,124.248
2004,WP,MM,41,MUIFA,2004-11-18:18:00:00,TS,15.75,124.325
2004,WP,MM,42,MUIFA,2004-11-18:21:00:00,TS,15.6287,124.328
2004,WP,MM,43,MUIFA,2004-11-19:00:00:00,TS,15.425,124.275
2004,WP,MM,44,MUIFA,2004-11-19:03:00:00,TS,15.1131,124.214
2004,WP,MM,45,MUIFA,2004-11-19:06:00:00,TS,14.775,124.1
2004,WP,MM,46,MUIFA,2004-11-19:09:00:00,TS,14.5248,123.966
2004,WP,MM,47,MUIFA,2004-11-19:12:00:00,TS,14.275,123.7
2004,WP,MM,48,MUIFA,2004-11-19:15:00:00,TS,13.9745,123.227
2004,WP,MM,49,MUIFA,2004-11-19:18:00:00,TS,13.625,122.65
2004,WP,MM,50,MUIFA,2004-11-19:21:00:00,TS,13.1917,122.119
2004,WP,MM,51,MUIFA,2004-11-20:00:00:00,TS,12.8,121.55
2004,WP,MM,52,MUIFA,2004-11-20:03:00:00,TS,12.5583,120.883
2004,WP,MM,53,MUIFA,2004-11-20:06:00:00,TS,12.425,120.25
2004,WP,MM,54,MUIFA,2004-11-20:09:00:00,TS,12.3503,119.79
2004,WP,MM,55,MUIFA,2004-11-20:12:00:00,TS,12.325,119.375
2004,WP,MM,56,MUIFA,2004-11-20:15:00:00,TS,12.3093,118.898
2004,WP,MM,57,MUIFA,2004-11-20:18:00:00,TS,12.275,118.375
2004,WP,MM,58,MUIFA,2004-11-20:21:00:00,TS,12.1681,117.795
2004,WP,MM,59,MUIFA,2004-11-21:00:00:00,TS,12.05,117.2
