year,basin,region,no,name,time,intensity,lat,lon
2004,WP,MM,1,NORU,2004-12-16:18:00:00,NR,10.1,154.3
2004,WP,MM,2,NORU,2004-12-16:21:00:00,NR,10.605,154.153
2004,WP,MM,3,NORU,2004-12-17:00:00:00,TS,11.26,153.8
2004,WP,MM,4,NORU,2004-12-17:03:00:00,TS,11.672,153.403
2004,WP,MM,5,NORU,2004-12-17:06:00:00,TS,12.06,152.97
2004,WP,MM,6,NORU,2004-12-17:09:00:00,TS,12.4674,152.618
2004,WP,MM,7,NORU,2004-12-17:12:00:00,TS,12.8333,152.367
2004,WP,MM,8,NORU,2004-12-17:15:00:00,TS,13.0991,152.106
2004,WP,MM,9,NORU,2004-12-17:18:00:00,TS,13.3,151.8
2004,WP,MM,10,NORU,2004-12-17:21:00:00,TS,13.5092,151.408
2004,WP,MM,11,NORU,2004-12-18:00:00:00,TS,13.6385,150.962
2004,WP,MM,12,NORU,2004-12-18:03:00:00,TS,13.6186,150.501
2004,WP,MM,13,NORU,2004-12-18:06:00:00,TS,13.5467,150.053
2004,WP,MM,14,NORU,2004-12-18:09:00:00,TS,13.5124,149.659
2004,WP,MM,15,NORU,2004-12-18:12:00:00,TS,13.475,149.275
2004,WP,MM,16,NORU,2004-12-18:15:00:00,TS,13.4194,148.839
2004,WP,MM,17,NORU,2004-12-18:18:00:00,TS,13.375,148.425
2004,WP,MM,18,NORU,2004-12-18:21:00:00,TS,13.3299,148.086
2004,WP,MM,19,NORU,2004-12-19:00:00:00,TS,13.375,147.8
2004,WP,MM,20,NORU,2004-12-19:03:00:00,TS,13.5387,147.544
2004,WP,MM,21,NORU,2004-12-19:06:00:00,TS,13.875,147.3
2004,WP,MM,22,NORU,2004-12-19:09:00:00,TS,14.3844,147.019
2004,WP,MM,23,NORU,2004-12-19:12:00:00,TS,15.025,146.75
2004,WP,MM,24,NORU,2004-12-19:15:00:00,TS,15.7181,146.502
2004,WP,MM,25,NORU,2004-12-19:18:00:00,TS,16.4,146.325
2004,WP,MM,26,NORU,2004-12-19:21:00:00,TS,16.9431,146.248
2004,WP,MM,27,NORU,2004-12-20:00:00:00,TS,17.475,146.25
2004,WP,MM,28,NORU,2004-12-20:03:00:00,TS,18.1174,146.244
2004,WP,MM,29,NORU,2004-12-20:06:00:00,TS,18.775,146.35
2004,WP,MM,30,NORU,2004-12-20:09:00:00,TS,19.3737,146.626
2004,WP,MM,31,NORU,2004-12-20:12:00:00,TS,19.95,147.025
2004,WP,MM,32,NORU,2004-12-20:15:00:00,TS,20.4791,147.386
2004,WP,MM,33,NORU,2004-12-20:18:00:00,TS,21.1,147.95
2004,WP,MM,34,NORU,2004-12-20:21:00:00,TS,21.9512,148.829
2004,WP,MM,35,NORU,2004-12-21:00:00:00,TS,22.875,150
2004,WP,MM,36,NORU,2004-12-21:03:00:00,TS,23.7359,151.427
2004,WP,MM,37,NORU,2004-12-21:06:00:00,TS,24.5,152.867
2004,WP,MM,38,NORU,2004-12-21:09:00:00,TS,25.1094,153.98
2004,WP,MM,39,NORU,2004-12-21:12:00:00,MX,25.6385,155.108
2004,WP,MM,40,NORU,2004-12-21:15:00:00,MX,26.2248,156.625
2004,WP,MM,41,NORU,2004-12-21:18:00:00,TS,26.7364,158.218
2004,WP,MM,42,NORU,2004-12-21:21:00:00,TS,27.0323,159.699
2004,WP,MM,43,NORU,2004-12-22:00:00:00,ET,27.1556,161.078
2004,WP,MM,44,NORU,2004-12-22:03:00:00,ET,27.1979,162.24
2004,WP,MM,45,NORU,2004-12-22:06:00:00,ET,27.1,163.5
2004,WP,MM,46,NORU,2004-12-22:09:00:00,ET,26.9558,165.285
2004,WP,MM,47,NORU,2004-12-22:12:00:00,ET,26.7,167.1
2004,WP,MM,48,NORU,2004-12-22:15:00:00,ET,26.3346,168.497
2004,WP,MM,49,NORU,2004-12-22:18:00:00,ET,25.9,169.7
2004,WP,MM,50,NORU,2004-12-22:21:00:00,ET,25.4639,170.831
2004,WP,MM,51,NORU,2004-12-23:00:00:00,ET,25,172
2004,WP,MM,52,NORU,2004-12-23:03:00:00,ET,24.4721,173.426
2004,WP,MM,53,NORU,2004-12-23:06:00:00,ET,23.9,175
