year,basin,region,no,name,time,intensity,lat,lon
2005,WP,MM,1,ROKE,2005-03-12:00:00:00,TS,6.06667,151.867
2005,WP,MM,2,ROKE,2005-03-12:03:00:00,TS,6.12003,151.549
2005,WP,MM,3,ROKE,2005-03-12:06:00:00,TS,6.2,151.2
2005,WP,MM,4,ROKE,2005-03-12:09:00:00,TS,6.32748,150.798
2005,WP,MM,5,ROKE,2005-03-12:12:00:00,TS,6.5,150.367
2005,WP,MM,6,ROKE,2005-03-12:15:00:00,TS,6.70909,149.953
2005,WP,MM,7,ROKE,2005-03-12:18:00:00,TS,6.93333,149.5
2005,WP,MM,8,ROKE,2005-03-12:21:00:00,TS,7.12075,148.987
2005,WP,MM,9,ROKE,2005-03-13:00:00:00,TS,7.33333,148.4
2005,WP,MM,10,ROKE,2005-03-13:03:00:00,TS,7.62575,147.749
2005,WP,MM,11,ROKE,2005-03-13:06:00:00,TS,7.93333,147.033
2005,WP,MM,12,ROKE,2005-03-13:09:00:00,TS,8.16568,146.291
2005,WP,MM,13,ROKE,2005-03-13:12:00:00,TS,8.42308,145.508
2005,WP,MM,14,ROKE,2005-03-13:15:00:00,TS,8.82659,144.635
2005,WP,MM,15,ROKE,2005-03-13:18:00:00,TS,9.25333,143.8
2005,WP,MM,16,ROKE,2005-03-13:21:00:00,TS,9.6228,143.118
2005,WP,MM,17,ROKE,2005-03-14:00:00:00,TS,9.925,142.5
2005,WP,MM,18,ROKE,2005-03-14:03:00:00,TS,10.148,141.841
2005,WP,MM,19,ROKE,2005-03-14:06:00:00,TS,10.3,141.2
2005,WP,MM,20,ROKE,2005-03-14:09:00:00,TS,10.4036,140.603
2005,WP,MM,21,ROKE,2005-03-14:12:00:00,TS,10.5,140.025
2005,WP,MM,22,ROKE,2005-03-14:15:00:00,TS,10.6304,139.45
2005,WP,MM,23,ROKE,2005-03-14:18:00:00,TS,10.825,138.85
2005,WP,MM,24,ROKE,2005-03-14:21:00:00,TS,11.1224,138.199
2005,WP,MM,25,ROKE,2005-03-15:00:00:00,TS,11.45,137.5
2005,WP,MM,26,ROKE,2005-03-15:03:00:00,TS,11.7461,136.761
2005,WP,MM,27,ROKE,2005-03-15:06:00:00,TS,11.975,136
2005,WP,MM,28,ROKE,2005-03-15:09:00:00,TS,12.1035,135.257
2005,WP,MM,29,ROKE,2005-03-15:12:00:00,TS,12.15,134.5
2005,WP,MM,30,ROKE,2005-03-15:15:00:00,TS,12.171,133.719
2005,WP,MM,31,ROKE,2005-03-15:18:00:00,TS,12.125,132.9
2005,WP,MM,32,ROKE,2005-03-15:21:00:00,TS,11.9963,132.072
2005,WP,MM,33,ROKE,2005-03-16:00:00:00,TS,11.85,131.15
2005,WP,MM,34,ROKE,2005-03-16:03:00:00,TS,11.7675,130.071
2005,WP,MM,35,ROKE,2005-03-16:06:00:00,TS,11.7,128.925
2005,WP,MM,36,ROKE,2005-03-16:09:00:00,TS,11.6385,127.803
2005,WP,MM,37,ROKE,2005-03-16:12:00:00,TS,11.525,126.725
2005,WP,MM,38,ROKE,2005-03-16:15:00:00,TS,11.2633,125.74
2005,WP,MM,39,ROKE,2005-03-16:18:00:00,TS,11.025,124.8
2005,WP,MM,40,ROKE,2005-03-16:21:00:00,TS,10.9354,123.835
2005,WP,MM,41,ROKE,2005-03-17:00:00:00,TS,11,122.9
2005,WP,MM,42,ROKE,2005-03-17:03:00:00,TS,11.225,121.984
2005,WP,MM,43,ROKE,2005-03-17:06:00:00,TS,11.525,121.175
2005,WP,MM,44,ROKE,2005-03-17:09:00:00,TS,11.7807,120.565
2005,WP,MM,45,ROKE,2005-03-17:12:00:00,TS,11.98,120
2005,WP,MM,46,ROKE,2005-03-17:15:00:00,TS,12.1054,119.315
2005,WP,MM,47,ROKE,2005-03-17:18:00:00,TS,12.1083,118.6
2005,WP,MM,48,ROKE,2005-03-17:21:00:00,TS,12.0236,117.857
2005,WP,MM,49,ROKE,2005-03-18:00:00:00,TS,11.9778,117.1
2005,WP,MM,50,ROKE,2005-03-18:03:00:00,TS,11.9296,116.453
2005,WP,MM,51,ROKE,2005-03-18:06:00:00,TS,11.9,115.9
2005,WP,MM,52,ROKE,2005-03-18:09:00:00,TS,11.765,115.254
2005,WP,MM,53,ROKE,2005-03-18:12:00:00,TS,11.6,114.6
2005,WP,MM,54,ROKE,2005-03-18:15:00:00,TS,11.5147,114.008
2005,WP,MM,55,ROKE,2005-03-18:18:00:00,TS,11.4,113.4
2005,WP,MM,56,ROKE,2005-03-18:21:00:00,TS,11.1649,112.722
2005,WP,MM,57,ROKE,2005-03-19:00:00:00,TS,10.9,112
2005,WP,MM,58,ROKE,2005-03-19:03:00:00,TS,10.6829,111.255
2005,WP,MM,59,ROKE,2005-03-19:06:00:00,TS,10.5,110.5
