year,basin,region,no,name,time,intensity,lat,lon
2005,WP,MM,1,SAOLA,2005-09-19:00:00:00,TS,19.9,155.367
2005,WP,MM,2,SAOLA,2005-09-19:03:00:00,TS,20.0485,154.984
2005,WP,MM,3,SAOLA,2005-09-19:06:00:00,TS,20.2,154.6
2005,WP,MM,4,SAOLA,2005-09-19:09:00:00,TS,20.3549,154.214
2005,WP,MM,5,SAOLA,2005-09-19:12:00:00,TS,20.5,153.833
2005,WP,MM,6,SAOLA,2005-09-19:15:00:00,TS,20.6066,153.451
2005,WP,MM,7,SAOLA,2005-09-19:18:00:00,TS,20.7333,153.1
2005,WP,MM,8,SAOLA,2005-09-19:21:00:00,TS,20.9424,152.797
2005,WP,MM,9,SAOLA,2005-09-20:00:00:00,TS,21.1667,152.533
2005,WP,MM,10,SAOLA,2005-09-20:03:00:00,TS,21.3433,152.295
2005,WP,MM,11,SAOLA,2005-09-20:06:00:00,TS,21.5,152.067
2005,WP,MM,12,SAOLA,2005-09-20:09:00:00,TS,21.6475,151.817
2005,WP,MM,13,SAOLA,2005-09-20:12:00:00,TS,21.7615,151.569
2005,WP,MM,14,SAOLA,2005-09-20:15:00:00,TS,21.9032,151.348
2005,WP,MM,15,SAOLA,2005-09-20:18:00:00,TS,22.0533,151.12
2005,WP,MM,16,SAOLA,2005-09-20:21:00:00,TS,22.1937,150.869
2005,WP,MM,17,SAOLA,2005-09-21:00:00:00,TS,22.4,150.575
2005,WP,MM,18,SAOLA,2005-09-21:03:00:00,TS,22.6904,150.262
2005,WP,MM,19,SAOLA,2005-09-21:06:00:00,TS,23,149.875
2005,WP,MM,20,SAOLA,2005-09-21:09:00:00,TS,23.2441,149.406
2005,WP,MM,21,SAOLA,2005-09-21:12:00:00,TS,23.5,148.825
2005,WP,MM,22,SAOLA,2005-09-21:15:00:00,TS,23.8414,148.127
2005,WP,MM,23,SAOLA,2005-09-21:18:00:00,TS,24.175,147.375
2005,WP,MM,24,SAOLA,2005-09-21:21:00:00,TS,24.4069,146.689
