time,lat,lon
2019-11-04:00.00.00,12.7,113.7
2019-11-04:03.00.00,13.05,113.86
2019-11-04:06.00.00,13.3,114
2019-11-04:09.00.00,13.3875,114.108
2019-11-04:12.00.00,13.48,114.2
2019-11-04:15.00.00,13.5625,114.327
2019-11-04:18.00.00,13.6286,114.486
2019-11-04:21.00.00,13.7,114.667
2019-11-05:00.00.00,13.77,114.85
2019-11-05:03.00.00,13.7782,115.047
2019-11-05:06.00.00,13.7571,115.25
2019-11-05:09.00.00,13.7344,115.458
2019-11-05:12.00.00,13.7,115.65
2019-11-05:15.00.00,13.6412,115.849
2019-11-05:18.00.00,13.575,116.075
2019-11-05:21.00.00,13.5212,116.231
2019-11-06:00.00.00,13.45,116.325
2019-11-06:03.00.00,13.405,116.406
2019-11-06:06.00.00,13.425,116.475
2019-11-06:09.00.00,13.4156,116.539
2019-11-06:12.00.00,13.425,116.625
2019-11-06:15.00.00,13.4269,116.766
2019-11-06:18.00.00,13.45,116.875
2019-11-06:21.00.00,13.445,116.963
2019-11-07:00.00.00,13.425,117.025
2019-11-07:03.00.00,13.3825,117.088
2019-11-07:06.00.00,13.35,117.125
2019-11-07:09.00.00,13.2969,117.179
2019-11-07:12.00.00,13.225,117.2
2019-11-07:15.00.00,13.1144,117.138
2019-11-07:18.00.00,13.025,117.05
2019-11-07:21.00.00,12.8637,116.919
2019-11-08:00.00.00,12.75,116.825
2019-11-08:03.00.00,12.7106,116.671
2019-11-08:06.00.00,12.625,116.45
2019-11-08:09.00.00,12.5644,116.216
2019-11-08:12.00.00,12.5,116
2019-11-08:15.00.00,12.4694,115.631
2019-11-08:18.00.00,12.45,115.375
2019-11-08:21.00.00,12.4193,115.094
2019-11-09:00.00.00,12.4,114.775
2019-11-09:03.00.00,12.4088,114.383
2019-11-09:06.00.00,12.425,113.975
2019-11-09:09.00.00,12.4193,113.589
2019-11-09:12.00.00,12.425,113.25
2019-11-09:15.00.00,12.4749,112.936
2019-11-09:18.00.00,12.525,112.6
2019-11-09:21.00.00,12.55,112.136
2019-11-10:00.00.00,12.55,111.65
2019-11-10:03.00.00,12.5981,111.191
2019-11-10:06.00.00,12.65,110.8
2019-11-10:09.00.00,12.6624,110.378
2019-11-10:12.00.00,12.675,109.95
2019-11-10:15.00.00,12.7156,109.58
2019-11-10:18.00.00,12.8067,109.28
2019-11-10:21.00.00,12.9077,108.986
2019-11-11:00.00.00,13.01,108.64
2019-11-11:03.00.00,13.1486,108.232
2019-11-11:06.00.00,13.2667,107.733
