time,lat,lon
2016-07-31:12.00.00,14.7,-119.8
2016-07-31:15.00.00,14.9001,-120.19
2016-07-31:18.00.00,15.1,-120.6
2016-07-31:21.00.00,15.3,-121.043
2016-08-01:00.00.00,15.5,-121.5
2016-08-01:03.00.00,15.6924,-121.943
2016-08-01:06.00.00,15.9,-122.4
2016-08-01:09.00.00,16.1499,-122.885
2016-08-01:12.00.00,16.4,-123.4
2016-08-01:15.00.00,16.5923,-123.928
2016-08-01:18.00.00,16.8,-124.5
2016-08-01:21.00.00,17.085,-125.142
2016-08-01:00.00.00,17.4,-125.8
2016-08-02:03.00.00,17.7072,-126.4
2016-08-02:06.00.00,18,-127
2016-08-02:09.00.00,18.2574,-127.65
2016-08-02:12.00.00,18.5,-128.3
2016-08-02:15.00.00,18.7497,-128.908
2016-08-02:18.00.00,19,-129.5
2016-08-02:21.00.00,19.2423,-130.1
2016-08-03:00.00.00,19.5,-130.7
2016-08-03:03.00.00,19.7998,-131.3
2016-08-03:06.00.00,20.1,-131.9
2016-08-03:09.00.00,20.3571,-132.485
2016-08-03:12.00.00,20.6,-133.1
2016-08-03:15.00.00,20.8574,-133.785
2016-08-03:18.00.00,21.1,-134.5
2016-08-03:21.00.00,21.3146,-135.193
2016-08-04:00.00.00,21.5,-135.9
2016-08-04:03.00.00,21.6649,-136.65
2016-08-04:06.00.00,21.8,-137.4
2016-08-04:09.00.00,21.9072,-138.115
2016-08-04:12.00.00,22,-138.8
2016-08-04:15.00.00,22.1146,-139.45
2016-08-04:18.00.00,22.2,-140.1
2016-08-04:21.00.00,22.2147,-140.785
2016-08-05:00.00.00,22.2,-141.5
2016-08-05:03.00.00,22.1999,-142.25
2016-08-05:06.00.00,22.2,-143
2016-08-05:09.00.00,22.1996,-143.707
2016-08-05:12.00.00,22.2,-144.4
2016-08-05:15.00.00,22.1997,-145.1
2016-08-05:18.00.00,22.2,-145.8
2016-08-05:21.00.00,22.1997,-146.5
2016-08-06:00.00.00,22.2,-147.2
2016-08-06:03.00.00,22.2072,-147.9
2016-08-06:06.00.00,22.2,-148.6
2016-08-06:09.00.00,22.1495,-149.285
2016-08-06:12.00.00,22.1,-150
2016-08-06:15.00.00,22.0997,-150.777
2016-08-06:18.00.00,22.1,-151.6
2016-08-06:21.00.00,22.0649,-152.457
2016-08-07:00.00.00,22,-153.3
2016-08-07:03.00.00,21.8993,-154.058
2016-08-07:06.00.00,21.8,-154.8
2016-08-07:09.00.00,21.7385,-155.585
2016-08-07:12.00.00,21.7,-156.4
