time,lat,lon
2016-08-02:12.00.00,16.7,148.8
2016-08-02:15.00.00,16.6926,148.49
2016-08-02:18.00.00,16.7,148.2
2016-08-02:21.00.00,16.7475,147.955
2016-08-03:00.00.00,16.9,147.8
2016-08-03:03.00.00,17.25,147.747
2016-08-03:06.00.00,17.58,147.82
2016-08-03:09.00.00,17.66,147.996
2016-08-03:12.00.00,17.7143,148.186
2016-08-03:15.00.00,17.86,148.315
2016-08-03:18.00.00,18.05,148.4
2016-08-03:21.00.00,18.2175,148.486
2016-08-04:00.00.00,18.4,148.55
2016-08-04:03.00.00,18.6212,148.594
2016-08-04:06.00.00,18.8556,148.622
2016-08-04:09.00.00,19.0625,148.592
2016-08-04:12.00.00,19.225,148.267
2016-08-04:15.00.00,19.4004,148.011
2016-08-04:18.00.00,19.6333,147.773
2016-08-04:21.00.00,19.95,147.555
2016-08-05:00.00.00,20.35,147.45
2016-08-05:03.00.00,20.8112,147.415
2016-08-05:06.00.00,21.325,147.425
2016-08-05:09.00.00,21.8738,147.459
2016-08-05:12.00.00,22.4,147.5
2016-08-05:15.00.00,22.8162,147.507
2016-08-05:18.00.00,23.225,147.525
2016-08-05:21.00.00,23.7338,147.607
2016-08-06:00.00.00,24.25,147.675
2016-08-06:03.00.00,24.6819,147.649
2016-08-06:06.00.00,25.125,147.6
2016-08-06:09.00.00,25.645,147.613
2016-08-06:12.00.00,26.225,147.6
2016-08-06:15.00.00,26.8512,147.512
2016-08-06:18.00.00,27.5,147.35
2016-08-06:21.00.00,28.1345,147.111
2016-08-07:00.00.00,28.75,146.85
2016-08-07:03.00.00,29.338,146.655
2016-08-07:06.00.00,29.9,146.45
2016-08-07:09.00.00,30.428,146.192
2016-08-07:12.00.00,30.975,145.875
2016-08-07:15.00.00,31.6051,145.477
2016-08-07:18.00.00,32.25,145.075
2016-08-07:21.00.00,32.8562,144.734
2016-08-08:00.00.00,33.425,144.475
2016-08-08:03.00.00,33.9374,144.294
2016-08-08:06.00.00,34.45,144.225
2016-08-08:09.00.00,35.0225,144.26
2016-08-08:12.00.00,35.625,144.375
2016-08-08:15.00.00,36.2261,144.468
2016-08-08:18.00.00,36.85,144.65
2016-08-08:21.00.00,37.4593,144.925
2016-08-09:00.00.00,38.175,145.4
2016-08-09:03.00.00,39.0956,146.183
2016-08-09:06.00.00,40.1,147.079
2016-08-09:09.00.00,41.0085,147.76
2016-08-09:12.00.00,41.91,148.55
2016-08-09:15.00.00,42.9456,150.071
2016-08-09:18.00.00,44.1,151.45
2016-08-09:21.00.00,45.2086,152.118
2016-08-10:00.00.00,46.3,152.85
2016-08-10:03.00.00,47.3537,154.387
2016-08-10:06.00.00,48.35,156.25
2016-08-10:09.00.00,49.2894,158.06
2016-08-10:12.00.00,50.1714,159.8
2016-08-10:15.00.00,51.0768,161.365
2016-08-10:18.00.00,51.96,162.8
2016-08-10:21.00.00,52.7326,164.115
2016-08-11:00.00.00,53.5,165.5
2016-08-11:03.00.00,54.2681,167.244
2016-08-11:06.00.00,54.9,169.1
2016-08-11:09.00.00,55.3177,170.919
2016-08-11:12.00.00,55.6,172.5
2016-08-11:15.00.00,55.8827,173.621
2016-08-11:18.00.00,56.1,174.6
2016-08-11:21.00.00,56.223,175.658
2016-08-12:00.00.00,56.3,177.1
2016-08-12:03.00.00,56.368,179.238
2016-08-12:06.00.00,56.4,181.8
