,outdiv_50,outdiv_100,outdiv_200,outdiv_250,outdiv_300,outdiv_400,outdiv_500,outdiv_600,outdiv_700,outdiv_800,outdiv_850,outdiv_925,outdiv_1000
0,-8.681052355025973e-08,-2.91517859907521e-07,1.34251075401013e-07,5.246871335081153e-07,7.072867198229641e-07,-7.871246204507718e-07,-1.4953666278340349e-06,-1.5890693233799055e-06,-4.75193870676577e-07,4.986404758634816e-07,5.513579408787104e-07,7.435725388355078e-07,3.6368134509251426e-07
1,5.721929483115673e-07,-1.0706833563745022e-06,3.6456622183322905e-07,-1.4622579328715802e-06,-8.564131955305736e-07,-1.8407474271953106e-06,-6.678281351923943e-07,-8.066378844281037e-07,2.7454613397518796e-07,7.784731375674407e-07,6.916816346347332e-07,8.190361162026723e-07,2.877321094274521e-07
2,-4.207249730825424e-08,-7.207039743661881e-07,-8.261607338984808e-09,-1.6942853108048438e-06,-3.677094355225563e-07,-3.9959559217095375e-07,8.45912533501784e-07,-1.476961188018322e-07,3.9913769190510113e-07,3.928279814620813e-07,2.636845844487349e-07,4.829722456634044e-07,-3.6557515462239586e-07
3,-1.0045119173203906e-06,-6.896792910993099e-07,-1.8828936542073885e-06,2.6833731681108475e-08,-3.564287908375263e-07,7.127877324819565e-07,2.520034710566203e-06,7.792298371593158e-07,3.915357713898023e-07,-5.593135332067807e-07,-5.972028399507205e-07,-5.280676608284314e-07,-8.500724410017331e-07
4,-1.9867975009736678e-06,-9.825240619697016e-07,-1.8406496274563256e-06,8.179601359169512e-07,-1.047120609934658e-06,9.087409004878207e-07,3.4188310696870955e-06,1.2257973049067858e-06,7.154277035062244e-08,-1.7614691243874087e-06,-1.8081511853888817e-06,-1.5489730010141475e-06,-1.5419378443872286e-06
5,-1.60988614273568e-06,-6.830164541800817e-07,-8.974107913672924e-07,1.6488581119726102e-06,-3.3772472913066546e-07,1.647622169305881e-06,3.10816103592515e-06,5.702410514156023e-07,-8.010771125555038e-07,-2.166667642692725e-06,-2.183454732100169e-06,-2.140218081573645e-06,-2.1992096056540806e-06
6,1.070934619444112e-06,-5.609976748625437e-07,8.946827923258145e-07,3.984930420604845e-06,1.0066510488589606e-06,1.049701434870561e-06,1.0312224427858988e-06,-5.287273476521174e-07,-7.771498834093412e-07,-6.3267070800066e-07,-7.697458689411481e-07,-9.2975872879227e-07,-1.1741028477748236e-06
7,1.4096731320023538e-07,-1.463996401677529e-06,3.92694491893053e-06,4.3299670020739235e-06,1.169197882215182e-07,-1.1326628737151623e-06,-9.857622596124808e-07,-1.7502073508997758e-06,-4.4665454576412834e-07,3.0640512704849243e-07,5.030150835712751e-07,1.084602748354276e-07,-1.454337810476621e-07
8,-4.3253453137973945e-06,-1.8816363687316576e-06,4.159216769039631e-06,3.2860514086981615e-06,-8.545864678429401e-07,-1.7144872496525447e-06,-1.3271773544450601e-06,-1.3824629907806714e-06,6.704707629978657e-07,4.912183309594791e-07,3.2135285437107087e-07,-2.857220048705737e-07,-1.4026144829889139e-06
9,-2.509440916279952e-06,-2.237871134032806e-06,4.249252378940583e-06,7.748603820800781e-07,-2.250121906399727e-06,-1.5383508677283924e-06,-2.1448746944467227e-07,-5.580911723275979e-07,4.844157956540585e-07,6.830242152015368e-07,5.552972046037515e-07,-2.976118897398313e-07,-1.2629859459896883e-06
10,6.627660089482864e-07,-1.7191477430363496e-06,1.0583627348144849e-06,2.390511023501555e-07,-1.0076231167962153e-06,7.039246459801992e-07,2.4168829744060832e-06,4.512413094441096e-07,-1.8104910850524903e-07,3.0407682061195374e-07,2.551202972730001e-07,-4.378690694769224e-07,-1.2827571481466292e-06
11,2.588882731894652e-08,1.0905011246601741e-06,-9.295026150842508e-07,-1.8000525111953418e-06,-2.324448231168693e-06,1.4547413835922877e-06,3.839889541268349e-06,2.0917272195219993e-06,4.6417893220980965e-07,-7.05360434949398e-08,-6.668036803603173e-07,-1.4393357560038566e-06,-1.482351217418909e-06
12,-3.5730190575122833e-06,1.5996978618204593e-06,-8.083453091482321e-07,-1.9374963206549486e-06,-2.8579146601259708e-06,2.742562598238389e-06,3.131836031874021e-06,1.1751040195425352e-06,5.432171747088432e-07,-2.8692496319611866e-07,-1.3543758541345596e-06,-1.9297469407320024e-06,-1.8663122318685055e-06
13,-1.387777350222071e-06,1.994081928084294e-06,1.718138810247183e-06,-6.152006487051646e-07,-2.3323926143348215e-06,2.9163085855543615e-06,1.1884452154239018e-06,4.366195450226466e-07,1.821783371269703e-07,-5.791041379173596e-07,-1.4931662008166314e-06,-2.031253340343634e-06,-1.939452098061641e-06
14,3.114244706618289e-06,-5.889082482705514e-07,5.389478368063768e-06,2.1016147608558337e-06,-1.4925220360358555e-06,3.157540534933408e-06,2.0530618106325467e-07,1.8207356333732605e-07,2.1578744053840636e-07,-8.959323167800903e-07,-1.5520878757039707e-06,-2.3319308335582417e-06,-2.385016220311324e-06
15,1.946268215154608e-06,5.86211293314894e-07,7.475159751872221e-06,2.757483161985874e-06,-7.054690892497699e-07,1.768899771074454e-06,-1.5754873553911846e-06,-1.3865452880660692e-07,3.4026258314649266e-07,-1.3348180800676346e-06,-1.5459644297758738e-06,-1.7387714857856432e-06,-1.848263976474603e-06
16,1.321207188690702e-07,4.198212021340927e-06,6.676216920216879e-06,3.186570635686318e-06,-9.78303917994102e-07,4.7310410688320796e-07,-1.8560094758868217e-06,3.4070884188016255e-09,3.400142304599285e-07,-1.2094620615243913e-06,-1.1330237612128258e-06,-1.2322406594951948e-06,-1.573772169649601e-06
17,1.8280164416258533e-06,4.409824032336473e-06,4.914418483773867e-06,7.423960293332736e-07,-2.31453450396657e-06,-5.126154671112696e-07,-1.8142629414796829e-06,-2.2115806738535563e-07,2.844259142875671e-07,-6.977468729019165e-07,-6.448244675993919e-07,-6.966680909196535e-07,-1.0458597292502721e-06
18,2.044745876143376e-06,3.5452190786600114e-06,6.149980860451857e-06,-9.166658855974675e-07,-4.2184100796779e-06,-3.3043712998429935e-07,-9.051679323116938e-07,4.896117995182673e-07,4.6049244701862334e-07,-8.432349810997646e-08,-2.587912604212761e-07,-3.401500483353933e-07,-8.918888246019681e-07
19,4.042754881083965e-07,3.391822489599387e-06,3.6134772623578707e-06,-3.1329691410064695e-07,-2.66697412977616e-06,1.3528818575044472e-06,-1.8327652166287105e-08,1.1560662339131037e-06,3.823544830083847e-07,-4.106589282552401e-07,-8.482330789168675e-07,-1.059387189646562e-06,-1.4752304802338282e-06
20,-1.9027269445359706e-06,2.327708837886651e-06,1.7563579604029655e-06,-1.3790559023618697e-07,-1.3348258410890898e-06,1.7573824152350425e-06,2.6737495015064873e-07,1.3016397133469582e-06,-1.704941193262736e-07,-7.865484803915023e-07,-1.2105563655495644e-06,-1.7023878172039985e-06,-2.7742935344576836e-06
21,-8.981054027875265e-07,3.931516160567602e-06,6.307537357012431e-07,-4.907487891614437e-07,-9.546328025559585e-07,1.9363748530546823e-06,8.233202000459035e-07,1.2640647279719512e-06,-5.922513082623481e-07,-3.650008390347163e-07,-9.397432828942934e-07,-1.989491283893585e-06,-2.8628002231319745e-06
22,1.7524418649089781e-06,4.90858876513495e-06,2.861635458048943e-06,2.3367385770275384e-06,1.0486257444155167e-06,2.6530114725170293e-06,2.947081405963146e-06,1.240733245781843e-06,-1.6423255297900235e-06,-2.41618889434209e-06,-3.143815571032619e-06,-4.235101492758609e-06,-4.621121174505143e-06
23,1.2716006798048815e-06,1.560380527128776e-06,6.936071440577507e-06,1.1055497452616692e-06,-5.011796019971371e-07,1.1967689109345276e-06,8.998981987436612e-07,2.2790239502986273e-07,-8.670341533919175e-07,-1.0484751934806507e-06,-1.539778895676136e-06,-2.3177359253168107e-06,-2.7898349799215794e-06
24,-2.0850721436242264e-06,1.389478954176108e-06,7.804653917749722e-06,1.0906835086643695e-06,-7.451201478640239e-07,-1.7238004753986995e-07,-7.874836834768454e-07,-1.0659413722654184e-06,-8.675968274474144e-07,-6.305480686326822e-07,-8.707943682869275e-07,-1.946580596268177e-06,-2.41727102547884e-06
25,-4.3086009100079535e-06,2.2537230203549066e-06,8.180675407250721e-06,6.079363326231638e-07,-1.4454941265285016e-06,-1.8608329507211843e-06,-2.107990439981222e-06,-6.779485071698825e-07,-4.169337141017119e-07,-2.2111926227808e-07,-3.4978923698266345e-07,-1.2283834318319957e-06,-1.685953854272763e-06
26,-3.5141594707965853e-06,1.909870964785417e-06,5.461896459261577e-06,9.052416620155175e-07,-2.5622546672821043e-06,-2.293339154372613e-06,-5.389641349514325e-08,5.988675790528457e-07,6.885966286063194e-07,1.9198438773552578e-07,-5.3085386753082275e-08,-7.437658496201038e-07,-1.500554693241914e-06
27,3.5255604113141696e-07,1.3218726962804793e-06,3.535529443373283e-06,-6.354685562352339e-07,5.697792706390222e-07,3.364325190583865e-07,9.123779212435086e-07,1.8993159756064415e-07,-6.723450496792793e-07,-6.443044791618983e-07,-4.431620861093203e-07,-4.4804376860459644e-07,-3.6180329819520316e-07
