,outdiv_50,outdiv_100,outdiv_200,outdiv_250,outdiv_300,outdiv_400,outdiv_500,outdiv_600,outdiv_700,outdiv_800,outdiv_850,outdiv_925,outdiv_1000
0,2.188328846794441e-06,-2.3597878446470156e-06,1.3382442643529256e-05,8.698260721738965e-06,5.432978442472046e-06,-4.36337282146903e-06,-3.2490869033386103e-06,-2.3880366746073443e-06,-3.1318803437641546e-06,-1.6700014611126476e-06,-1.4715930408338294e-06,-1.1335239123506665e-06,-1.0844565448795612e-06
1,3.374267059067885e-06,-9.003522184987862e-07,1.2694980250671506e-05,7.763404088715712e-06,3.967657297228773e-06,-3.928559211393197e-06,-3.1406874768435954e-06,-1.568362737695376e-06,-3.185002909352382e-06,-1.615883472065131e-06,-1.0244858761628469e-06,-5.795775602261226e-07,-8.15555298080047e-07
2,-3.085633994880059e-08,-4.555714119581266e-06,1.1736084610471093e-05,5.791093226661326e-06,1.7861636641485563e-06,-3.913780712982431e-06,-3.2681857788340185e-06,-2.6280860343167397e-06,-2.8300294227496223e-06,-1.1575296212034106e-06,-4.052045403427108e-07,2.836843341959957e-07,3.02820887679381e-07
3,-7.313986619313558e-08,-7.634582774092754e-06,8.972555709381899e-06,4.82678102950255e-06,4.157307557761669e-07,-4.065401541690032e-06,-2.528505865484476e-06,-2.427597064524889e-06,-2.9113376513123513e-06,-1.828651875257492e-07,9.190679217378299e-07,1.2818258255720138e-06,8.432815472284953e-07
4,1.3612133140365283e-06,-8.859136141836643e-06,1.3028721635540327e-05,6.142344015340011e-06,-1.1091469787061214e-06,-3.651234631737073e-06,-1.1120146761337916e-06,-2.5041246165831883e-06,-2.3875773573915166e-06,2.2199625770250957e-07,1.5950373684366544e-06,1.6161085416873296e-06,1.2775727858146031e-06
5,3.2318523153662683e-06,-6.262007324645916e-06,1.2921770879377922e-05,6.864409071264769e-06,-6.334196465710799e-07,-3.766392668088277e-06,-8.603092283010483e-07,-2.150369497636954e-06,-1.673532339433829e-06,4.1221113254626593e-07,9.065183500448863e-07,1.010950654745102e-06,7.714688157041868e-07
6,2.1089489261309306e-06,-2.953743872543176e-06,1.1348064678410689e-05,6.444422372927268e-06,-2.3753265850245954e-06,-3.7419997776548067e-06,-1.351422785470883e-06,-2.049317117780447e-06,-1.3889123996098836e-06,9.384704753756523e-07,9.554283072551093e-07,7.009754578272501e-07,6.112813328703245e-07
7,1.535130043824514e-08,1.7019958856205145e-06,9.013502858579158e-06,6.9639490296443306e-06,-2.5736866518855094e-06,-3.220253468801578e-06,-1.1699933869143326e-06,-1.9114580936729907e-06,-1.6470206901431083e-06,1.0306636492411296e-06,1.3528158888220787e-06,7.900409400463104e-07,1.3251168032487233e-07
8,-1.54348478342096e-06,3.96211010714372e-06,7.974705658853054e-06,6.361383323868116e-06,-1.8410927926500638e-06,-1.473860659946998e-06,-4.913929539422195e-07,-1.3344339095056058e-06,-1.9542446049551168e-06,-1.9902363419532775e-07,7.207117353876432e-07,4.119472578167915e-07,-5.283703406651815e-07
9,-2.3575305628279844e-06,2.577241199711959e-07,7.0121993000308675e-06,2.742543195684751e-06,-1.9070149088899294e-06,1.0705747020741303e-06,-6.844444821278254e-08,-9.137360999981562e-07,-2.417251622925202e-06,-5.03853273888429e-07,6.329811488588651e-07,6.777544816335042e-07,-4.174032558997472e-07
10,-2.3619233009715875e-06,-3.794479804734389e-07,4.560942761600017e-06,1.0324254011114439e-06,-2.8304833297928176e-07,2.1049481195708114e-06,-4.428477647403876e-07,-1.613011894126733e-06,-2.4006934836506843e-06,-8.423114195466041e-07,1.9751799603303274e-07,-1.1384642372528711e-07,-1.131106788913409e-06
11,-2.063430535296599e-06,-8.227148403724035e-07,5.890009924769402e-06,1.0905088856816291e-06,1.5184981748461722e-06,6.423758653302987e-07,-1.2431584764271974e-06,-1.427019014954567e-06,-1.8439915341635545e-06,-1.182554600139459e-06,-3.9861382295687993e-07,-6.16069883108139e-07,-2.074354172994693e-06
12,3.5924526552359264e-06,-2.6277732104063036e-06,1.0016506227354208e-05,5.774254289766153e-06,4.305434413254261e-06,5.3000015517075855e-08,-1.6905988256136576e-06,-2.1417431222895782e-06,-2.4857154736916226e-06,-2.5102014963825544e-06,-1.5715369954705238e-06,-1.495673010746638e-06,-2.3899134248495103e-06
13,6.332644261419773e-06,-3.6647776141762734e-06,1.144194199393193e-05,5.764339584857226e-06,1.7996411770582198e-06,-1.3557767185072104e-06,-2.118638561417659e-06,-2.1337609117229778e-06,-1.6386969946324824e-06,-1.193862408399582e-06,-6.757831821839015e-07,-1.0381064688165982e-06,-1.7009636697669823e-06
14,6.414055283262522e-06,-5.303930367547941e-07,1.0274682016231707e-05,3.482657581320442e-06,2.0135309995457345e-07,-2.300189962587416e-06,-1.5347394164790752e-06,-2.1280595236670425e-06,-1.2904034610605833e-06,-1.9199630299668096e-06,-1.554812123048355e-06,-1.9582052216613938e-06,-2.2022919226978825e-06
15,1.0819872841238976e-06,6.097718141973018e-07,9.314343333244324e-06,2.4589554717143376e-06,6.064074113965034e-08,-2.8199438626567525e-06,-1.0792709266146024e-06,-2.3261682751278085e-06,-9.010157858331999e-07,-1.5985375891129177e-06,-1.4222227036952972e-06,-1.4537557338674862e-06,-1.582468394190073e-06
16,-6.43015179472665e-07,1.9306006530920665e-06,1.0587876507391533e-05,3.320731533070405e-06,1.672232368340095e-06,3.6435279374321304e-07,2.714029202858607e-07,-2.0175473764538763e-06,-2.6440674749513465e-06,-2.7665169909596444e-06,-2.670994338889917e-06,-2.598292970408996e-06,-2.9369723051786424e-06
17,-1.0810317083572348e-06,1.4349468983709813e-06,8.766974012056987e-06,3.5164722551902135e-06,3.3029355108737946e-06,2.321868669241667e-06,-8.77383475502332e-09,-2.48497041563193e-06,-3.0604889616370203e-06,-2.541633633275827e-06,-3.1256194536884624e-06,-3.445125184953213e-06,-3.0956619108716646e-06
18,5.833484465256334e-07,-1.722182302425305e-06,1.060201320797205e-05,4.716306769599518e-06,3.1918481302758058e-06,1.293498401840528e-06,-2.833855493615071e-06,-3.223497575769822e-06,-2.714626801510652e-06,-1.9555600980917615e-06,-2.5227122629682224e-06,-3.439607098698616e-06,-2.142072965701421e-06
19,3.860720122853915e-07,-1.5964382328093051e-06,1.0278770544876654e-05,4.113255999982357e-06,2.8423964977264404e-06,8.299015462398529e-07,-4.1335433100660644e-06,-3.136236531039079e-06,-1.195045964171489e-06,-1.5622936189174652e-06,-2.124502013127009e-06,-3.2570057859023413e-06,-2.0550175880392393e-06
20,-2.3427729805310567e-06,-7.912982255220413e-07,9.1256534991165e-06,4.765845369547606e-06,2.2422483501334985e-06,4.977531110246976e-08,-3.41458556552728e-06,-2.971733920276165e-07,7.831142283976078e-07,-3.627035766839981e-07,-1.6113976016640662e-06,-3.068125806748867e-06,-3.106546743462483e-06
21,-4.34969454848518e-06,1.8306736213465532e-06,8.903758134692907e-06,3.892994330575069e-06,1.96052521156768e-06,-7.049335787693659e-07,-2.6937147291998067e-06,1.5212145323554675e-06,8.33277590572834e-07,-1.3865375270446141e-06,-2.568898101647695e-06,-3.875528151790301e-06,-3.797623018423716e-06
22,-6.4096452357868355e-06,5.518672211716572e-06,9.711214806884527e-06,3.450119402259588e-06,5.514554989834626e-07,-2.4227813507119814e-06,-2.17314421509703e-06,1.781810230265061e-06,1.3704411685466767e-07,-2.954162967701753e-06,-3.932424200077852e-06,-5.400933635731538e-06,-4.82789861659209e-06
23,-3.827592202772697e-06,5.41202025488019e-06,7.597772249331077e-06,4.4940194735924405e-07,-2.495315857231617e-06,-2.2127215440074605e-06,2.040372540553411e-08,1.932944481571515e-06,3.2590081294377645e-07,-2.5961237649122873e-06,-3.9225987469156585e-06,-5.230381308744351e-06,-4.660862032324076e-06
24,-3.507325891405344e-06,2.01778020709753e-06,7.851324820270141e-06,2.2325005071858564e-06,-3.637513145804405e-07,-1.612255194534858e-06,8.150935173034668e-07,-2.5073143964012466e-07,-3.4560992692907654e-07,-2.4275466178854307e-06,-3.561827664573987e-06,-4.211553217222293e-06,-3.6914794084926445e-06
25,-1.286342740058899e-06,-2.1180293212334315e-06,1.0456451370070378e-05,3.209570422768593e-06,1.5132051582137743e-07,-1.1805250930289427e-06,-5.757901817560196e-08,-1.7086237979431948e-06,-4.785523439447085e-07,-2.2363228102525073e-06,-3.123353235423565e-06,-3.823793182770411e-06,-3.358481141428153e-06
26,-8.06928922732671e-07,-5.235733506954906e-06,1.2231047730892896e-05,4.454096779227257e-06,2.6228372007608415e-08,-9.702984243631362e-07,-5.528641243775686e-07,-2.2606303294499717e-06,-1.414562575519085e-06,-2.5543151423335077e-06,-3.5200345640381175e-06,-4.171250232805809e-06,-3.5413928950826326e-06
27,1.3373171289761862e-06,-4.685441187272469e-06,1.3709906488656997e-05,4.47233517964681e-06,-1.9245431758463384e-06,-1.698891477038463e-06,-8.438713848590851e-07,-1.6653056566913923e-06,-1.4688897257049878e-06,-2.425218311448892e-06,-3.204999181131522e-06,-3.2973475754261017e-06,-3.10894101858139e-06
28,5.617768685352753e-07,-4.935804831783802e-06,1.647907572013956e-05,7.69014014278952e-06,-2.8758197713689687e-06,-2.6550016431640293e-06,-1.7095237382962e-06,-7.772398919361756e-07,-1.5977495717062494e-06,-1.987662645543759e-06,-2.591187690860008e-06,-2.716766492583445e-06,-3.067838391327759e-06
29,1.185565876464049e-06,-3.650245101501544e-06,1.7859107659508786e-05,4.840343414495388e-06,-4.7477427870035175e-06,-2.745003439486027e-06,-3.2576111455758414e-06,-1.13523177181681e-06,-1.2098656346400578e-06,-7.623108103871345e-07,-1.0978896170854568e-06,-1.2342158394555252e-06,-2.153807630141576e-06
