,outdiv_50,outdiv_100,outdiv_200,outdiv_250,outdiv_300,outdiv_400,outdiv_500,outdiv_600,outdiv_700,outdiv_800,outdiv_850,outdiv_925,outdiv_1000
0,-1.296009092281262e-06,-8.03022412583232e-06,9.834797432025273e-06,8.504531191041072e-06,1.8849309223393598e-06,-2.8800801374018193e-06,6.175483576953411e-07,-7.788961132367452e-07,-1.374143175780773e-06,-1.2918375432491302e-06,-1.1956629653771718e-06,-1.5208575253685316e-06,-2.6301985296110312e-06
1,-4.371317724386851e-07,-3.862563365449508e-06,8.25191382318735e-06,6.5865499588350454e-06,5.049320558706919e-07,-2.838054206222296e-06,1.2044251586000124e-06,1.7310958355665206e-08,1.9572131956617038e-07,-9.04158999522527e-08,-9.421491995453835e-07,-2.8931147729357085e-06,-4.068963850537936e-06
2,-2.3511626447240513e-07,-7.726096858580906e-09,6.840533266464869e-06,4.0735467337071896e-06,-9.399179058770338e-07,-2.262248502423366e-06,2.2916744152704873e-06,1.304973072061936e-06,1.7482088878750801e-06,-1.2182785818974176e-06,-3.0143264060219127e-06,-5.607927838961283e-06,-5.661222773293654e-06
3,-3.606391449769338e-07,4.133244510740042e-06,6.411791158219179e-06,3.339427833755811e-06,-2.750393468886614e-06,3.022452195485433e-07,2.8108712285757066e-06,7.16970923046271e-07,8.955442657073339e-07,-2.983709176381429e-06,-4.836559916536013e-06,-7.32735109825929e-06,-7.235848655303319e-06
4,5.036049212018649e-07,5.962171902259191e-06,6.554943198959033e-06,3.976002335548401e-06,-1.1500359202424685e-06,2.7898272189001243e-06,2.2349335874120396e-06,-3.0055719738205276e-07,-1.1935442065199217e-06,-3.7338119000196458e-06,-5.416835968693098e-06,-7.169841167827447e-06,-6.41158161063989e-06
5,2.0970085946222148e-06,5.283202820767959e-06,6.282248068600893e-06,3.7146848626434805e-06,8.206116035580635e-08,3.1999933222929637e-06,1.4922504002849262e-06,-5.807184303800265e-08,-1.3708757857481639e-06,-3.0128130068381625e-06,-5.182895498971144e-06,-7.219263352453709e-06,-5.910817223290602e-06
6,1.6716813358167807e-06,3.942940384149551e-06,7.680869506051144e-06,4.523348373671373e-06,1.3625637317697208e-06,2.565413403014342e-06,8.434290066361427e-07,1.3478954012195268e-07,-1.6007650022705397e-06,-3.42992910494407e-06,-5.963599930206935e-06,-9.249011054635047e-06,-7.824405717353026e-06
7,-1.3859903750320277e-06,6.759290893872579e-06,1.2327680209030707e-05,7.771828677505255e-06,2.721060688296954e-06,1.0298953081170718e-06,-6.016615467766921e-07,-1.3998088737328847e-06,-2.8367542351285616e-06,-5.240963461498419e-06,-7.124687545001507e-06,-1.0133146618803342e-05,-8.648253666857878e-06
8,-1.0099417219559351e-07,5.221328077216943e-06,1.5534099657088517e-05,1.0457689252992471e-05,4.658250448604425e-06,9.484123438596726e-07,-2.0351920587321124e-06,-3.5182883342107135e-06,-3.0622351914644243e-06,-4.894581312934557e-06,-6.671443892021974e-06,-9.185176653166612e-06,-8.790389013787111e-06
9,7.169476399819057e-07,5.868896065900723e-06,1.6088259872049094e-05,9.076856076717377e-06,3.6445679143071173e-06,1.339823938906193e-07,-2.0793833148976167e-06,-3.040744923055172e-06,-2.8277359281977017e-06,-4.915085931619009e-06,-6.466995303829511e-06,-8.613329070309798e-06,-7.520033977925777e-06
