,mslp
0,100565.25
1,100583.9375
2,100706.75
3,100655.875
4,100489.4375
5,100610.9375
6,100607.125
7,100496.9375
8,100394.625
9,100424.875
10,100413.625
11,100397.6875
12,100271.8125
13,100267.1875
14,100239.6875
15,100168.25
16,100031.1875
17,99979.3125
18,100030.3125
19,99981.3125
20,99752.3125
21,99647.4375
22,99716.8125
23,99654.625
24,99467.375
25,99433.5
26,99487.875
27,99519.375
28,99351.875
29,99341.0
30,99705.9375
31,99693.625
32,99594.5
33,99656.125
34,99708.125
35,99839.9375
36,99731.8125
37,99717.375
38,99619.4375
39,99620.9375
40,99507.8125
41,99492.5625
42,99331.3125
43,99420.1875
44,99441.6875
45,99611.25
46,99974.6875
47,100039.6875
48,99873.875
49,99930.0625
50,99942.1875
51,99885.75
52,99751.5
53,99698.75
54,99675.875
55,99634.8125
56,99449.0625
57,99375.1875
58,99500.5
59,99534.625
60,99427.6875
61,99494.125
62,99950.0625
63,100156.25
64,100263.125
65,100433.1875
66,100752.3125
67,101031.0
68,101155.5
