,outdiv_50,outdiv_100,outdiv_200,outdiv_250,outdiv_300,outdiv_400,outdiv_500,outdiv_600,outdiv_700,outdiv_800,outdiv_850,outdiv_925,outdiv_1000
0,-2.1489104256033897e-06,5.804553317526976e-06,8.85501503944397e-06,2.5731433803836507e-06,-1.694409487148126e-06,-3.0150016148885093e-06,-1.4412022816638153e-06,-2.311922920246919e-06,-3.687094431370497e-06,-8.921449383099873e-07,-1.063725600639979e-07,-7.914689679940542e-08,-9.570037946105004e-07
1,-3.2861949875950814e-06,3.1059491448104383e-06,6.020069122314453e-06,1.5651302722593149e-06,-2.5107680509487785e-07,-1.284755611171325e-06,7.699243724346161e-07,-1.7309483761588733e-06,-3.924876606712739e-06,-4.2316193381945293e-07,4.683000346024831e-07,-3.753152365485827e-07,-1.3444689102470874e-06
2,-4.0611692731311215e-06,-1.0592296827754538e-06,4.579057082286514e-06,1.8261409754946025e-06,-7.696453621031338e-07,1.842318357768395e-07,2.557112298194798e-06,-1.1220108717679977e-06,-5.1096665259466135e-06,-1.1358435238669027e-06,-7.555112861004114e-08,-9.188627538221011e-07,-1.9508609123126105e-06
3,-1.3926861962924402e-06,-3.7948135286569596e-06,3.726244904100895e-06,2.0224639835457006e-06,6.655308728416761e-07,6.570635984341303e-07,1.8002426562209925e-06,-1.1544558219611646e-06,-4.826249399532874e-06,-1.168359691898028e-06,-5.111408730347951e-08,-1.0662634546558062e-06,-1.8860834340254466e-06
4,-1.127319410443306e-06,-4.108863261838754e-06,4.159480643769105e-06,3.1876610592007636e-06,2.054862367610137e-06,-1.3101302708188692e-06,-6.824654216567675e-08,-1.6632489860057832e-06,-3.532813085863988e-06,6.700865924358368e-08,9.069684892892838e-07,-3.856141120195389e-07,-1.644494477659464e-06
5,-2.8955556141833466e-06,-3.888458013534546e-06,5.292062026758989e-06,4.636216908693314e-06,3.009173087775707e-06,-4.584357763330142e-07,2.4304802839954697e-07,-2.137493963042895e-06,-3.5283893036345643e-06,-5.318705613414447e-07,-3.4795763591925304e-07,-1.3333202029267947e-06,-2.5966398728390535e-06
6,-1.9545589263240496e-06,-4.481330203513305e-06,4.803847211102644e-06,3.715623946239551e-06,2.2430943014721075e-06,-6.941185953716437e-07,3.6471368124087653e-07,-2.2806071986754735e-06,-1.8501188606023788e-06,6.798654794692993e-09,-2.812516565124194e-07,-2.548261545598507e-06,-3.5773303049306074e-06
7,-1.4628438899914424e-06,-3.141358805199464e-06,3.9138753588000934e-06,2.7942548816402754e-06,1.481559593230486e-06,-3.908489209910234e-07,-1.8006345878044764e-07,-2.2825862591465314e-06,-1.2056048338611922e-06,-4.4403132051229475e-07,-1.289842960735162e-06,-3.744071970383326e-06,-3.955385182052851e-06
8,-1.1714388771603506e-06,-2.025580033659935e-06,3.5745673812925815e-06,4.191036957005659e-06,2.219229160497586e-06,-9.937987973292668e-08,-2.3108829433719317e-07,-1.3558853728075823e-06,-1.5670666471123695e-06,-1.7091166228055955e-06,-2.2291516264279683e-06,-3.563123755156994e-06,-3.6923990895350775e-06
9,-1.104490365833044e-08,4.724133759737015e-07,5.847366992384195e-06,5.878903903067112e-06,2.9391259886324407e-06,-2.5218275065223373e-07,-9.166309610009194e-07,-1.3553149377306303e-06,-1.7601530998945237e-06,-2.3730176811416943e-06,-2.6667490601539613e-06,-3.2017938792705537e-06,-3.259272004167239e-06
10,2.5956425815820696e-06,1.6261513034502665e-06,6.277013259629408e-06,6.059921967486541e-06,2.794107422232628e-06,-2.720284586151441e-06,-1.1760663862029712e-06,-8.224820097287496e-07,-1.1678668670356273e-06,-1.759819375971953e-06,-2.755713649094105e-06,-3.643046754101912e-06,-4.012292871872584e-06
11,4.102332362284263e-06,3.423192538321018e-07,9.105424396693707e-06,4.305271431803703e-06,2.4498750766118367e-06,-3.326323349028826e-06,-1.9925025602181753e-06,-6.06108612070481e-07,-7.059968387087186e-07,-1.9512294481197994e-06,-2.8614187613129617e-06,-3.852384785811106e-06,-3.432470839470625e-06
12,4.043175916497906e-06,-1.1400862907369931e-06,1.3401972440381845e-05,7.663907793660958e-06,2.7486976856986684e-06,-3.9949741524954636e-06,-3.861958005776008e-06,-8.702510967850685e-07,-1.0381685569882392e-06,-1.8574530258774757e-06,-2.485979348421097e-06,-2.7965133388837177e-06,-2.135864148537318e-06
13,2.218284256135424e-06,-1.78174814209342e-06,1.3583766606946787e-05,8.660065941512584e-06,2.5161891244351866e-06,-2.4436390958726407e-06,-3.4067702169219654e-06,-7.407041266560555e-07,-1.8048488224546114e-06,-2.7999049052596092e-06,-3.2143046458562217e-06,-3.942583377162615e-06,-3.2908205563823383e-06
14,4.2776897316798564e-06,-9.357075517376264e-07,1.4711210193733374e-05,9.210951005419095e-06,1.7941618959108989e-06,-4.012739130606254e-06,-3.7784610564510028e-06,-1.505634281784296e-06,-1.358132188518842e-06,-2.226171394189199e-06,-2.77256282667319e-06,-3.7410994991660117e-06,-3.039495398600896e-06
15,4.511777660809457e-06,-1.7867695229748885e-06,1.4142630000909169e-05,8.654167565206687e-06,1.385897242774566e-06,-5.405683380862077e-06,-4.296594609816869e-06,-2.247553008298079e-06,-1.69510409856836e-06,-1.573923509567976e-06,-1.5147573625048e-06,-2.515401380757491e-06,-2.746144309639931e-06
16,3.981726684634616e-06,-3.977559885605242e-06,1.1950032785534859e-05,7.0491651096284635e-06,1.5665290112070028e-06,-5.307251827103468e-06,-3.913342102558286e-06,-2.3048900500620056e-06,-1.8627581831948885e-06,-9.524676546887244e-07,-3.59102140694733e-07,-1.1215249223333176e-06,-1.5694939790301303e-06
17,2.0311097614467142e-06,-2.747622784227133e-06,1.3070227578282356e-05,8.274839880565802e-06,2.9476359486579895e-06,-4.271479944388071e-06,-3.3150582263867062e-06,-2.4400108183423678e-06,-9.614236963291964e-07,-8.156367888053258e-07,-6.590504199266434e-07,-2.217118162661791e-06,-3.2998660268882912e-06
18,1.087730440000693e-06,-6.228646573921045e-07,9.591877460479737e-06,7.1587817122538885e-06,3.1806955424447855e-06,-3.0403491109609606e-06,-3.0506518669426443e-06,-2.641525740424792e-06,-1.786944145957629e-06,-1.2718373909592628e-06,-1.0704078401128451e-06,-2.931477501988411e-06,-4.2181811295449735e-06
19,-2.5443189466993013e-06,-1.7233619776864848e-06,9.922209816674391e-06,8.065354389448961e-06,3.1951465643942354e-06,-3.3096837190290293e-06,-3.664548664043347e-06,-3.5627357040842376e-06,-1.5690728711585204e-06,-1.2375336761275928e-06,-1.4153852437933287e-06,-2.7609368165334065e-06,-3.369393137594064e-06
20,-4.426921562602123e-06,-2.9048377958436805e-06,1.0167687044789393e-05,8.050383379062016e-06,3.9334176108241085e-06,-1.6914292549093564e-06,-3.3323575432101886e-06,-3.6444864235818388e-06,-7.31476272145907e-07,-1.071397370348374e-06,-1.5284710874160131e-06,-3.2978869664172333e-06,-2.9486060763398805e-06
21,-6.439505765835444e-06,-2.106566292544206e-06,1.0133635563155015e-05,6.1065297889702686e-06,4.3897307477891445e-06,-2.033581646780173e-06,-4.170330551763376e-06,-3.3168044562141103e-06,7.438201767702898e-07,-8.803869908054669e-07,-2.0120137681563694e-06,-4.201879103978475e-06,-3.4132584308584533e-06
22,-5.479113315232098e-06,-2.6623951271176337e-06,9.375414811074733e-06,3.6902570476134617e-06,1.3066339306533336e-06,-4.126744655271371e-06,-2.9535692495604357e-06,-1.9106237838665646e-06,2.1722361755867797e-06,-4.4978999843200046e-07,-1.875582771996657e-06,-3.7040716658035914e-06,-3.2380068053801854e-06
