,outdiv_50,outdiv_100,outdiv_200,outdiv_250,outdiv_300,outdiv_400,outdiv_500,outdiv_600,outdiv_700,outdiv_800,outdiv_850,outdiv_925,outdiv_1000
0,4.186777903261706e-06,-1.347693324831017e-07,4.398894469211211e-06,3.2660014216335977e-06,-1.275865554314926e-06,-1.235125022186778e-06,1.4519647413022291e-06,-1.0727599448682857e-07,-1.2259431863474154e-06,-9.263964192130259e-07,-1.3875972124056203e-06,-1.947631232471387e-06,-1.74769057401483e-06
1,-5.630562858035167e-07,-2.628114695350329e-07,5.370805350442728e-06,4.697521217167378e-06,-9.937056650718053e-07,-1.0055567448337872e-06,1.3280659914016723e-07,-1.0956505623956522e-06,-2.2692838683724403e-06,-1.8208598097165427e-06,-1.943033809463183e-06,-2.152721087137858e-06,-1.3259782766302428e-06
2,-4.206072776752265e-06,-2.558140230994996e-06,5.059290089918865e-06,2.8427713454017006e-06,-8.518886810392759e-07,-2.9969496722043304e-06,7.363631393899561e-08,5.116554835030647e-07,-1.2638665642975772e-06,-9.801387555000692e-07,-7.960953096631156e-07,-1.5754384062102227e-06,-1.0853733759203393e-06
3,-5.4409620740140476e-06,-2.969106814513604e-06,3.2633892260491847e-06,3.2742973417043686e-06,-5.888597418864568e-07,-3.5578540215889613e-06,-2.8319967289765674e-07,9.306124411523342e-07,-2.5931124885876974e-07,1.3102156420548757e-07,1.4911250521739323e-07,-1.480096640686194e-06,-1.196206236879031e-06
4,-4.030337246755759e-06,-2.3587917288144428e-06,1.917240054657062e-06,3.756582736968994e-06,1.2139789760112762e-07,-2.252151413510243e-06,-1.4594988897442818e-07,5.35619134704272e-07,-4.3165249129136405e-07,-9.784319748481115e-08,2.050306648015976e-07,-1.9966547066966695e-06,-2.051695870856444e-06
5,-4.124711267650127e-06,-1.039802252004544e-06,3.4341122955083846e-06,3.5938574001193047e-06,1.2229041506846746e-07,-2.2858032025396826e-06,6.214405099550883e-07,4.4842793916662534e-07,-5.004617075125376e-07,-8.439955612023672e-07,-1.0815837110082309e-06,-3.90527614702781e-06,-3.3154540384809176e-06
6,-1.4264039701059522e-06,8.019257367770207e-07,4.70819983523169e-06,4.299578191210126e-06,8.31258533468385e-07,-2.289245956233428e-06,1.2112864490242914e-06,9.417178348881575e-07,-1.1060460319904865e-06,-1.8396741358942017e-06,-2.92669761446749e-06,-5.069173315995956e-06,-4.40865789860858e-06
7,6.013472254077594e-07,1.737188237408797e-07,5.251037267347177e-06,5.425446821997563e-06,2.0933221094310284e-06,-3.6748979861537617e-06,5.185448875029882e-07,5.049902635316054e-07,-1.2058260229726633e-06,-1.159993310769399e-06,-2.651164929072062e-06,-3.5094252477089564e-06,-3.5540744041403134e-06
8,1.7978685364103972e-06,1.430577169562771e-06,7.43775752168226e-06,6.011129778141303e-06,1.9883746629063025e-06,-4.913007716853094e-06,4.2578541669855474e-07,6.532252097649198e-07,-6.820894468622089e-07,-1.373577136469085e-06,-2.7869828045368195e-06,-3.962866436396397e-06,-3.4614497046005674e-06
9,2.1435145754367115e-06,1.404519813756148e-06,7.563200779259205e-06,6.18593767285347e-06,1.6617598400140802e-06,-4.997189777592818e-06,4.655448719859123e-08,2.4088270341356594e-07,-1.1022202670574188e-06,-1.4816954111059506e-06,-2.6838233073552448e-06,-4.178859914342562e-06,-3.3651090537508328e-06
