,outvort_10,outvort_20,outvort_30,outvort_50,outvort_70,outvort_100,outvort_150,outvort_200,outvort_250,outvort_300,outvort_400,outvort_500,outvort_600,outvort_700,outvort_800,outvort_850,outvort_900,outvort_925,outvort_950,outvort_975,outvort_1000,outrhum_10,outrhum_20,outrhum_30,outrhum_50,outrhum_70,outrhum_100,outrhum_150,outrhum_200,outrhum_250,outrhum_300,outrhum_400,outrhum_500,outrhum_600,outrhum_700,outrhum_800,outrhum_850,outrhum_900,outrhum_925,outrhum_950,outrhum_975,outrhum_1000,outgpot_10,outgpot_20,outgpot_30,outgpot_50,outgpot_70,outgpot_100,outgpot_150,outgpot_200,outgpot_250,outgpot_300,outgpot_400,outgpot_500,outgpot_600,outgpot_700,outgpot_800,outgpot_850,outgpot_900,outgpot_925,outgpot_950,outgpot_975,outgpot_1000,outtemp_10,outtemp_20,outtemp_30,outtemp_50,outtemp_70,outtemp_100,outtemp_150,outtemp_200,outtemp_250,outtemp_300,outtemp_400,outtemp_500,outtemp_600,outtemp_700,outtemp_800,outtemp_850,outtemp_900,outtemp_925,outtemp_950,outtemp_975,outtemp_1000,outvvel_10,outvvel_20,outvvel_30,outvvel_50,outvvel_70,outvvel_100,outvvel_150,outvvel_200,outvvel_250,outvvel_300,outvvel_400,outvvel_500,outvvel_600,outvvel_700,outvvel_850,outvvel_925,outvvel_975,outvvel_1000
0,7.284678091915945e-06,-1.2717985858519872e-07,-1.0197834732631843e-05,-4.550403294463952e-06,2.64843984041363e-06,-8.224338913957279e-06,-1.0194357795019945e-05,-1.1723539015899102e-05,-1.1108485826601585e-05,-6.8232417106628415e-06,-2.587734100719293e-06,2.97835407157739e-06,3.5192080152531465e-06,6.077112630009651e-06,9.102521774669488e-06,9.616992125908533e-06,9.952943461636702e-06,9.869163235028584e-06,9.60079487413168e-06,9.346481723090013e-06,8.693981605271499e-06,0.061199014882246654,0.3204183696458737,1.0695752543086807,8.28809912726283,32.545523046453795,106.87678754429022,82.24364878336588,75.47247111002604,65.64128183275461,60.58881573465963,50.388007211933534,56.685255455474056,63.77316667735577,69.1560969799757,79.77229189475378,84.12609049479167,88.42016806006431,91.68830922444661,93.55727844238281,90.1948455810547,82.74113566080729,302198.31783854164,257804.06041666667,232587.12018229166,201950.374609375,182598.07760416667,162819.83893229166,139951.36861979167,122276.40481770833,107644.16067708333,95090.23216145833,74264.3943359375,57288.693684895836,42950.96015625,30489.746028645834,19423.431705729166,14321.53125,9467.202213541666,7124.93212890625,4835.407877604167,2594.631982421875,395.9926432291667,228.02796173095703,219.78283360799153,213.43228022257486,203.57503763834634,197.35531311035157,189.72491073608398,206.06817042032878,222.10972162882487,234.73990224202473,244.73642705281574,259.33655904134116,269.6023813883464,276.8973274230957,284.0924290974935,289.73438720703126,292.1224614461263,294.40732421875,295.4308792114258,296.5212636311849,298.1151769002279,300.2513926188151,-0.0005840962131818136,-0.002015685041745504,-0.0008481701215108235,0.0022204538186391194,-0.005096693833669026,-0.010677806536356608,-0.0353636105855306,-0.05538021723429362,-0.07296276092529297,-0.09140710830688477,-0.0904086430867513,-0.0664218266805013,-0.05992889404296875,-0.05743478139241536,-0.04848175048828125,-0.02892157236735026,-0.006993230183919271,0.004676024119059245
1,8.362131224678543e-06,1.3887512819315945e-06,-1.1268674919605873e-05,-4.103512508520292e-06,1.0823427131438156e-06,-8.907402900368346e-06,-8.585633849145466e-06,-1.0361717202356743e-05,-1.138005757325665e-05,-7.252158651213428e-06,-2.1546196068841887e-06,2.999129198893472e-06,3.626467698713556e-06,5.676483549950529e-06,9.18228024640024e-06,9.911848788624977e-06,1.0690722359475752e-05,1.0925525783936017e-05,1.0724559124883775e-05,1.041270711331694e-05,9.653189401161622e-06,0.0627560752658444,0.33875819768261983,1.0285712480545044,7.362226276353187,33.680166014991855,110.51776960974412,82.03730191630447,73.12633338508765,65.88009354583455,60.91469725297138,50.19233071259938,57.36748594713409,64.9903450803638,69.62045041950907,80.42420796338948,84.54014948294865,88.52299781656859,91.6752992685405,93.43300961063116,90.85252915378427,83.52520375231984,302311.9468360996,257942.92855290457,232704.93607365145,202025.25881742738,182643.77671161827,162904.40586099584,140048.07533713692,122379.32274377593,107751.23184647303,95197.86345954357,74371.80462266598,57397.75038900415,43064.72216999481,30607.38934452801,19544.73888096473,14444.110671680497,9590.399693659232,7248.422888031639,4959.150479771784,2718.9298992236127,521.3305400674274,227.82845746432102,219.2732121004603,213.7413164194194,204.26684867890543,197.10851810186236,189.3381644601149,206.01423246138324,222.02579849686364,234.72633513771152,244.75517051348547,259.34162111401065,269.5314533661015,276.7995751092048,283.992047195118,289.6490710246612,292.06865366069115,294.36559260831336,295.40783159564637,296.4887613003679,297.9951683455978,300.09064366510796,0.0003967455344823386,0.0002664236112254289,0.00409769863508549,0.00529746940027134,0.0008085993315669017,-0.011430820241508642,-0.04586506285608062,-0.06599518075523535,-0.08553892349306479,-0.09925449735396136,-0.10593741959061366,-0.08728374781944939,-0.07147793750050652,-0.06131889216632764,-0.04464225452470581,-0.02108929661794322,0.0023118648291623445,0.014916633669271508
2,8.668990146058301e-06,1.6249153607835372e-06,-1.0864684008993209e-05,-4.272514100496968e-06,-9.591817312563458e-07,-1.0408859816379845e-05,-9.360901700953643e-06,-1.1289837614943583e-05,-9.952175120512645e-06,-5.463425380488237e-06,-2.451155645151933e-06,3.184921418627103e-06,4.808628000319004e-06,5.983910523355007e-06,8.50155483931303e-06,9.525404311716557e-06,1.0379939340054989e-05,1.0344432666897774e-05,9.932174968222778e-06,9.88782849162817e-06,9.25875889758269e-06,0.06298140047292691,0.35045396350324154,0.9255198807610819,6.0348540756230555,32.91496658325195,110.35411515037218,85.5353239322702,79.0897720353057,72.83399047851563,65.77548387271041,54.18921295915109,61.60138996938864,67.45790889660518,70.35357513427735,80.42796936035157,84.26887461344401,88.75661624670029,92.22847188313803,93.90948282877604,91.02857513427735,83.99200744628907,302547.308984375,258166.79557291666,232911.555078125,202095.15455729168,182640.009765625,162890.79322916668,140043.33997395833,122391.408984375,107779.10091145833,95235.984765625,74425.02044270834,57466.571940104164,43141.461588541664,30686.625,19622.976171875,14522.836393229167,9670.755208333334,7330.262727864583,5042.828580729167,2804.37080078125,608.8362630208334,227.8501408894857,218.9306427001953,214.45128682454427,205.41659545898438,197.28326924641928,189.16970240275066,205.83923797607423,221.78607279459635,234.4929997762044,244.55827916463215,259.1062286376953,269.316002146403,276.6131062825521,284.02167358398435,289.63436228434244,292.0297078450521,294.23316650390626,295.2046783447266,296.27918548583983,297.7800038655599,299.82664744059247,0.00038674424091974895,0.0005816211303075155,0.0018712133169174194,0.003773359457651774,0.002302229404449463,-0.006528774897257487,-0.0497459093729655,-0.08127015431722005,-0.1085023562113444,-0.1205031712849935,-0.1248043696085612,-0.1102755864461263,-0.08459657033284505,-0.06528205871582031,-0.04339885711669922,-0.026737467447916666,-0.012092399597167968,-0.004174995422363281
3,6.326153080744275e-06,5.4612800457681e-07,-1.0202250190280162e-05,-4.6113669230792035e-06,-1.6060271358341598e-06,-1.0458167054964794e-05,-9.019100744880087e-06,-1.1062395422723284e-05,-1.0569826255386301e-05,-5.211879178510662e-06,-3.0133550546104978e-06,3.327032999440842e-06,5.760362480005783e-06,5.941655432720402e-06,8.46720323801288e-06,9.644824887830687e-06,1.0371311563859342e-05,1.0330122760284491e-05,9.848001988844258e-06,9.80650016813852e-06,9.253364118179345e-06,0.06374030890951853,0.35963427004910603,0.9193888213562768,5.881877096609456,32.559760224275074,108.50078580785095,85.54061706926812,79.15638104959147,73.77467178902685,67.64709239530366,56.45632622301331,61.662483677082534,66.82016292375152,69.18180734586913,80.20415413528063,84.07229487035285,88.64803065699661,92.24266428967235,93.78914031349277,91.61314588364723,84.64673038340209,302441.88031639,258088.94437240664,232863.06859439833,202034.13978215767,182556.4091026971,162802.03086099584,139958.07857883818,122310.5341026971,107699.20811721991,95157.72510373444,74344.60460969916,57383.3463595695,43058.478005057055,30605.60786760892,19544.06202995332,14444.480322873444,9592.957606651971,7252.964110315093,4965.837671810166,2727.824255219139,532.8235866182573,227.79345544838807,218.7543961774264,214.4874202997358,205.5845523691771,197.38088685348322,189.08591147774976,205.75689000806372,221.7928975212129,234.46883294196545,244.52782595306016,259.1406694467632,269.3367146218961,276.60393856570926,283.9834048955767,289.60732943586294,292.01020933285787,294.1780040946739,295.1704028117706,296.2425162287669,297.6960707541818,299.7469314005365,0.00016570520969841986,-0.000553791515560071,-0.00013436469794308992,0.000301827286288946,-0.0006364705156983181,-0.00820545462651866,-0.04858736774238808,-0.07534593764182443,-0.10029217415330816,-0.1188201706439133,-0.13895243727814607,-0.1207872050431754,-0.09510876430020787,-0.07704666739182849,-0.06283320430898073,-0.04488840142720962,-0.026941853440154144,-0.017137749066491344
4,4.367029760032892e-06,-9.757864366595945e-07,-9.177109071364005e-06,-4.864507354795933e-06,-1.649259744832913e-06,-9.358041764547427e-06,-8.74410616233945e-06,-8.9032924734056e-06,-1.0034678659091394e-05,-6.123865023255348e-06,-4.0602482234438264e-06,2.6695352668563527e-06,5.543759713570277e-06,6.132999745508035e-06,7.94855101654927e-06,9.161544342835744e-06,1.021491674085458e-05,1.0283213729659716e-05,9.834106701115767e-06,9.703061853845915e-06,9.102925347785156e-06,0.06434404518222436,0.3991895318031311,1.0140772788474957,6.030375742167235,32.688561247537535,106.21753845214843,86.05194019029538,77.92947235107422,72.43287398715815,66.9447260538737,57.71499226888021,61.4815486818552,66.54999313056469,68.30497233072917,79.90385589599609,83.82013041923443,88.48766485949358,92.0054194132487,93.54531504313151,92.02074839274088,84.74554545084635,302006.5690104167,257800.14205729167,232680.08307291666,201908.7828125,182449.11953125,162697.70221354166,139862.45065104167,122221.62643229167,107604.04309895834,95059.038671875,74238.1427734375,57272.7857421875,42948.295572916664,30497.074479166666,19437.21015625,14337.964453125,9486.987825520833,7147.117643229167,4860.152799479167,2622.4108723958334,427.5615234375,227.6340815226237,217.95744934082032,213.7469388326009,205.33550745646158,197.3465337117513,189.02294947306316,205.6195376078288,221.84151204427084,234.53778254191081,244.63205897013347,259.1943036397298,269.3990203857422,276.5710072835287,283.94396107991537,289.59285329182944,292.00233662923176,294.1531911214193,295.16320241292317,296.226335144043,297.64559173583984,299.7478037516276,0.0006572514772415161,-0.000683369239171346,-0.0033374100923538206,0.0003405819336573283,-0.0005890587965647379,-0.006080150604248047,-0.04832267761230469,-0.06483955383300781,-0.07897504170735677,-0.09352169036865235,-0.11157633463541666,-0.08621718088785807,-0.06776803334554037,-0.0524450937906901,-0.030658467610677084,-0.017838414510091147,-0.005557505289713541,0.0007532755533854167
5,4.622191772796213e-06,-1.291616354137659e-06,-7.865706963154178e-06,-4.494155291467905e-06,-1.3699561047057311e-06,-9.943300392478705e-06,-7.974639690170685e-06,-6.50918809697032e-06,-9.024783503264189e-06,-8.13910737633705e-06,-4.716147668659687e-06,2.36042154332002e-06,5.361538690825304e-06,6.863055750727653e-06,8.54185006270806e-06,9.945663623511792e-06,1.1122948490083217e-05,1.0765848370889823e-05,1.0315778975685438e-05,9.990894856552283e-06,9.398565938075383e-06,0.06252275618026033,0.399957529703776,1.1331832806269329,5.870538902282715,31.379815698166688,105.53149719238282,89.0037338256836,77.52474302699169,71.94438532963395,67.80326692014933,58.79648490498463,61.30869383091728,66.25250759397944,67.7572595330576,78.98863296707471,82.47851155598958,87.90698400636514,91.5149007131656,93.03175557454428,91.51764475504557,84.3022023399671,302116.95078125,257862.24192708332,232800.63333333333,202075.8421875,182595.55611979167,162817.01484375,139992.98424479167,122357.34791666667,107740.40182291667,95195.29583333334,74372.70091145833,57406.185286458334,43080.78522135417,30631.086979166666,19573.060091145835,14473.628190104168,9622.23076171875,7282.284114583334,4995.18388671875,2757.245426432292,562.2134114583333,227.8583719889323,217.98967412312825,212.932484181722,205.47540130615235,197.62689412434895,189.09588063557942,205.53082478841145,221.77012354532877,234.55553181966147,244.62151921590169,259.18867416381835,269.43991063435874,276.5641047159831,283.8932815551758,289.60924326578777,292.06200714111327,294.17741139729816,295.1780258178711,296.2626617431641,297.6884704589844,299.77310333251955,0.0007363912959893544,0.001950484017531077,-0.0021295721332232156,0.0027237703402837117,0.002532811959584554,0.0014403303464253744,-0.05361507733662923,-0.07504488627115885,-0.09315996170043946,-0.10642801920572917,-0.12093276977539062,-0.09367491404215494,-0.07596143086751302,-0.057773462931315106,-0.029253260294596354,-0.010262489318847656,0.00945431391398112,0.020175806681315103
6,6.454470955456296e-06,-2.069131975683073e-06,-7.215429407854875e-06,-5.712048732675612e-06,1.572703088944157e-07,-1.2656910500178735e-05,-1.0936726660778125e-05,-8.167660174270472e-06,-7.832058084507783e-06,-8.95037471006314e-06,-5.828628006080786e-06,9.30026484032472e-07,4.5620913927753765e-06,6.8552947292725245e-06,9.079665566484134e-06,1.065256850173076e-05,1.1747780566414198e-05,1.1345014596978823e-05,1.0571217474838098e-05,1.026746661712726e-05,9.711971506476402e-06,0.058242178013703474,0.3726078411641841,1.1404525768011808,5.653655434958637,31.51608378092448,100.63581843276819,90.55507761438687,77.43829498713215,70.39275491833686,68.87921714447438,59.58826294044653,63.56833561112483,67.48754577636718,67.90513010447224,78.34087982177735,81.81666971839344,87.6882257839044,90.67766774495443,92.41306660970052,90.68492126862208,83.36630244056384,302583.428515625,258132.67994791668,233024.85807291666,202270.607421875,182783.750390625,162961.36263020834,140123.534765625,122474.53515625,107850.30885416667,95300.80859375,74470.2359375,57501.45032552083,43173.06881510417,30717.507161458332,19654.203385416666,14552.894401041667,9700.43330078125,7360.11748046875,5072.6591796875,2834.48203125,639.1662109375,228.42649993896484,218.6716199239095,212.87096532185873,205.7348383585612,197.65624567667643,189.76955897013346,205.62582651774088,221.90539220174153,234.67163823445637,244.69680709838866,259.2654385884603,269.4575553894043,276.61572418212893,284.0565663655599,289.7253112792969,292.15578104654946,294.21763102213544,295.2495391845703,296.31375986735026,297.7444132486979,299.83174489339194,-0.0007841294010480245,0.0019438207149505616,-0.0018424530824025472,-0.0026474744081497192,-0.005949099858601888,0.0008104761441548665,-0.04317185084025065,-0.06768506368001302,-0.10173187255859376,-0.13167572021484375,-0.14215450286865233,-0.09499022165934244,-0.05449460347493489,-0.02997124989827474,-0.016978645324707033,-0.018461163838704428,-0.014045937856038412,-0.011370658874511719
7,6.031484614747266e-06,-2.9430821693191928e-06,-8.803410067533453e-06,-7.9525780165568e-06,-1.2124859495088457e-06,-1.1583557352423668e-05,-8.976945540932017e-06,-8.934798340002695e-06,-1.0275631211698055e-05,-1.1189041348795096e-05,-5.677179433405399e-06,1.480096640686194e-06,4.759904307623705e-06,6.840028800070286e-06,8.913385681807994e-06,9.937832752863566e-06,1.0691761660079162e-05,1.0172704545160135e-05,9.488461849590142e-06,9.318441152572632e-06,8.844258263707162e-06,0.06066997330538773,0.3559895581022526,1.1874305963516236,6.049954030290246,36.62446645100911,97.65811655720076,89.05008850097656,75.58290984034538,66.76063334147135,69.60516279985508,61.414821822941306,65.04244944254557,67.18049481138587,67.41811741515994,77.60806121329466,81.68335761179527,87.79888254801432,91.04923451741537,92.37004902660847,89.54500478108724,82.27552904287974,302394.0313802083,257920.82786458332,232795.06692708333,202086.09856770834,182665.01796875,162896.03268229167,140034.171484375,122355.88776041666,107717.09361979166,95159.95625,74328.77063802084,57363.280078125,43033.0021484375,30572.972330729168,19506.235872395835,14402.852669270833,9549.02216796875,7207.805013020833,4919.085091145834,2678.9991373697917,481.29772135416664,228.01133728027344,219.011927541097,212.60079167683918,205.31792500813802,196.8345085144043,189.87196680704753,205.95659942626952,222.22799072265624,234.8592842102051,244.80145797729492,259.20999048550925,269.41956558227537,276.704275004069,284.1315322875977,289.8462829589844,292.254655456543,294.2951344807943,295.3469843546549,296.4873733520508,298.0365585327148,300.1513936360677,-0.0010772446791330974,-0.0011628955602645875,-0.0024862552682558695,-0.0022676219542821247,-0.00653266708056132,-0.0008723894755045573,-0.04582783381144206,-0.07729434967041016,-0.11753005981445312,-0.15228958129882814,-0.15168285369873047,-0.09464651743570963,-0.053520584106445314,-0.04053637186686198,-0.03328660329182943,-0.031244595845540363,-0.023096688588460288,-0.01781762440999349
8,6.3045891953431284e-06,-2.76009895630119e-06,-1.1491249361330511e-05,-8.261568191716316e-06,-3.4703476271394997e-06,-1.1516118041023272e-05,-7.831699483452126e-06,-8.83155904277479e-06,-1.0597137966158479e-05,-1.2316762303539332e-05,-5.268273465489946e-06,2.3519257044891102e-06,4.493774405653546e-06,6.4504367620123864e-06,8.663299775593509e-06,9.273593333314068e-06,9.902486291663775e-06,9.394518420471196e-06,8.99519068015067e-06,8.936262306954356e-06,8.532125309604333e-06,0.062201868696331486,0.3523750285390007,1.2158296539668474,6.17164393029025,42.31045947777285,95.80975807257214,87.05136577271821,74.74241852216205,65.60606261011971,70.9494289718723,64.33650750416443,65.29690061911508,66.63966619547966,67.04250324514398,77.04891479312137,81.2511254366008,87.28878945038032,90.49995514169274,92.14728624692101,89.24594230176997,82.04028470585455,302269.5273599585,257797.32663381743,232649.1205912863,201986.75803941907,182602.58337655602,162902.4744553942,140021.70720954356,122325.87966804979,107672.26607883818,95106.78034232365,74269.49468360996,57304.91986514523,42969.2747341805,30503.86426996888,19434.119132520747,14329.08838498444,9473.971481133298,7131.745299533195,4842.015969430758,2600.8841324802256,401.9921875,227.81698196854333,219.12673101781314,212.4337859727535,205.2096878621588,196.00891119612697,189.81866556381289,206.16875321637545,222.46582575754505,235.05423898024182,244.9050969167369,259.1941602437823,269.4364568306697,276.84173254749095,284.19737022051675,289.94708733143153,292.32900735055756,294.41428524033165,295.47624694064444,296.59458296526515,298.1737708887124,300.30685842680236,-0.0011297067882361748,-0.0003520037005056484,0.001207027692517799,0.0007178367915489862,-0.006031488481893579,-0.0031730077573372617,-0.04386060564349796,-0.07384141154309032,-0.10028859292817809,-0.1185999154055267,-0.09838202385486904,-0.04115719617155083,-0.014150781750184372,-0.006911151142041218,-0.008428419279359682,-0.009456143834284232,-0.0037301645239359114,-0.000432501195377334
9,5.684875456305842e-06,-1.2715725461021066e-06,-1.3228201229746143e-05,-7.827514976573486e-06,-6.8114410775403185e-06,-1.066096592694521e-05,-7.927130597333114e-06,-7.687990243236223e-06,-1.1455997203787167e-05,-1.3044686056673527e-05,-5.6033022701740265e-06,2.0612264052033424e-06,3.660788449148337e-06,6.135025372107824e-06,7.833540439605714e-06,8.617240625123184e-06,8.934301634629567e-06,8.493607553342979e-06,8.190314595897992e-06,8.365830096105735e-06,8.166821983953316e-06,0.06722310523424918,0.3463782290384794,1.1030785536548744,5.550060208638509,43.8697929824392,98.07025135656198,85.26221023499966,75.04476163436969,67.8249618296822,73.1468814338247,65.67161619961261,65.1501524190108,67.73020782470704,67.5739023844401,76.33018748760223,81.37036895751953,87.17278594970703,90.04437408447265,91.79246368408204,89.32073872884115,82.05234985351562,302406.52630208334,258011.397265625,232799.38372395834,202080.29700520833,182645.846875,163000.16015625,140114.79231770834,122427.80572916666,107779.5734375,95220.29674479166,74385.39401041667,57420.93561197917,43086.09765625,30620.660546875,19551.21796875,14446.5142578125,9591.27998046875,7248.478483072917,4957.999544270833,2716.1451171875,516.6752604166667,227.20473887125652,219.14672673543294,213.19033508300782,205.93293075561525,195.75575739542643,189.79895680745443,206.1508794148763,222.3345692952474,234.97456436157228,244.77897160847982,259.1774098714193,269.39804153442384,276.84062881469725,284.1853775024414,289.953591410319,292.3082483927409,294.4714101155599,295.56242116292316,296.69286041259767,298.24195454915366,300.35609741210936,0.00027869616945584615,-0.0007425963878631592,0.0038852185010910035,0.006164528926213582,0.0027597685654958087,-0.0037467559178670246,-0.0352394421895345,-0.06445064544677734,-0.08903636932373046,-0.10851160685221355,-0.09235350290934245,-0.04329675038655599,-0.02804285685221354,-0.019432767232259115,-0.02159741719563802,-0.012593714396158855,0.0019712448120117188,0.010419178009033202
