,outdiv_50,outdiv_100,outdiv_200,outdiv_250,outdiv_300,outdiv_400,outdiv_500,outdiv_600,outdiv_700,outdiv_800,outdiv_850,outdiv_925,outdiv_1000
0,7.856482019027075e-07,5.445361603051424e-06,7.71890627220273e-06,5.200117205580075e-06,5.1667098887264725e-06,1.1590154220660528e-06,2.2743285323182743e-07,-1.1355887788037459e-06,-1.459987834095955e-06,-2.729737510283788e-06,-3.679965933163961e-06,-4.566592785219351e-06,-4.132336471229792e-06
1,3.741239197552204e-07,7.023770983020464e-06,7.797397362689177e-06,4.83726616948843e-06,5.28925641750296e-06,1.6178004443645476e-06,1.1830125004053116e-07,-1.5964227107663949e-06,-2.7948874048888685e-06,-3.5739969462156297e-06,-3.928310858706633e-06,-4.368399580319723e-06,-3.7767575122416018e-06
2,9.168637916445732e-07,4.940584767609835e-06,5.62528536344568e-06,3.160846730073293e-06,4.946118375907342e-06,2.2373278625309467e-06,-9.166542440652847e-08,-6.346226048966249e-07,-2.0931630084911984e-06,-2.866618645687898e-06,-3.3681513741612435e-06,-3.425645021100839e-06,-3.096220704416434e-06
3,6.702883789936702e-07,3.9898130732278025e-06,6.884941831231117e-06,4.381538989643256e-06,5.936335461835066e-06,1.2725902100404104e-06,-1.582371381421884e-06,-1.097594698270162e-06,-1.7043668776750564e-06,-2.698227763175964e-06,-3.407895565032959e-06,-4.0673185139894485e-06,-3.6630779504776e-06
4,-3.56618935863177e-07,3.7274012962977093e-06,8.169189095497132e-06,4.7191279008984566e-06,4.7575255545477075e-06,-1.5171244740486146e-07,-2.2946119618912537e-06,-1.7971925747891267e-06,-2.3792963474988937e-06,-3.0368644123276075e-06,-3.662783031662305e-06,-4.362322700520356e-06,-3.60410970946153e-06
5,-1.9183071951071423e-06,4.270645634581645e-06,9.846171208967764e-06,3.1044241040945052e-06,2.727805015941461e-06,-7.299318288763364e-07,-2.696652275820573e-06,-2.504341925183932e-06,-2.4775353570779163e-06,-3.239675424993038e-06,-3.921939060091972e-06,-4.665289695064227e-06,-4.207668825984001e-06
6,-2.332128739605347e-06,1.9226882917185624e-06,1.3324239030983639e-05,5.374301690608263e-06,1.3217679224908351e-06,-1.6654919212063154e-06,-3.185138727227847e-06,-2.007275664558013e-06,-1.972735238571962e-06,-3.043756199379762e-06,-3.5369923959175745e-06,-3.83784839262565e-06,-3.47535436352094e-06
7,-2.101230590293805e-06,8.66362825036049e-08,1.4308711979538202e-05,6.463161359230677e-06,7.110958298047383e-07,-1.0640166389445465e-06,-1.6752746887505054e-06,-1.4186797974010309e-06,-1.415292111535867e-06,-3.024501105149587e-06,-4.150012197593848e-06,-5.003949627280235e-06,-4.708153816560904e-06
8,-9.410393734773e-07,-1.4884164556860923e-06,1.417258366321524e-05,5.69784315302968e-06,1.3148412108421325e-06,1.0097942625482878e-06,-1.8106424249708652e-06,-2.194300759583712e-06,-2.317510855694612e-06,-3.8127414882183076e-06,-5.045711683730285e-06,-5.8337580412626265e-06,-4.854495637118817e-06
9,1.0331161320209503e-06,-4.320801235735417e-06,1.4117174839611834e-05,5.731033161282539e-06,2.4740584194660187e-06,1.1710993324716886e-07,-1.9448731715480485e-06,-2.6692131844659644e-06,-3.0945132796963057e-06,-4.552952790011962e-06,-5.559056686858336e-06,-5.496929710110029e-06,-3.7667729581395784e-06
10,2.496146286527316e-06,-5.311693530529737e-06,1.4651908228794734e-05,6.55419814089934e-06,1.5167985111474992e-06,-2.59403216963013e-06,-2.198674095173677e-06,-1.368299126625061e-06,-1.7160860200723013e-06,-3.9654473463694256e-06,-5.125626921653748e-06,-4.870203944543997e-06,-3.2124885668357212e-06
11,3.3673907940586407e-07,-3.1577151579161484e-06,1.578326046001166e-05,6.706647885342439e-06,1.5381723642349242e-06,-2.7424927490452924e-06,-6.68837067981561e-07,-7.955241017043591e-07,-2.0391074940562247e-06,-4.429727171858152e-06,-5.2727138002713525e-06,-4.975753836333752e-06,-3.3329551418622333e-06
12,9.157617265979449e-08,-2.2413102366651097e-06,1.5314645133912562e-05,8.26902687549591e-06,2.0504191828270754e-06,-2.068579973032077e-06,-1.7145765013992787e-06,-2.728705294430256e-06,-2.9372206578652063e-06,-4.316695655385653e-06,-4.991097375750541e-06,-4.796908857921759e-06,-3.323727287352085e-06
13,-1.907037221826613e-06,-9.21124592423439e-07,1.5143079993625482e-05,7.796555291861295e-06,1.352404554684957e-06,-2.9977022980650265e-06,-2.1502763653794925e-06,-3.5788553456465405e-06,-3.675534389913082e-06,-4.303983102242152e-06,-4.65169238547484e-06,-4.268693737685681e-06,-2.474493036667506e-06
14,-2.74503060306112e-06,9.06716256091992e-07,1.5740775658438604e-05,7.759147168447574e-06,1.0220489154259363e-07,-1.967911763737599e-06,-4.088218944768111e-06,-4.310642058650652e-06,-3.6142456034819287e-06,-3.517698496580124e-06,-3.1750338772932687e-06,-2.84147293617328e-06,-1.9037708019216855e-06
15,-1.8354185158386827e-06,-1.5657395124435425e-06,1.5837404256065686e-05,8.424130889276664e-06,2.0780124941666144e-06,2.1877543379863103e-07,-4.655991991360982e-06,-4.178662008295457e-06,-3.109639510512352e-06,-2.6853599896033604e-06,-2.8963355968395868e-06,-3.1750183552503587e-06,-3.001318934063117e-06
16,1.21221625401328e-06,-2.1342925416926544e-06,1.4125749779244264e-05,8.298107422888279e-06,2.49926233664155e-06,-2.971539894739787e-07,-4.495397054900725e-06,-4.198332317173481e-06,-2.2280107562740644e-06,-1.9606280451019606e-06,-2.6389646033445993e-06,-3.837646606067816e-06,-3.784925987323125e-06
17,4.5489966093252105e-06,-3.5183620639145374e-06,1.3435841538012028e-05,7.829729778071245e-06,3.951818992694219e-06,-2.1066904688874882e-07,-3.7119297000269095e-06,-4.1068065911531445e-06,-2.353230956941843e-06,-2.871174365282059e-06,-3.8053995619217557e-06,-5.241770607729753e-06,-4.819311046351989e-06
18,2.910365583375096e-06,-2.95743423824509e-06,1.3437572245796522e-05,9.584849855552117e-06,4.449684638530016e-06,-6.072611237565676e-08,-3.928120713680983e-06,-3.499405769010385e-06,-2.211580673853556e-06,-3.166147507727146e-06,-4.486553370952606e-06,-5.733338184654713e-06,-4.7093839384615425e-06
19,3.1727831810712814e-06,-3.247389880319436e-06,1.1912818687657515e-05,7.58940198769172e-06,3.769306931644678e-06,-1.3365410268306731e-06,-4.795651572446029e-06,-3.477360587567091e-06,-1.6027673458059628e-06,-2.06545228138566e-06,-3.1749485060572623e-06,-4.090019501745701e-06,-3.5017107923825582e-06
20,4.1065504774451256e-07,-3.362998055915038e-06,1.3018554697434108e-05,4.863952441761891e-06,1.6870947244266668e-06,-6.961481024821599e-07,-3.843828259656826e-06,-3.922055475413799e-06,-1.7657643184065818e-06,-2.2159035628040632e-06,-3.4652650356292726e-06,-4.588603042066098e-06,-3.9601388076941175e-06
21,-1.5749586358045538e-06,-2.0163444181283315e-06,1.1737202294170857e-05,5.439148905376593e-06,1.4791109909613928e-06,-1.6624107956886293e-08,-3.192329313606024e-06,-4.375935532152653e-06,-1.3490634349485239e-06,-2.4622694278756778e-06,-4.391162656247616e-06,-6.822248299916585e-06,-5.9382563146452105e-06
22,-4.076971284424265e-06,-4.268220315376917e-06,1.3090204447507858e-05,7.018454683323701e-06,8.22416041046381e-07,1.791309720526139e-06,-2.42856719220678e-06,-4.004687070846558e-06,-2.6298764472206434e-06,-3.544660285115242e-06,-4.7121196985244754e-06,-6.503254796067874e-06,-5.047659700115522e-06
23,-3.1398221229513484e-06,-5.268390911320845e-06,1.2129727595796188e-05,8.86940397322178e-06,4.049984272569418e-06,3.2144986713925996e-06,-1.9446403409043946e-06,-3.963856336971124e-06,-3.0501862056553365e-06,-4.466095318396886e-06,-5.641269187132517e-06,-6.9259083829820154e-06,-5.203287582844496e-06
