,mslp
0,101002.9375
1,100824.25
2,100824.125
3,100963.3125
4,100968.4375
5,100803.0
6,100773.75
7,100909.0
8,100850.875
9,100654.5625
10,100592.375
11,100758.5625
12,100725.9375
13,100536.1875
14,100435.6875
15,100602.75
16,100504.1875
17,100283.25
18,100250.1875
19,100377.0625
20,100329.4375
21,100099.9375
22,99988.875
23,100143.625
24,100290.375
25,100103.9375
26,100015.625
27,100124.3125
28,100041.6875
29,99921.6875
30,99887.0625
31,100064.3125
32,99928.0
33,99808.3125
34,99649.125
35,99798.1875
36,99642.6875
37,99471.9375
38,99373.625
39,99238.375
40,99215.9375
41,98958.0
42,98789.0
43,98813.125
44,98683.4375
45,98563.1875
46,98527.5
47,98547.75
48,98509.3125
49,98297.6875
50,98124.6875
51,98105.375
52,98030.0625
53,97824.125
54,97693.25
55,97660.6875
56,97554.6875
57,97320.75
58,97048.1875
59,97061.5625
60,97159.9375
61,97084.75
62,96933.1875
63,96882.125
64,96977.75
65,96842.1875
66,96565.8125
67,96450.375
68,96637.0625
69,96553.4375
70,96396.25
71,96453.0
72,96301.3125
73,96195.25
74,95947.0625
75,95829.75
76,95520.9375
77,95349.0625
78,95305.5
79,95327.25
80,95590.5
81,95541.75
82,95402.9375
83,95361.375
84,95477.125
85,95479.375
86,95459.9375
87,95581.375
88,95546.0
89,95408.625
90,95254.875
91,95204.3125
92,94945.375
93,94975.875
94,94802.4375
95,94909.3125
96,95116.9375
97,95218.375
98,95218.9375
99,95380.625
100,95586.125
101,95608.8125
102,95613.0625
103,95793.25
104,96201.8125
105,96582.5
106,96687.9375
107,96993.5625
108,97585.875
109,97467.625
110,97349.5625
111,97403.5
112,97456.75
113,97657.9375
114,97704.6875
115,97540.875
116,97523.125
117,97373.5625
118,97226.375
119,97119.1875
120,97039.0
121,96855.875
122,96650.1875
123,96674.0625
124,97009.3125
125,97215.0
126,97372.3125
127,97465.875
128,97551.375
129,97606.6875
130,97701.375
131,97874.5625
132,98077.625
133,98142.125
134,98216.25
135,98315.0
136,98488.1875
137,98554.3125
138,98653.125
139,98817.3125
140,99037.1875
141,99169.625
142,99230.625
143,99329.125
144,99353.1875
145,99320.0625
146,99304.75
147,99379.4375
148,99556.375
149,99606.125
150,99676.0
151,99789.375
152,100000.9375
153,100062.9375
154,100143.25
155,100315.75
156,100385.8125
