,mslp
0,100955.8125
1,100815.0
2,100650.125
3,100788.5625
4,100951.9375
5,100832.1875
6,100762.1875
7,100861.0625
8,100985.9375
9,100809.9375
10,100656.625
11,100809.125
12,101001.1875
13,100933.625
14,100803.1875
15,100865.25
16,101023.0
17,100901.4375
18,100736.875
19,100809.5
20,100914.25
21,100853.9375
22,100719.4375
23,100784.8125
24,100791.0
25,100662.0
26,100491.8125
27,100582.1875
28,100662.375
29,100632.5
30,100484.125
31,100534.375
32,100602.375
33,100538.625
34,100424.5625
35,100418.0
36,100597.25
37,100655.0
38,100559.625
39,100631.25
40,100828.1875
41,100776.6875
42,100615.125
43,100571.1875
44,100793.9375
45,100748.25
46,100524.6875
47,100535.8125
48,100615.5
49,100614.25
50,100483.875
51,100434.6875
52,100524.125
53,100536.0
54,100375.375
55,100414.75
56,100537.4375
