,outdiv_50,outdiv_100,outdiv_200,outdiv_250,outdiv_300,outdiv_400,outdiv_500,outdiv_600,outdiv_700,outdiv_800,outdiv_850,outdiv_925,outdiv_1000
0,1.53099341938893e-06,-6.895551147560279e-07,8.085055742412806e-06,7.421534974128008e-06,4.352241133650144e-06,1.366669312119484e-06,-2.3011739055315655e-06,-3.641960211098194e-06,-3.203990248342355e-06,-2.1194961542884507e-06,-1.837367502351602e-06,-3.184595455725988e-06,-3.6351382732391356e-06
1,1.85139166812102e-07,-1.6467917400101821e-06,6.979183914760748e-06,6.4713492368658384e-06,2.8485897928476334e-06,1.0417580294112364e-06,-1.1359923519194127e-06,-2.634478732943535e-06,-2.0694065218170483e-06,-2.1069000164667767e-06,-2.3069093003869058e-06,-4.229686843852202e-06,-4.349668355037769e-06
2,-7.248916412042879e-07,-2.964732094177072e-06,8.434341269780987e-06,7.845299063381812e-06,3.7564770453822067e-06,2.420782710568539e-06,1.2034755122859449e-06,-1.409510343772247e-06,-2.1093325975401273e-06,-3.478914901181375e-06,-3.3895031035070105e-06,-4.752655030533486e-06,-4.91117598697605e-06
3,8.004795139034589e-07,-1.3849154735604923e-06,9.554182179272175e-06,6.873544771224261e-06,4.2783406873544054e-06,2.3075961507856844e-06,1.2965407222509385e-06,-2.2415653802454473e-06,-2.753191317121188e-06,-4.240280638138453e-06,-4.464504308998585e-06,-5.514042762418588e-06,-5.093251820653677e-06
4,-1.541184284627685e-06,1.910349346419093e-06,9.901849630277187e-06,6.09347840222333e-06,3.976042138961341e-06,3.1065085663216737e-06,5.581655783030007e-07,-2.948566305130349e-06,-3.934653352219534e-06,-5.068972366726745e-06,-5.277863962583522e-06,-6.501329096644746e-06,-5.879704125565612e-06
5,-2.3720281509061653e-06,4.346529021859169e-06,7.597605387369792e-06,5.90890801201264e-06,3.846447604397932e-06,2.8012941281000774e-06,-5.371558169523875e-07,-3.585797579338153e-06,-4.898190187911192e-06,-5.107613590856393e-06,-5.0764608507355055e-06,-6.003336360057195e-06,-4.864522876838843e-06
6,-1.0165618732571603e-06,1.525246383001407e-06,1.1101656127721071e-05,8.22521202887098e-06,5.0300732254981995e-06,4.371628165245056e-07,-2.9126531444489956e-06,-5.319477835049232e-06,-4.996297260125478e-06,-2.9620093603928884e-06,-2.9095991825064023e-06,-4.147932243843873e-06,-3.988284152001142e-06
7,-3.18819268917044e-06,5.698103147248427e-07,1.5656009782105685e-05,9.281991515308618e-06,4.961438632259766e-06,4.060411204894384e-07,-3.215701629718145e-06,-4.691195984681447e-06,-3.957826023300489e-06,-2.559437416493893e-06,-3.624808353682359e-06,-5.971578260262807e-06,-5.465765328456958e-06
8,-3.6307106104989845e-06,-1.467062005152305e-06,1.6292564881344638e-05,9.790307376533747e-06,4.762702155858279e-06,4.6780720974008243e-07,-3.4436234273016453e-06,-5.033569565663735e-06,-3.413491261502107e-06,-2.520609026153882e-06,-4.136632196605206e-06,-6.677140481770038e-06,-5.689814376334349e-06
9,-2.1443624670306843e-06,-2.1827989257872103e-06,1.5207508113235235e-05,1.2272852472960949e-05,5.792841936151186e-06,9.937755142649015e-07,-4.615137974421183e-06,-4.7962103659907975e-06,-3.5730112964908283e-06,-3.5678579782446227e-06,-5.027287018795808e-06,-6.446455760548512e-06,-6.008753553032875e-06
10,1.3360210383931797e-07,-5.248677916824818e-06,1.7605815082788466e-05,1.382524302850167e-05,4.923363061000904e-06,-2.077101574589809e-06,-5.583271073798339e-06,-6.028745944301287e-06,-2.6782043278217314e-06,-2.2202730178833008e-06,-2.6483088731765746e-06,-3.297425185640653e-06,-3.952769717822472e-06
