,mslp
0,100616.0
1,100390.6875
2,100249.3125
3,100448.75
4,100514.9375
5,100426.5
6,100231.6875
7,100456.9375
8,100540.9375
9,100331.375
10,100207.0625
11,100373.5
12,100316.6875
13,100237.8125
14,100140.0
15,100275.25
16,100395.125
17,99986.625
18,99887.0625
19,100087.5
20,100025.9375
21,99917.3125
22,99739.25
23,99886.6875
24,100044.3125
25,99793.5
26,99625.75
27,99786.25
28,99851.6875
29,99753.0625
30,99655.5625
31,99821.3125
32,99786.9375
33,99552.3125
34,99519.6875
35,99655.8125
36,99843.625
37,99743.875
38,99658.8125
39,99864.0625
40,100002.75
41,99728.0625
42,99850.1875
43,100121.75
44,100288.0
45,100284.625
46,100264.6875
47,100520.75
48,100642.375
49,100512.1875
50,100575.5
51,100784.75
52,100934.3125
