,mslp
0,100870.125
1,100743.1875
2,100726.375
3,100807.625
4,100792.3125
5,100631.3125
6,100609.8125
7,100699.75
8,100693.5625
9,100581.0
10,100524.1875
11,100590.4375
12,100518.0
13,100300.5625
14,100227.6875
15,100198.9375
16,100227.0625
17,100052.5625
18,99922.625
19,99952.4375
20,99753.1875
21,99513.625
22,99421.0
23,99488.875
24,99435.625
25,99301.625
26,99219.4375
27,99294.125
28,99378.125
29,99303.5625
30,99251.1875
31,99304.5
32,99448.25
33,99377.625
34,99246.4375
35,99305.9375
36,99507.0625
37,99369.375
38,99278.625
39,99293.4375
40,99471.6875
41,99387.625
42,99371.0625
43,99550.25
44,99595.625
45,99577.125
46,99612.5625
47,99705.0625
48,99596.75
49,99479.8125
50,99415.4375
51,99510.625
52,99528.8125
53,99532.875
54,99571.875
55,99668.8125
56,99711.5
57,99736.8125
58,99742.75
59,99890.0625
60,99934.5
61,99892.625
62,99950.375
63,100056.5
64,100067.5
65,100115.9375
66,100122.375
67,100242.75
68,100260.375
69,100346.625
70,100390.1875
71,100468.125
72,100447.0625
73,100471.75
74,100445.25
75,100548.75
76,100604.4375
77,100585.8125
78,100563.5625
