,outdiv_50,outdiv_100,outdiv_200,outdiv_250,outdiv_300,outdiv_400,outdiv_500,outdiv_600,outdiv_700,outdiv_800,outdiv_850,outdiv_925,outdiv_1000
0,-4.476068408085474e-06,1.0347988889301466e-06,3.188718071678862e-06,3.3965025143504637e-06,1.1628972853367753e-06,-1.333317723264338e-06,1.6448857007679602e-07,-8.77642068872808e-07,-5.574970355419697e-07,-1.3503607331593502e-06,-8.645977562146563e-07,-3.815398655862729e-07,-5.894035286428523e-07
1,-3.968152062346538e-06,-2.599569658438365e-06,4.7297605002919835e-07,1.013659251232942e-06,4.5869965106248853e-07,-2.465792931616306e-07,-6.386544555425644e-08,-1.1188870606323083e-06,-5.265853057305018e-07,-1.0173302143812179e-06,-6.838080783685049e-07,-4.4791183123985926e-07,-8.533010259270668e-07
2,9.173537020985022e-07,-9.628753776805035e-06,2.962428906399185e-06,2.599925119661691e-06,6.943203014209557e-07,-5.412240091448503e-07,-2.8605012540006044e-06,-2.266318417498185e-06,-8.68821555277124e-07,-1.6631257113579399e-07,6.883865013656774e-08,-4.259061794805329e-08,-1.5484783566591652e-07
3,2.055421161154906e-06,-8.615308130780856e-06,3.053209123512109e-06,1.4354785283406575e-06,3.3209410806496936e-08,-7.461213196317355e-07,-1.871395700921615e-06,-7.097531730930011e-07,6.112425277630489e-07,1.1346768587827682e-06,8.411395053068796e-07,-1.4596153050661087e-07,-8.667198320229848e-07
4,3.229865493873755e-07,-5.144556052982807e-06,3.836984978988766e-06,2.2954967183371386e-06,1.2843869626522063e-06,6.898771971464157e-07,-1.3539645199974379e-06,-3.8485353191693625e-07,-3.7824114163716633e-07,5.895039066672325e-07,2.34297476708889e-07,-1.2665443743268648e-06,-2.263657127817472e-06
5,1.6912235878407956e-08,-8.994655217975378e-07,5.491714303692182e-06,3.749143797904253e-06,1.746070726464192e-06,7.191828141609828e-07,-1.932998808721701e-06,-1.6706219563881556e-06,-1.5245052054524421e-06,-3.730723013480504e-08,-4.446056360999743e-07,-2.014272225399812e-06,-2.9034058873852093e-06
6,-6.941942653308311e-08,2.830595864603917e-06,3.1331476444999376e-06,3.4730687427024048e-06,1.360297513504823e-06,1.6447855159640313e-06,6.39352947473526e-08,-1.0934852374096712e-06,-1.7825708103676636e-06,-4.4552143663167953e-07,-5.43682835996151e-07,-2.0296545699238775e-06,-3.138696774840355e-06
7,3.757777934273084e-06,4.360242746770382e-06,8.989474736154079e-07,1.2816356805463631e-06,2.720393240451813e-07,7.288375248511633e-07,6.271681437889735e-07,8.105222756663958e-07,9.491729239622752e-09,1.0647345334291458e-07,-4.528400798638662e-07,-2.18743613610665e-06,-3.0776796241601307e-06
8,3.546710764695562e-06,4.940900055081023e-06,-1.1168171060406816e-06,6.8027027631449e-07,-1.745031860606799e-07,4.949052025915676e-07,1.5262222589917203e-06,1.7547044763921208e-06,1.8089395248296349e-07,-7.770814511662203e-07,-1.0947262118589829e-06,-2.5858354843627366e-06,-3.0807851276580723e-06
9,3.54569541135182e-06,3.936719925453265e-06,-3.068242222070694e-07,1.5887276579936346e-06,4.818507780631383e-07,-1.525700402756532e-07,1.2398154164354005e-06,1.2172812906404336e-06,2.9798441876967748e-08,-1.232620949546496e-06,-1.7816588903466861e-06,-2.910414089759191e-06,-3.1556584872305395e-06
10,2.9262941097840666e-06,4.211751123269399e-07,2.855524265517791e-06,7.978368860979875e-07,1.4810357242822648e-07,2.050849919517835e-07,6.329151801764965e-07,1.0880758054554462e-06,-4.832904475430648e-07,-1.1113627503315607e-06,-1.708914836247762e-06,-3.0205041791001957e-06,-3.3322838135063647e-06
11,2.731865970417857e-06,-1.0543813308080038e-06,1.4830147847533226e-06,5.249399691820144e-07,-8.203554898500443e-07,1.2553219373027483e-06,1.1510370920101802e-06,2.033313891539971e-06,2.598312372962634e-07,-8.128505821029345e-07,-1.7719576135277748e-06,-3.1224917620420456e-06,-3.299652598798275e-06
