,mslp
0,100264.9375
1,100018.9375
2,99972.3125
3,100140.25
4,100204.875
5,100004.5
6,99959.125
7,100104.625
8,100224.875
9,100022.75
10,99967.625
11,100085.9375
12,100110.3125
13,99964.75
14,99927.25
15,99960.75
16,100052.875
17,99862.875
18,99763.875
19,99921.8125
20,100021.5
21,99864.25
22,99828.25
23,99920.25
24,99931.1875
25,99710.75
26,99665.3125
27,99794.4375
28,99949.125
29,99819.0
30,99876.5625
31,100063.1875
32,100165.5625
33,100007.3125
34,99959.1875
35,100130.0625
36,100262.5625
37,100127.8125
38,100063.75
39,100200.375
40,100311.8125
41,100123.3125
42,100063.3125
43,100185.625
44,100288.125
45,100174.375
46,100131.375
47,100311.75
48,100425.3125
49,100297.5625
50,100246.3125
51,100369.4375
52,100433.0625
53,100318.9375
54,100324.8125
55,100484.3125
56,100592.5625
57,100386.5625
58,100341.3125
