,mslp
0,100743.25
1,100564.5625
2,100470.25
3,100606.4375
4,100664.4375
5,100577.1875
6,100452.3125
7,100552.25
8,100667.625
9,100501.75
10,100411.75
11,100456.4375
12,100405.4375
13,100204.9375
14,100068.0
15,100099.5
16,100284.4375
17,100094.0625
18,100057.75
19,100025.125
20,99948.375
21,99762.1875
22,99558.6875
23,99588.3125
24,99584.3125
25,99477.625
26,99332.375
27,99322.5
28,99391.5
29,99339.125
30,99220.0
31,99263.4375
32,99231.3125
33,99125.75
34,99035.8125
35,99036.625
36,99125.125
37,99161.875
38,99024.6875
39,99031.875
40,99037.625
41,98991.4375
42,98965.5625
43,98874.0
44,98791.8125
45,98907.5625
46,98953.875
47,98930.0625
48,98961.75
49,99034.8125
50,98988.5
51,99026.8125
52,99450.5625
53,99654.25
54,99650.5
55,99660.9375
56,99840.3125
57,99906.8125
58,99859.1875
59,99781.5
60,99976.9375
61,100057.1875
62,100066.8125
63,100101.6875
64,100222.125
65,100121.8125
66,99914.5
