,u10,v10,2mdewtmp,2mtmp,conv_ppt,tot_cld_ice,tot_cldwtr,tot_cld_rain,vi_div_cld_froz_wtr,vi_div_cld_liq_wtr,vi_div_gpot_flux,vi_div_ke_flux,vi_div_mass_flux,vi_div_moisture_flux,vi_div_olr_flux,vi_div_tot_enrgy_flux,vi_ke,vi_pe_inte,vi_pe_ie_latentenrgy,vi_temp,vi_olr,vi_tot_enrgy,vi_moisture_div
0,-8.360633850097656,-1.6169815063476562,297.31273651123047,300.0533752441406,0.0016219746321439743,0.35002660751342773,0.07720947265625,0.12026739120483398,-1.1521915439516306e-06,-2.3547327145934105e-06,5383.77734375,-1.5703125,0.0016056746244430542,-0.0005426919087767601,-3418.61328125,653.875,884262.4884033203,2692679040.0,2844608000.0,2665540.125,2692680192.0,2845492608.0,-1.9243240356445312
1,-7.5683441162109375,-1.5122146606445312,297.3644104003906,299.7080307006836,0.0012234579771757126,0.46260714530944824,0.08880794048309326,0.16199254989624023,1.4768156688660383e-06,-3.0512455850839615e-07,5417.12890625,-0.9940185546875,0.001932978630065918,-0.0005019074305891991,-3276.21484375,869.171875,794122.6120605469,2687334656.0,2839262080.0,2660230.375,2687335552.0,2840056064.0,-1.5524139404296875
2,-6.484111785888672,-1.4053268432617188,297.2388458251953,299.1912841796875,0.0013213101774454117,0.4639155864715576,0.205979585647583,0.3217954635620117,1.4104298315942287e-06,-3.5925768315792084e-07,6359.51171875,0.7603759765625,0.0003575533628463745,-0.0006928108632564545,-4447.8671875,205.12109375,672936.5364990234,2683034112.0,2836377856.0,2655831.25,2683035136.0,2837049088.0,-2.233165740966797
3,-6.141258239746094,-1.1045570373535156,297.1134719848633,299.2488708496094,0.0011155745014548302,0.45904290676116943,0.3039250373840332,0.5254640579223633,4.189671017229557e-06,1.8568243831396103e-07,5944.05859375,2.030517578125,-0.0006856322288513184,-0.0006888844072818756,-4364.4375,-182.08984375,641042.125,2686398080.0,2840552320.0,2659107.625,2686398336.0,2841192704.0,-2.636432647705078
4,-7.924530029296875,-1.6727676391601562,297.03624725341797,299.41783905029297,0.0006881905719637871,0.409696102142334,0.24836933612823486,0.498654842376709,1.0287039913237095e-06,-9.042560122907162e-07,5056.1875,-0.722900390625,0.0008231401443481445,-0.0006070639938116074,-3292.109375,234.1640625,784079.625,2690102272.0,2843394560.0,2662887.75,2690104576.0,2844176768.0,-2.2858314514160156
5,-7.707786560058594,-1.4186515808105469,297.12486267089844,299.51710510253906,0.0007852306589484215,0.41476333141326904,0.26373398303985596,0.5119524002075195,3.3518881537020206e-06,-2.533604856580496e-06,5865.79296875,1.8177490234375,0.001377880573272705,-0.0006876271218061447,-3680.76953125,472.2109375,799079.29296875,2687893760.0,2839881856.0,2660799.375,2687896448.0,2840678656.0,-2.5423927307128906
6,-6.407505035400391,-1.1093215942382812,297.1441421508789,299.48753356933594,0.0005761822685599327,0.4358595609664917,0.27484774589538574,0.5286178588867188,8.353381417691708e-07,9.796349331736565e-07,6038.2265625,3.6680908203125,0.0015295743942260742,-0.0007072919979691505,-3786.53125,471.83984375,766966.125,2681365504.0,2832238848.0,2654406.125,2681367168.0,2833005056.0,-1.7894821166992188
7,-6.9937744140625,-1.9266166687011719,297.276123046875,299.7265319824219,0.0008646408095955849,0.524834156036377,0.3240387439727783,0.6062154769897461,-1.88712147064507e-06,-2.4961773306131363e-06,6885.5078125,1.96728515625,-0.0012601912021636963,-0.0007783658802509308,-5319.8046875,-365.56640625,847108.4162597656,2684086656.0,2835651968.0,2657043.625,2684086400.0,2836499328.0,-2.802234649658203
8,-7.537563323974609,-1.897918701171875,297.2761764526367,299.8301773071289,0.0007437234744429588,0.42566728591918945,0.22134661674499512,0.5356011390686035,3.6503770388662815e-06,-1.6399426385760307e-06,4724.5703125,4.548828125,0.0020554661750793457,-0.0004979074001312256,-2860.34375,612.08203125,870301.375,2689935744.0,2842152576.0,2662796.0,2689936896.0,2843023104.0,-2.0462074279785156
9,-6.474628448486328,-0.5803718566894531,297.1416778564453,299.7630615234375,0.000694851391017437,0.3393256664276123,0.21064543724060059,0.3987412452697754,4.890200216323137e-06,-3.788154572248459e-07,5660.73046875,1.912353515625,0.003235548734664917,-0.000638151541352272,-2977.26171875,1066.171875,792569.3341064453,2685941760.0,2838703744.0,2658755.375,2685933440.0,2839495552.0,-1.7663383483886719
10,-5.499259948730469,-0.14263916015625,297.1010513305664,299.92664337158203,0.0007648756727576256,0.3564140796661377,0.1972750425338745,0.37300539016723633,-1.964159309864044e-06,3.155670128762722e-06,5998.39453125,0.296142578125,0.00041390955448150635,-0.0007135067135095596,-4072.74609375,144.45703125,763664.25,2682321536.0,2835183104.0,2655137.25,2682314880.0,2835944704.0,-1.9978904724121094
11,-5.321926116943359,0.26470184326171875,297.25711822509766,300.08082580566406,0.001033431850373745,0.36200809478759766,0.22112202644348145,0.40029478073120117,-2.208864316344261e-06,8.940696716308594e-08,5378.4296875,-0.798095703125,-0.0007414072751998901,-0.0006963443011045456,-4059.5390625,-372.34765625,785250.7038574219,2684675968.0,2839429760.0,2657299.25,2684670080.0,2840217728.0,-2.4798316955566406
12,-5.377361297607422,1.2862281799316406,297.3805465698242,299.90035247802734,0.0010811714455485344,0.40235817432403564,0.19848346710205078,0.36687564849853516,-4.3523614294826984e-06,-1.8709106370806694e-06,5470.66015625,0.1239013671875,0.00039686262607574463,-0.0007119067013263702,-3726.87890625,-43.3046875,817862.6689453125,2688541056.0,2844129152.0,2661083.5,2688540800.0,2844945664.0,-2.4958419799804688
13,-3.695697784423828,1.7120285034179688,297.3970718383789,299.70782470703125,0.001122056506574154,0.4214118719100952,0.2533113956451416,0.49286746978759766,-2.8834911063313484e-06,-5.345500539988279e-06,5753.0078125,6.1556396484375,0.0007818490266799927,-0.0007252506911754608,-3801.61328125,149.25390625,839268.666015625,2687273600.0,2843421440.0,2659777.5,2687278336.0,2844259584.0,-2.430767059326172
14,-2.124835968017578,0.5267448425292969,297.421630859375,299.4319839477539,0.0011020256206393242,0.4986628293991089,0.30201518535614014,0.5758986473083496,1.012464053928852e-06,-6.2782783061265945e-06,7107.328125,12.92529296875,0.0012771934270858765,-0.0007785055786371231,-4638.203125,520.13671875,856545.0844726562,2682794368.0,2838230784.0,2655392.75,2682795904.0,2839086720.0,-2.079803466796875
15,-1.9604301452636719,-0.4887351989746094,297.313720703125,299.4218444824219,0.0008576046675443649,0.4639376401901245,0.266571044921875,0.597038745880127,1.43178622238338e-05,-5.760695785284042e-06,5340.5546875,12.78173828125,-0.0006940513849258423,-0.0005942545831203461,-4024.359375,-181.71875,903797.9140625,2683984384.0,2838774016.0,2656636.625,2683986560.0,2839676928.0,-2.341930389404297
16,-1.143035888671875,-0.32071685791015625,297.17276763916016,299.8160095214844,0.0005111377686262131,0.27093982696533203,0.26283979415893555,0.4761331081390381,1.619267277419567e-05,-4.968838766217232e-06,4237.15625,7.205322265625,-0.001270785927772522,-0.000561123713850975,-3349.96484375,-498.796875,861769.5308837891,2689730432.0,2846355968.0,2662165.375,2689730688.0,2847217792.0,-1.28387451171875
17,-1.3377532958984375,-0.6534156799316406,297.24363708496094,299.7780990600586,0.000459388829767704,0.27775609493255615,0.2807283401489258,0.4866766929626465,1.4104531146585941e-05,2.734363079071045e-06,4995.39453125,6.23388671875,0.00024372339248657227,-0.0005669565871357918,-3306.4609375,284.0390625,882960.0,2688285184.0,2846018048.0,2660625.5,2688285696.0,2846900224.0,-1.1785049438476562
18,-0.5090599060058594,-0.5060234069824219,297.34332275390625,299.7564468383789,0.0005848072469234467,0.2870110273361206,0.23704183101654053,0.4370260238647461,1.4647201169282198e-05,7.455004379153252e-06,4628.640625,3.094482421875,0.0006972551345825195,-0.0004328712821006775,-2983.5,557.30078125,840438.0,2683319936.0,2840258432.0,2655762.25,2683323008.0,2841098496.0,-1.0534515380859375
19,-0.5036964416503906,0.4122810363769531,297.3943557739258,299.9994125366211,0.000535920262336731,0.23530542850494385,0.19687819480895996,0.34662342071533203,1.3724842574447393e-05,7.834169082343578e-06,3327.0859375,2.820556640625,-0.0012205392122268677,-0.0002624187618494034,-2726.26171875,-38.12890625,840635.9558105469,2684551040.0,2839933568.0,2657121.625,2684551040.0,2840775296.0,-1.1691055297851562
20,-1.4616317749023438,-2.13861083984375,297.46510314941406,300.14161682128906,0.0006983587518334389,0.2604801654815674,0.2466752529144287,0.3412446975708008,9.612238500267267e-06,3.484310582280159e-06,5427.46875,6.013427734375,-0.002202242612838745,-0.0006399741396307945,-4611.66015625,-756.34375,943232.5856933594,2689373312.0,2847817472.0,2661613.125,2689369728.0,2848761472.0,-1.3190689086914062
21,-1.8825149536132812,-1.2988395690917969,297.51790618896484,300.14654541015625,0.000602266751229763,0.373386025428772,0.25636565685272217,0.4057912826538086,1.1991593055427074e-05,3.291759639978409e-06,6773.80078125,4.8836669921875,0.0009303689002990723,-0.0006894189864397049,-4557.234375,487.03515625,988280.1279296875,2688877056.0,2847244288.0,2661111.125,2688857344.0,2848233728.0,-0.8233757019042969
22,-1.6941490173339844,-0.8413200378417969,297.4994888305664,299.91268157958984,0.0009412579238414764,0.43487370014190674,0.251507043838501,0.4200925827026367,1.2270465958863497e-05,7.452559657394886e-06,7108.14453125,0.4296875,0.0008202791213989258,-0.0006193611770868301,-4916.28125,684.4296875,1070883.2817382812,2680618240.0,2837936640.0,2652147.75,2679735936.0,2839008384.0,-1.101715087890625
23,-1.7684059143066406,1.0477943420410156,297.4221420288086,299.8987350463867,0.001009371131658554,0.3171811103820801,0.2248549461364746,0.41749095916748047,8.587958291172981e-06,1.009274274110794e-05,4279.05859375,5.3746337890625,-0.0007111877202987671,-0.0004131253808736801,-3354.9921875,-105.87109375,1088772.6638183594,2677707136.0,2832809344.0,2648618.125,2675986048.0,2833898624.0,-1.5133514404296875
24,-2.0294876098632812,1.0156135559082031,297.37835693359375,299.7819061279297,0.0012831632047891617,0.2629561424255371,0.2951633930206299,0.46439313888549805,9.341223631054163e-06,7.412978447973728e-06,5855.0,3.8572998046875,-0.0015933513641357422,-0.000722816213965416,-4564.9765625,-526.3984375,1315788.025756836,2681041920.0,2842146688.0,2650843.625,2678807296.0,2843462144.0,-1.7076873779296875
25,-1.7210540771484375,2.0988311767578125,297.37622833251953,299.7896194458008,0.0010086707770824432,0.31471848487854004,0.3646225929260254,0.5245513916015625,1.0621151886880398e-05,8.953502401709557e-06,7246.49609375,6.173095703125,0.0007710456848144531,-0.0007770983502268791,-4746.3203125,582.32421875,1312161.3327636719,2680409472.0,2842188544.0,2649639.75,2677667840.0,2843499136.0,-1.7162857055664062
