,u10,v10,2mdewtmp,2mtmp,conv_ppt,tot_cld_ice,tot_cldwtr,tot_cld_rain,vi_div_cld_froz_wtr,vi_div_cld_liq_wtr,vi_div_gpot_flux,vi_div_ke_flux,vi_div_mass_flux,vi_div_moisture_flux,vi_div_olr_flux,vi_div_tot_enrgy_flux,vi_ke,vi_pe_inte,vi_pe_ie_latentenrgy,vi_temp,vi_olr,vi_tot_enrgy,vi_moisture_div
0,0.2848320007324219,4.668590545654297,297.3875427246094,299.57457733154297,0.0009036874398589134,0.23596906661987305,0.18356609344482422,0.2252821922302246,5.440087988972664e-06,2.8051435947418213e-06,6130.56640625,6.192626953125,0.0009825527667999268,-0.0007041972130537033,-3932.47265625,477.578125,342157.625,2702218368.0,2857765760.0,2674638.75,2702217472.0,2858107648.0,-1.6054763793945312
1,0.9739418029785156,4.846565246582031,297.4512634277344,299.40020751953125,0.001059497706592083,0.383603572845459,0.2108924388885498,0.2832202911376953,1.3408716768026352e-05,5.314708687365055e-06,7454.80859375,5.11474609375,0.0025976747274398804,-0.0007005240768194199,-4484.98046875,1219.9765625,362362.8693847656,2697855744.0,2853747456.0,2670278.5,2697856768.0,2854111616.0,-1.8931732177734375
2,0.6609764099121094,3.7012901306152344,297.30479431152344,299.64302825927734,0.0008443109691143036,0.25958383083343506,0.17325377464294434,0.24688291549682617,8.508213795721531e-06,8.41403380036354e-06,4132.2265625,4.5263671875,0.0002814978361129761,-0.00038369372487068176,-2901.59375,333.44921875,342387.875,2694993792.0,2847740928.0,2667719.875,2694993024.0,2848085760.0,-0.9991836547851562
3,-0.7491035461425781,3.2161026000976562,297.31439208984375,299.8654479980469,0.0008516805246472359,0.22175288200378418,0.11293911933898926,0.13982725143432617,1.0015093721449375e-05,7.874565199017525e-06,3455.50390625,4.456787109375,-0.0034003108739852905,-0.0003919396549463272,-3515.01171875,-1009.5234375,339186.14825439453,2699106816.0,2850009856.0,2671969.0,2699107584.0,2850351488.0,-1.1362571716308594
4,-0.7691383361816406,4.6553955078125,297.38355255126953,299.7666244506836,0.0014066630974411964,0.2784973382949829,0.10595130920410156,0.12269973754882812,6.397021934390068e-06,3.742985427379608e-06,4924.109375,3.70751953125,0.000815272331237793,-0.000542743131518364,-3231.78125,355.52734375,415995.4140625,2699501312.0,2852103168.0,2672210.875,2699501312.0,2852520320.0,-1.229248046875
5,-1.0698509216308594,5.270606994628906,297.32994842529297,299.80236053466797,0.0011215265840291977,0.3589322566986084,0.11922717094421387,0.14221954345703125,1.0557821951806545e-05,1.176726073026657e-06,5444.26171875,5.552734375,0.0025913119316101074,-0.0006085727363824844,-2951.1875,962.54296875,461821.1875,2694541440.0,2845506688.0,2667431.0,2694542976.0,2845968384.0,-1.1427764892578125
6,-0.2900199890136719,5.614585876464844,297.3920440673828,299.54601287841797,0.0013491911813616753,0.36413097381591797,0.15047836303710938,0.19335269927978516,1.8381630070507526e-05,1.0327203199267387e-06,7194.8515625,2.827392578125,-4.622340202331543e-05,-0.0008977614343166351,-5033.44921875,-113.76171875,473186.625,2691966208.0,2843501440.0,2664813.0,2691967232.0,2843975424.0,-1.7775764465332031
7,-0.7632637023925781,5.765144348144531,297.3547592163086,299.51546478271484,0.002748662605881691,0.5667561292648315,0.10993504524230957,0.18857240676879883,1.8313468899577856e-05,1.2335367500782013e-06,8282.8671875,6.2197265625,-0.001065284013748169,-0.0009092893451452255,-6381.96875,-344.94921875,489633.25,2696691456.0,2848875392.0,2669462.0,2696692992.0,2849364608.0,-3.3098106384277344
8,-2.130718231201172,5.318386077880859,297.45848083496094,299.6181335449219,0.0026774611324071884,0.4846329689025879,0.15393781661987305,0.280303955078125,1.630076440051198e-05,1.4754477888345718e-06,8169.9375,3.609130859375,0.002109125256538391,-0.0009559867903590202,-5018.87890625,731.453125,451146.54443359375,2699882496.0,2852603008.0,2672597.75,2699884672.0,2853054848.0,-3.3408737182617188
9,-1.5783958435058594,5.8155670166015625,297.45218658447266,299.72718048095703,0.002394573763012886,0.5229426622390747,0.17366468906402588,0.3791184425354004,1.9064871594309807e-05,6.658956408500671e-07,9621.92578125,2.8642578125,0.002063259482383728,-0.0011087702587246895,-6007.36328125,812.0546875,476323.64306640625,2695771520.0,2849455488.0,2668425.25,2695774592.0,2849933568.0,-3.625469207763672
