,outdiv_50,outdiv_100,outdiv_200,outdiv_250,outdiv_300,outdiv_400,outdiv_500,outdiv_600,outdiv_700,outdiv_800,outdiv_850,outdiv_925,outdiv_1000
0,4.325847982786725e-06,7.0395127725066895e-06,6.227831706766533e-06,5.059127735074593e-06,3.952287364625031e-06,-1.0975768866156522e-06,-3.1250172918525292e-06,-2.6015711198117004e-06,-8.852725107058232e-07,-1.9174778785386218e-06,-2.0365612795497057e-06,-1.4375858932725836e-06,-1.3611106203449878e-06
1,3.1014981990059215e-07,7.051407980422179e-06,6.5612645509342355e-06,5.615440507729849e-06,4.201405681669712e-06,-2.6055844500660895e-06,-2.966972533613443e-06,-2.5078654289245607e-06,-8.237936223546664e-07,-1.360103487968445e-06,-1.7118873074650764e-06,-1.5592435374855994e-06,-2.0046796028812725e-06
2,-1.1285938925391906e-06,7.4851264813876255e-06,6.480242948809105e-06,7.63106298984581e-06,6.222305239730851e-06,-1.8655502187142233e-06,-2.874871058953748e-06,-3.6405679611373244e-06,-2.06899686225717e-06,-1.1985039500774683e-06,-1.2800033702766253e-06,-1.5673492320221985e-06,-2.212374165839674e-06
3,-2.475571818649769e-06,7.2569120675325395e-06,5.870871245861054e-06,6.145262159407139e-06,6.038606322060028e-06,-1.906394027173519e-06,-1.78203529988726e-06,-2.2933236323297024e-06,-1.5337330599625905e-06,-1.0720531766613325e-06,-4.882225766777992e-07,-1.6420769194761912e-07,-1.3447521875301998e-06
4,-2.110023827602466e-06,5.552855630715688e-06,5.4399754541615645e-06,4.148347458491723e-06,4.0970781507591404e-06,-2.2818800061941148e-06,-1.6362212287882963e-06,-1.243563989798228e-06,-5.630310624837875e-07,-9.755371138453483e-07,-6.891321390867234e-07,-7.613562047481537e-07,-2.0144196848074595e-06
5,-2.7053989470005036e-06,4.8835684234897295e-06,5.824262431512276e-06,4.75119644155105e-06,1.869346791257461e-06,-2.208600441614787e-06,-2.3569407251973947e-06,-4.5240546266237893e-07,-4.919866720835368e-07,-1.7156902079780896e-06,-1.4550363024075825e-06,-1.3625171656409898e-06,-2.1155729579428834e-06
6,-1.5671442573269208e-06,1.3420975301414729e-05,7.039393919209639e-06,3.968559515972932e-06,-9.265495464205742e-07,-4.252065749218067e-06,-2.1103575515250364e-06,5.219636174539725e-07,1.2364781772096952e-06,-5.635898560285568e-07,-7.954232084254424e-07,-1.973410447438558e-06,-2.19433568418026e-06
7,1.5347497537732124e-06,1.329543689886729e-05,3.5682227462530135e-06,3.342594330509504e-07,-2.616938824454943e-06,-4.118642148872217e-06,4.7571957111358644e-07,2.100730004409949e-06,1.4678109437227249e-06,-1.018781525393327e-06,-1.1266674846410751e-06,-2.020869093636672e-06,-2.8599208841721216e-06
8,3.4272360304991404e-06,9.022265051802e-06,1.7709098756313325e-07,-1.5266472473740577e-06,-2.524016114572684e-06,-3.2600946724414825e-06,1.8724162752429643e-06,2.4837480547527472e-06,7.992687945564588e-07,-9.749550372362136e-07,-1.1269080763061842e-06,-1.5643425285816193e-06,-3.0355527997016908e-06
9,1.7444991196195284e-06,3.485490257541339e-06,-7.055156553785006e-07,2.827029675245285e-07,-9.397976100444794e-07,-1.9437943895657856e-06,2.027004181096951e-06,2.0756541440884273e-06,2.3785978555679322e-07,-1.3886718079447747e-06,-2.0910209665695826e-06,-3.030415003498395e-06,-4.530290607362986e-06
