,outdiv_50,outdiv_100,outdiv_200,outdiv_250,outdiv_300,outdiv_400,outdiv_500,outdiv_600,outdiv_700,outdiv_800,outdiv_850,outdiv_925,outdiv_1000
0,4.0119009402891e-06,-1.2480770237743854e-06,2.9843455801407495e-06,-3.8517949481805166e-08,-2.189306542277336e-06,1.8120200062791506e-06,2.2075449426968894e-06,-3.105107073982557e-07,3.537007917960485e-07,-1.665592814485232e-07,4.231308897336324e-08,-5.688052624464035e-08,-4.4376356527209283e-07
1,5.255123445143302e-06,2.1974362122515836e-06,3.1772845735152564e-06,2.159954359134038e-06,8.29303947587808e-07,2.5219982489943503e-06,1.766975037753582e-06,-3.3525672430793446e-07,2.7548521757125856e-07,-6.932144363721212e-07,-8.785709117849668e-07,-1.1541725446780522e-06,-1.974070134262244e-06
2,4.025863017886877e-06,6.443106879790624e-06,4.081443573037784e-06,2.224999479949474e-06,1.8792925402522087e-06,2.319478274633487e-06,6.8787873412172e-07,-7.292566200097402e-07,-8.312830080588659e-07,-1.5518084789315858e-06,-1.5457626432180405e-06,-1.9943186392386753e-06,-3.0188200374444326e-06
3,1.907919067889452e-06,8.792775527884563e-06,3.43533077587684e-06,1.6067720328768095e-06,1.3199324409166972e-06,6.898616751035055e-07,-5.185604095458984e-07,-8.625987296303114e-07,-8.45004493991534e-07,-1.9401156653960546e-06,-1.9580591470003126e-06,-2.462820460398992e-06,-3.171906185646852e-06
4,-1.5921929540733497e-06,7.525284308940172e-06,3.1364926447470983e-06,2.5631394237279893e-06,6.398962189753851e-07,3.9252530162533127e-07,1.2378829220930735e-08,-8.297230427463849e-07,-6.819066281119983e-07,-2.033046136299769e-06,-2.0771830653150874e-06,-2.7069899563988048e-06,-3.277875172595183e-06
5,-1.5445247602959474e-06,7.109755339721839e-07,2.9712139318386713e-06,8.965531984965006e-07,-2.9717727253834404e-07,1.0023126378655433e-06,1.3091329795618852e-06,-5.382617625097434e-07,-1.0002326841155687e-06,-1.4181636894742647e-06,-1.6394381721814473e-06,-1.9264873117208483e-06,-2.138464090724786e-06
6,-3.3256461999068656e-06,-5.330843850970268e-06,2.9636546969413756e-06,-8.061217765013377e-07,-1.6147814070185026e-06,6.024337684114774e-07,1.3301420646409194e-06,-2.2536454101403553e-07,-7.88993202149868e-07,-1.186341978609562e-06,-1.5170546248555183e-06,-1.5738653019070625e-06,-1.737312413752079e-06
7,-4.401756450533867e-06,-4.161898201952378e-06,3.551342524588108e-06,-7.901301917930444e-07,-2.5394993523756665e-06,-8.016359061002732e-08,2.1860081081589064e-06,4.446832463145256e-07,-7.508710647622744e-07,-1.575044977168242e-06,-2.4220518146951993e-06,-2.3825947816173234e-06,-2.254995827873548e-06
8,-3.744741358483831e-06,-2.845947165042162e-06,5.740625783801079e-06,1.6212773819764457e-08,-2.0260621871178347e-06,1.571490429341793e-06,3.7835406449933845e-06,1.3917994995911917e-06,-1.0306364856660366e-06,-2.199671386430661e-06,-3.436122400065263e-06,-3.3852877095341684e-06,-2.930817815164725e-06
9,-7.339869625866413e-07,-1.8398316266636053e-06,6.777800930043062e-06,-3.2382085919380187e-07,-2.436099263528983e-06,1.4991577093799908e-06,2.624218662579854e-06,1.133334202071031e-06,-1.0866827021042505e-06,-2.0374699185291926e-06,-3.1349559624989826e-06,-2.7150381356477737e-06,-2.3489585146307947e-06
