,mslp
0,100393.0
1,100506.0625
2,100372.375
3,100286.1875
4,100329.25
5,100429.3125
6,100373.875
7,100294.375
8,100333.4375
9,100469.4375
10,100363.0
11,100233.625
12,100324.6875
13,100453.8125
14,100296.625
15,100226.125
16,100258.8125
17,100390.875
18,100306.5625
19,100220.625
20,100306.1875
21,100486.9375
22,100400.8125
23,100283.125
24,100364.375
25,100490.5625
26,100376.3125
27,100269.625
28,100333.75
29,100469.6875
30,100400.5625
31,100328.0625
32,100404.3125
33,100569.625
34,100472.25
35,100443.1875
36,100535.375
37,100664.5
38,100576.4375
39,100546.75
40,100626.1875
41,100776.8125
42,100716.5625
43,100613.5
44,100717.0
45,100868.4375
46,100806.0
47,100564.25
48,100472.0625
49,100255.9375
50,99946.375
51,99475.875
52,99463.625
53,99435.5
54,99355.5625
