,mslp
0,100070.8125
1,100102.6875
2,100264.125
3,100180.5625
4,100008.625
5,100023.1875
6,100076.8125
7,99906.625
8,99722.1875
9,99739.6875
10,99807.3125
11,99681.875
12,99454.3125
13,99407.1875
14,99462.0625
15,99358.75
16,99134.25
17,99166.375
18,99121.5625
19,99014.9375
20,98836.6875
21,98811.125
22,98756.25
23,98666.625
24,98469.0
25,98406.4375
26,98233.6875
27,98084.125
28,97877.125
29,97779.3125
30,97654.5
31,97542.8125
32,97424.5
33,97534.8125
34,97660.0
35,97842.625
36,98205.5625
37,98945.3125
38,99491.75
39,99621.5
40,99623.4375
41,99635.25
42,99823.1875
43,99938.6875
44,100020.6875
45,100063.1875
46,100153.875
47,100192.4375
48,100207.6875
49,100342.375
50,100530.375
