,wind10
0,14.650558471679688
1,15.185564994812012
2,14.553374290466309
3,14.658780097961426
4,14.965112686157227
5,15.11874771118164
6,16.351900100708008
7,17.611923217773438
8,16.8636474609375
9,16.831897735595703
10,17.83901023864746
11,17.573434829711914
12,16.27061653137207
13,16.78277015686035
14,17.880075454711914
15,18.357866287231445
16,19.16362953186035
17,19.641263961791992
18,21.245338439941406
19,20.889543533325195
20,21.441747665405273
21,22.111713409423828
22,22.494232177734375
23,21.377567291259766
24,22.566404342651367
25,23.011762619018555
26,24.484603881835938
27,24.31932830810547
28,24.932842254638672
29,25.81804084777832
30,27.39138412475586
31,25.97297477722168
32,27.346229553222656
33,25.91375160217285
34,25.343002319335938
35,24.684139251708984
36,23.779542922973633
37,24.167755126953125
38,26.15961456298828
39,26.894372940063477
40,27.47134780883789
41,25.155439376831055
42,26.137807846069336
43,24.616863250732422
44,24.21369743347168
45,23.0228328704834
46,22.173917770385742
47,21.479225158691406
48,20.126270294189453
49,19.27434539794922
50,20.826358795166016
51,22.103940963745117
52,23.670406341552734
53,23.248159408569336
54,22.923980712890625
55,22.30756950378418
56,25.02399253845215
57,25.20514678955078
58,25.209217071533203
59,25.285959243774414
60,23.34067153930664
61,22.499950408935547
62,22.54557991027832
63,20.891714096069336
64,19.613536834716797
65,19.42637062072754
66,17.937620162963867
