,outdiv_50,outdiv_100,outdiv_200,outdiv_250,outdiv_300,outdiv_400,outdiv_500,outdiv_600,outdiv_700,outdiv_800,outdiv_850,outdiv_925,outdiv_1000
0,-1.8415157683193683e-07,7.268856279551982e-07,1.0265541883806387e-06,4.906362543503444e-07,5.74823934584856e-07,1.7265245939294497e-06,1.5739972392717997e-06,5.974434316158295e-08,-6.665863717595736e-07,-1.7512279252211252e-06,-1.7749844118952751e-06,-1.3267000516255696e-06,-1.1355577347179254e-06
1,-7.752038072794676e-07,1.5385293712218603e-06,-9.837094694375992e-08,8.609223489960034e-07,3.5254828010996184e-07,1.2069552515943844e-06,1.5969621017575263e-06,-3.382175539930662e-07,-8.821176985899607e-07,-1.4508919169505438e-06,-1.2557022273540496e-06,-5.236904447277386e-07,-3.0466277773181597e-07
2,-1.0106261047685356e-06,3.74316319019468e-06,4.768690395775673e-07,2.5776806152213166e-06,1.1769946494537766e-06,1.1393746276119438e-06,-3.1311567331745415e-07,-1.3042119606030927e-06,-1.3545961254488878e-06,-1.241810449797088e-06,-1.2263141696136521e-06,-3.584925301713073e-07,-5.089426683687076e-09
3,-1.9517989130690695e-06,3.792547310392062e-06,-7.263966836035251e-07,2.8733319292465846e-06,1.607746041069428e-06,7.982365787029267e-07,-1.4111244430144628e-06,-1.4543455714980761e-06,-5.088785352806251e-07,-1.5400970975557964e-07,-3.244106968243917e-08,5.279279624422391e-07,3.7866411730647085e-07
4,-8.25303141027689e-07,2.535126986913383e-06,-5.542649887502194e-07,2.8528273105621336e-06,1.398559349278609e-06,6.302958354353905e-07,-2.64817305530111e-06,-8.09870349864165e-07,1.7160394539435704e-07,-3.3946707844734195e-08,-1.608549306790034e-07,7.242585221926371e-08,-2.5413852805892626e-07
5,-5.853401186565559e-07,8.497852832078934e-07,-9.194598533213139e-07,3.406362763295571e-06,1.8990210567911467e-06,3.197540839513143e-08,-1.7024693079292775e-06,3.354041837155819e-07,-2.933394474287828e-07,-1.334593010445436e-06,-1.5877652913331985e-06,-9.607368459304173e-07,-9.722930068771043e-07
6,6.489882556100686e-07,-3.512405479947726e-07,1.9049815212686855e-07,4.360145734002193e-06,2.5197863578796386e-06,-5.838888076444467e-07,-2.3297810306151708e-07,7.958229010303815e-07,-1.3014340462783973e-06,-2.3889665802319843e-06,-2.316012978553772e-06,-1.60049336651961e-06,-1.4825762870411078e-06
7,1.6209320165216924e-06,4.826695658266545e-07,2.1596128741900127e-06,3.597454633563757e-06,1.7240333060423534e-06,-5.178852006793023e-07,3.5349124421676e-07,2.2832149018843969e-07,-1.6092283961673577e-06,-2.330285497009754e-06,-1.9676440084973972e-06,-9.453389793634414e-07,-5.999386000136534e-07
8,5.699441923449437e-07,-3.9999916528662046e-07,4.321918822824955e-06,3.61582109083732e-06,2.250812637309233e-06,-7.140915840864181e-08,9.469998379548391e-08,1.038153034945329e-07,-1.4962628483772277e-06,-2.151696632305781e-06,-2.106636141737302e-06,-9.989055494467417e-07,-7.08631705492735e-07
9,-6.628882450362047e-07,4.635502894719442e-07,3.603799268603325e-06,3.735884092748165e-06,3.238045610487461e-06,1.0034496275087199e-06,1.7595399791995685e-07,-7.812671052912872e-07,-1.698053286721309e-06,-2.427709599335988e-06,-2.7739442884922028e-06,-1.8217911322911581e-06,-1.380996157725652e-06
10,-1.4902310855532088e-06,2.0545459047145367e-06,3.6561289701719006e-06,3.368006362212644e-06,2.4332367347483815e-06,-6.63763453171461e-07,-1.393103029161568e-06,-1.5637244163583424e-06,-1.912012974503624e-06,-1.2376523456880165e-06,-9.142621748798616e-07,-6.863258052540023e-07,-3.6270666821121675e-07
11,-3.802900513013204e-10,3.2734319878121216e-06,2.229896684487661e-06,2.757591816286246e-06,2.176663838326931e-06,-7.68445897847414e-07,-1.6457090775171915e-06,-1.3304641470313073e-06,-1.2066486912469069e-06,-3.4534217168887457e-07,4.516138384739558e-08,2.256206547220548e-07,-1.3920556132992108e-07
12,3.1124412392576535e-07,1.5479008046289285e-06,1.1143429825703303e-06,1.3532970721522967e-06,1.7936341464519502e-06,6.804009899497033e-07,-6.286970650156339e-07,-6.478124608596166e-07,-1.0492512956261635e-06,-1.1648517102003098e-06,-1.2287870049476624e-06,-8.759127619365852e-07,-8.458582063515981e-07
