,outmslp,outconv_rrate,outls_rrate,outmn_conv_prate,outmn_ls_prate,outmn_tot_prate,outsst
0,101008.37890625,7.908089707295099e-05,1.5235257645448049e-05,9.909388609230518e-05,1.5877000987529754e-05,0.000114974162230889,302.9407381693522
1,101078.497265625,7.086868087450664e-05,2.68617644906044e-05,7.123188115656375e-05,2.6908889412879945e-05,9.814013416568439e-05,302.91138559977213
2,101171.56399118257,7.05725795500506e-05,2.482150105519908e-05,6.813031942023282e-05,2.439159328017492e-05,9.252387582019157e-05,302.8393243180271
3,101016.39069010416,0.00010456613575418791,2.4298143883546194e-05,9.057133768995603e-05,2.4761942525704703e-05,0.00011533725385864576,302.83324305216473
4,100897.18434244792,0.00010817724590500196,2.715519318977992e-05,0.00010926562050978343,2.5609477112690608e-05,0.0001348786987364292,302.82417424519855
5,100991.49876302083,0.00010229585071404775,2.91180486480395e-05,0.00010136095806956291,2.816241855422656e-05,0.0001295191856722037,302.8115323477418
6,101146.29363329876,9.387221450132947e-05,2.8963312815828444e-05,9.210869917236423e-05,2.6668935890514327e-05,0.00011878179316698763,302.7865960634595
7,101076.73411458333,0.00012930193915963172,3.1638766328493756e-05,0.00013059562382598718,2.8692434231440226e-05,0.00015928617989023527,302.7704391698785
8,100907.201953125,0.0001344631736477216,3.234008327126503e-05,0.00012702022989590961,3.178594633936882e-05,0.00015880508969227472,302.7481429722259
9,100972.48854166667,0.00011042151600122452,5.733824024597804e-05,0.00011428166180849075,5.73144294321537e-05,0.0001716008720298608,302.7223946156316
10,101117.57057291667,7.487091546257338e-05,3.833863884210587e-05,7.511113459865252e-05,4.136667897303899e-05,0.00011648116633296013,302.59722187163436
11,101011.76881510417,8.448815594116846e-05,2.8656361003716786e-05,8.109301949540773e-05,2.8978070865074794e-05,0.0001100730150938034,302.57704615878333
12,100823.00194502075,8.857077088098803e-05,2.2369610818095226e-05,8.476828514787666e-05,2.295434227622891e-05,0.00010772262742410557,302.5566392850405
13,100880.90807291666,5.574726189176241e-05,1.70974371333917e-05,6.218627095222473e-05,1.822458580136299e-05,8.04117259879907e-05,302.53205504084
14,101022.89095052083,7.122494280338287e-05,1.4995628346999485e-05,6.19754350433747e-05,1.4248366157213848e-05,7.622533788283666e-05,302.5041478624405
15,101054.09934895833,7.189052800337474e-05,1.6342538098494213e-05,6.851553916931152e-05,1.5523253629604976e-05,8.403376365701357e-05,302.4791047725099
16,100890.2384765625,5.699976657827695e-05,1.7159463216861088e-05,6.966395303606988e-05,1.5516082445780436e-05,8.517907311518987e-05,302.44649333633157
17,100932.170703125,7.71756594379743e-05,2.7049270768960318e-05,7.602320984005928e-05,2.535761644442876e-05,0.00010137216498454412,302.4176950334821
18,101068.96048177083,4.982429866989454e-05,2.450377990802129e-05,5.437865232427915e-05,2.461976061264674e-05,7.899909590681394e-05,302.44139706078914
19,101015.0013671875,3.018379211425781e-05,1.7847989996274314e-05,3.0316319316625596e-05,1.9648422797520954e-05,4.9966822067896526e-05,302.4093868371212
20,100827.73016078839,2.695938487270561e-05,1.2843131524398613e-05,2.650081864036465e-05,1.2491593964366992e-05,3.897710954499937e-05,302.35228344278596
21,100838.573046875,2.291090786457062e-05,9.902132054169973e-06,2.3584719747304918e-05,1.0022831459840138e-05,3.3600317935148874e-05,302.31580591572487
22,101041.92506510417,3.104144707322121e-05,1.1337827891111374e-05,2.8607652833064397e-05,9.917809317509333e-06,3.852977727850278e-05,302.28920920964896
23,101080.7326171875,4.2356302340825396e-05,1.1895162363847097e-05,4.341901900867621e-05,1.0730760792891185e-05,5.4150198896725975e-05,302.26063614946355
24,100930.51090494792,6.042110423247019e-05,1.904284581542015e-05,5.693291313946247e-05,1.8120712290207545e-05,7.50532994667689e-05,302.2375203286731
25,100912.10475260417,4.061202829082807e-05,2.6523911704619724e-05,4.272526130080223e-05,2.3294085015853245e-05,6.602853536605836e-05,302.2057327130519
26,101056.68089192708,3.489675000309944e-05,2.7570563058058422e-05,3.346685941020648e-05,2.6660505682229996e-05,6.011659279465675e-05,302.17816429594126
27,101047.21070963542,4.394964004556338e-05,3.2335333526134494e-05,3.724321722984314e-05,2.9360751310984292e-05,6.660545865694682e-05,302.13292977580176
28,100854.378125,6.155548617243767e-05,2.9163931806882222e-05,6.141515138248602e-05,2.6988734801610312e-05,8.840740968783697e-05,302.1050073276622
29,100839.9158203125,3.55415977537632e-05,2.1830822030703228e-05,3.963182680308819e-05,1.955311745405197e-05,5.9190765023231505e-05,302.0361556576769
30,100972.18072916666,2.5844387710094453e-05,1.856995125611623e-05,2.8997783859570823e-05,1.960185666879018e-05,4.859411468108495e-05,301.9848606568246
31,101033.68821614583,3.460987160603205e-05,1.4760717749595643e-05,3.0079142500956853e-05,1.4928386857112249e-05,4.499747107426325e-05,301.92363563749643
32,100915.40755208333,7.190850252906482e-05,1.585613936185837e-05,6.7698551962773e-05,1.5007828672726949e-05,8.27090193827947e-05,301.8662423310132
33,100917.394921875,8.331133673588435e-05,3.150155146916707e-05,8.585428198178609e-05,2.9645549754301708e-05,0.00011549306412537893,301.78573258196724
34,101059.85442708334,7.35035166144371e-05,3.007476528485616e-05,7.431535050272942e-05,3.04154430826505e-05,0.00010472598175207774,301.4981538636871
35,101118.00240885417,7.994780316948891e-05,2.344114085038503e-05,7.409034296870231e-05,2.2926833480596542e-05,9.701990832885106e-05,301.4571976054274
36,100951.4080078125,0.00010212324559688568,2.2619559119145075e-05,0.00011292129444579283,2.3665341238180797e-05,0.0001365837330619494,301.4223855312695
37,100924.8130859375,7.297427703936895e-05,1.3976233700911204e-05,6.950280318657557e-05,1.5171958754460017e-05,8.466703196366629e-05,301.403718593092
38,101055.9306640625,6.37031781176726e-05,1.0404611627260844e-05,6.057072120408217e-05,1.1206977069377899e-05,7.177088409662246e-05,301.39466172325365
39,101122.27447916666,3.879774982730548e-05,1.1393055319786072e-05,4.0216464549303053e-05,1.1631939560174943e-05,5.184989422559738e-05,301.40459605310696
40,101037.59205729167,5.2341632544994356e-05,1.454160859187444e-05,5.14914436886708e-05,1.4984607696533203e-05,6.647041688362757e-05,301.41356646239126
41,100991.85833333334,3.271720682581266e-05,1.3780655960241954e-05,2.989432153602441e-05,1.4318898320198058e-05,4.4211652129888536e-05,301.4389383851601
42,101137.48106846472,2.9531535518614583e-05,1.6103085145910747e-05,3.0094626286217782e-05,1.6059711019033218e-05,4.615579032304376e-05,301.5607452189579
43,101201.08125,2.994782601793607e-05,1.1464736113945643e-05,2.8678029775619506e-05,1.259570320447286e-05,4.127444699406624e-05,301.5593989456598
44,100962.28522135416,5.291191240151723e-05,1.0845748086770375e-05,4.708718818922837e-05,1.0856520384550095e-05,5.794595927000046e-05,301.5651222323976
45,100872.36067708333,4.0018403281768164e-05,6.029102951288223e-06,4.2019396399458246e-05,5.908372501532237e-06,4.792887096603711e-05,301.55760708696243
46,100991.60104166667,9.773081789414088e-06,5.368112275997797e-06,1.0603278254469235e-05,4.611816257238388e-06,1.5217376252015431e-05,301.55395847841226
47,101100.81243489584,2.0630502452452976e-05,5.830296625693639e-06,1.5685909117261567e-05,5.473724255959193e-06,2.1154464532931647e-05,301.55160708718455
48,101002.84329616182,3.098285297140541e-05,1.4905551162498125e-05,3.0692991379385665e-05,1.3419763181219457e-05,4.411569151146283e-05,301.5341097212735
49,100943.25533854167,3.632136310140292e-05,3.797862057884534e-05,3.408781873683135e-05,3.584800288081169e-05,6.993835171063741e-05,301.52494717055606
50,101076.74309895834,2.83201535542806e-05,4.7765237589677174e-05,2.914581758280595e-05,4.837003846963247e-05,7.752204934755962e-05,301.71221174135854
51,101155.85182291667,4.3749095251162844e-05,4.572654142975807e-05,3.8574294497569404e-05,4.869702582557996e-05,8.72733381887277e-05,301.70091099056987
52,100935.24485677083,0.00010553617030382157,2.937667692701022e-05,7.000574842095376e-05,3.393882264693578e-05,0.00010394590596357981,301.67422684379244
53,100827.42408854167,6.826957687735557e-05,2.3071312656005225e-05,7.362640462815762e-05,2.184978996713956e-05,9.547627220551173e-05,301.67422419009
54,100993.7345703125,3.5230784366528196e-05,3.0736376841863e-05,3.5410250226656596e-05,2.8568382064501444e-05,6.398111581802368e-05,301.6649855615031
55,101142.51399739583,2.9977690428495406e-05,3.1673721969127656e-05,3.20154552658399e-05,3.2384321093559266e-05,6.438959389925003e-05,301.66918057223745
56,101100.170703125,4.738094285130501e-05,4.2893830686807634e-05,4.336383814613024e-05,4.1464157402515414e-05,8.482734362284343e-05,301.6767259751331
57,101042.55065104166,5.8624334633350374e-05,4.197548454006513e-05,5.380818620324135e-05,3.913758943478266e-05,9.294884900252024e-05,301.67459367794794
58,101187.48196614583,5.5380258709192275e-05,5.30386654039224e-05,5.977928328017394e-05,5.1707308739423755e-05,0.00011148713529109954,301.7048025881718
59,101262.489453125,4.75212000310421e-05,4.991901417573293e-05,3.588118900855382e-05,5.03901702662309e-05,8.626555403073629e-05,301.6909994495519
60,101035.67962239584,6.23945767680804e-05,4.12094717224439e-05,7.47251013914744e-05,4.1977067788441975e-05,0.0001167093093196551,301.6824058027728
61,100995.40904947916,3.860887760917346e-05,4.046649361650149e-05,4.532321666677793e-05,3.775147100289663e-05,8.308015142877896e-05,301.6403713474026
