,mslp
0,100780.875
1,100878.25
2,100994.6875
3,100775.75
4,100682.875
5,100764.875
6,100885.5625
7,100826.0625
8,100633.1875
9,100684.9375
10,100911.0
11,100779.1875
12,100595.5625
13,100605.75
14,100741.25
15,100693.3125
16,100513.0625
17,100571.375
18,100756.8125
19,100662.1875
20,100421.875
21,100382.0625
22,100640.1875
23,100705.9375
24,100581.9375
25,100591.75
26,100753.625
27,100724.75
28,100577.5
29,100515.875
30,100627.75
31,100697.9375
32,100567.6875
33,100517.5
34,100691.1875
35,100782.0
36,100561.0
37,100489.3125
38,100646.1875
39,100617.375
40,100504.6875
41,100389.6875
42,100539.5
43,100604.6875
44,100392.4375
45,100268.25
46,100281.375
47,100389.0625
48,100311.875
49,100232.0
50,100270.1875
51,100391.125
52,100171.5
53,100067.25
54,100239.5
55,100334.125
56,100227.625
57,99994.0
58,100333.625
59,100572.6875
60,100378.8125
61,100319.8125
62,100487.75
63,100683.5625
64,100643.0625
65,100642.3125
66,100866.0
67,100883.75
68,100726.4375
