,mslp
0,100337.25
1,100322.25
2,100396.25
3,100437.0
4,100326.6875
5,100362.25
6,100394.0
7,100372.125
8,100317.75
9,100318.375
10,100338.9375
11,100397.6875
12,100294.1875
13,100330.625
14,100439.75
15,100407.5
16,100343.3125
17,100308.75
18,100435.6875
19,100484.4375
20,100340.0625
21,100351.5625
22,100421.1875
23,100383.5625
24,100217.0
25,100215.625
26,100237.0625
27,100290.1875
28,100067.8125
29,99997.0
30,100049.875
31,100007.1875
32,99855.6875
33,99792.3125
34,99828.375
35,99795.9375
36,99661.6875
37,99635.75
38,99498.9375
39,99449.6875
40,99323.0
41,99291.5625
42,99150.0
43,99106.5
44,98953.8125
45,98958.3125
46,99204.125
47,99204.9375
48,99169.5625
49,99304.9375
50,99535.3125
51,99616.75
52,99381.625
53,99283.0
54,99359.8125
55,99475.0625
56,99393.75
57,99376.25
58,99598.5625
59,99725.9375
60,99770.9375
61,99755.875
62,99938.5625
63,99889.25
64,99698.875
65,99614.625
66,99749.1875
67,99734.0
68,99684.9375
69,99615.625
70,99708.0
71,99594.0
72,99422.9375
73,99294.9375
74,99461.875
75,99426.0
76,99449.0
77,99515.9375
78,99684.125
79,99792.5
80,99731.6875
81,99677.4375
82,99790.25
83,99790.25
84,99830.8125
85,99893.0625
86,100052.8125
87,100052.1875
88,100052.75
89,100071.5625
90,100216.8125
91,100233.9375
92,100236.9375
93,100242.0
94,100234.1875
95,100215.5
96,100225.8125
97,100247.5625
98,100366.375
99,100408.5
100,100430.3125
101,100496.3125
102,100506.875
103,100423.4375
104,100367.125
