,outdiv_50,outdiv_100,outdiv_200,outdiv_250,outdiv_300,outdiv_400,outdiv_500,outdiv_600,outdiv_700,outdiv_800,outdiv_850,outdiv_925,outdiv_1000
0,-8.384578670974032e-07,-4.196542419524114e-06,4.122616942877508e-06,-2.1626585437549101e-07,-2.374056208863298e-06,-1.4711128880126843e-06,-2.5183097671918353e-07,-1.455916099528554e-08,-4.3140909792971313e-07,-4.1164940849132065e-07,-3.0916334898887334e-07,-5.831277283890119e-07,-1.182695618865401e-06
1,-3.842559332648913e-07,-5.71105241154631e-06,5.261002418895562e-06,1.1277579081555208e-06,-5.937026192744573e-07,-8.720982198913892e-07,2.319497677187125e-07,-1.5682696054379147e-07,-1.77888044466575e-06,-1.8057568619648616e-06,-1.659989356994629e-06,-2.0872180660565693e-06,-3.0066119506955145e-06
2,-9.848542201022307e-08,-1.6267023359735807e-06,1.0551337618380785e-05,3.1112305199106534e-06,7.820470879475276e-07,-1.3418224019308884e-06,2.0671480645736058e-08,-1.0208808816969394e-06,-2.590722093979518e-06,-2.835101137558619e-06,-2.542984051009019e-06,-2.404216987391313e-06,-2.9604416340589523e-06
3,3.9326647917429605e-07,-7.521787968774637e-07,1.1472955035666625e-05,2.2787717171013355e-06,-1.1518199774703437e-06,-2.5439347761372725e-06,-1.6985111869871617e-06,-9.246480961640676e-07,-1.7783837392926217e-06,-1.944725712140401e-06,-1.7856092502673467e-06,-1.7610533783833187e-06,-2.282900580515464e-06
4,-1.0153744369745255e-06,-2.228904175436843e-07,1.2732789121351796e-05,1.4908745096555884e-06,-4.432172827515365e-06,-4.7429669571120706e-06,-2.718865832785353e-06,-1.068253077844861e-06,-7.900252891897661e-07,-1.3965375226810266e-06,-1.3818208870180415e-06,-1.6456566503681087e-06,-1.912776195285726e-06
5,1.6633809233705202e-07,-1.4900462701916694e-06,9.04809373120467e-06,-1.2322406594951948e-06,-6.176112219691277e-06,-4.0414781930545965e-06,-1.850588402400414e-06,-4.0079078947504364e-07,-2.0406053711970646e-07,-7.714067275325457e-07,-4.387615869442622e-07,-5.449789265791575e-08,-1.196035494407018e-06
6,-1.3613607734441758e-07,-2.9071040141085782e-06,8.504348807036877e-06,-1.6951623062292736e-07,-5.657369426141183e-06,-2.6341450090209645e-06,-1.3559008948504925e-06,-9.248498827219009e-07,-8.936117713650068e-07,-7.290199088553588e-07,3.0631975581248604e-07,4.052417352795601e-07,-5.427282303571701e-07
7,7.681742620964845e-07,-4.088385806729396e-06,6.166938692331314e-06,-2.137148597588142e-06,-6.045571838816007e-06,-8.68473822871844e-07,-6.72026847799619e-08,6.135087460279465e-08,-2.4978071451187133e-07,2.4453426400820414e-07,4.7170712302128475e-07,-5.255375678340594e-07,-1.6480955916146437e-06
8,1.6418460290879012e-06,-3.670369430134694e-06,4.687843223412832e-06,-3.5876563439766566e-06,-5.579320713877678e-06,-9.317494307955106e-08,5.974434316158295e-07,4.82013759513696e-07,-3.3090667178233465e-07,4.526227712631226e-08,-4.6313895533482235e-07,-1.975948301454385e-06,-2.8907437808811664e-06
9,-4.496231364707152e-07,-3.893491035948197e-06,3.799594317873319e-06,-2.5801137477780384e-06,-3.722125741963585e-06,-3.9454316720366477e-07,5.236671616633733e-07,1.0159060669442019e-06,-2.344526971379916e-07,-5.461508408188819e-07,-1.6560079529881477e-06,-3.367002742985884e-06,-3.2084955212970574e-06
10,1.5303036586071055e-06,1.244685457398494e-06,6.527507988115152e-06,-3.698126723368963e-08,-1.202513036939005e-06,9.569223038852214e-07,1.9247721259792647e-06,2.290665482481321e-06,-8.689860502878825e-07,-1.8727499991655349e-06,-3.314530476927757e-06,-5.002389661967754e-06,-5.250587128102779e-06
11,-1.15192960947752e-07,3.0393401781717936e-06,7.5998716056346895e-06,1.8999213352799416e-06,2.375827170908451e-06,1.5467754565179349e-06,4.1218396897117295e-07,1.1612428352236748e-07,-2.030089187125365e-06,-2.6078661903738977e-06,-3.68594191968441e-06,-4.923064261674881e-06,-4.3851866697271666e-06
