,mslp
0,100498.625
1,100457.875
2,100222.375
3,100313.3125
4,100423.75
5,100365.75
6,100121.3125
7,100042.625
8,100143.8125
9,100035.9375
10,99854.1875
11,99821.75
12,99872.3125
13,99923.9375
14,99752.1875
15,99747.75
16,99782.75
17,99709.8125
18,99539.0
19,99408.6875
20,99419.75
21,99410.9375
22,99241.875
23,99165.375
24,99295.1875
25,99322.0
26,99274.25
27,99264.1875
28,99295.3125
29,99350.375
30,99244.6875
31,99191.875
32,99289.875
33,99345.3125
34,99227.6875
35,99200.5625
36,99057.25
37,99005.25
38,98968.8125
39,99042.25
40,99252.875
41,99173.75
42,99093.0
43,99198.8125
44,99357.6875
45,99351.1875
46,99375.9375
47,99483.8125
48,99595.5
49,99440.9375
50,99364.9375
51,99523.9375
52,99614.9375
53,99512.6875
54,99279.1875
55,99041.875
56,99369.8125
