,mslp
0,100795.75
1,100844.75
2,100919.5
3,100855.5625
4,100701.5625
5,100808.3125
6,100876.0625
7,100818.375
8,100657.4375
9,100710.625
10,100672.0625
11,100592.25
12,100434.625
13,100434.875
14,100493.1875
15,100346.5625
16,100189.5
17,100142.5625
18,100203.5625
19,100026.0625
20,99836.6875
21,99809.1875
22,99799.5
23,99635.1875
24,99511.375
25,99473.0
26,99455.0625
27,99386.875
28,99281.25
29,99296.75
30,99445.1875
31,99373.9375
32,99258.875
33,99236.125
34,99291.4375
35,99270.8125
36,99171.5625
37,99290.0625
38,99450.125
39,99375.75
40,99378.125
41,99406.875
42,100149.8125
43,100181.4375
44,100308.0
45,100520.3125
46,100603.8125
47,100589.0
48,100569.625
49,100601.6875
50,100459.5625
51,100481.4375
52,100420.75
53,100446.5
54,100433.75
55,100284.8125
56,100100.6875
57,99920.5
58,99929.75
59,99665.8125
60,99431.375
61,99239.4375
62,99462.5
63,99220.375
64,98942.75
65,98776.9375
66,98634.0
67,98592.0625
68,98582.625
69,98596.0
70,98260.875
71,98042.6875
72,97981.75
73,98034.125
74,97913.875
75,97742.8125
76,97679.75
77,97688.0625
78,97593.5
