,mslp
0,101175.875
1,101025.3125
2,100904.0
3,100938.0625
4,101081.75
5,100874.25
6,100718.5625
7,100750.75
8,100849.25
9,100713.8125
10,100547.3125
11,100570.625
12,100685.4375
13,100444.0625
14,100263.8125
15,100345.5
16,100531.8125
17,100386.9375
18,100219.0
19,100333.4375
20,100229.625
21,99992.1875
22,99728.6875
23,99669.75
24,99937.6875
25,99810.125
26,99690.5
27,99732.5
28,99618.125
29,99489.375
30,99305.375
31,99395.625
32,99606.6875
33,99496.0625
34,99397.625
35,99401.625
36,99322.1875
37,99113.125
38,98858.125
39,98769.8125
40,98935.625
41,98940.9375
42,98712.125
43,98804.0625
44,98270.625
45,98301.75
46,98214.4375
47,98188.6875
48,97771.1875
49,97668.6875
50,97286.25
51,97052.625
52,97590.3125
53,97886.4375
54,98012.125
55,98437.4375
56,98817.75
57,98567.1875
58,98225.5625
59,97965.1875
60,98167.625
61,98019.1875
62,97773.8125
63,97705.0625
64,97820.5625
65,97772.5625
66,97500.1875
67,97277.375
68,97318.5625
69,97059.1875
70,96594.6875
71,96315.8125
72,96495.25
73,96578.4375
74,96410.3125
75,96274.875
76,96290.0625
77,96278.6875
78,96038.6875
79,95892.625
80,96447.6875
81,96612.625
82,96695.5625
83,96762.75
84,97264.3125
85,97437.25
86,97578.9375
87,97859.0
88,98298.9375
89,98670.4375
90,98723.0
91,98871.375
92,99054.0625
93,99338.0625
94,99407.4375
95,99719.875
96,100031.25
97,100275.4375
98,100368.0625
99,100449.1875
100,100684.1875
101,100724.0
102,100529.0625
