,mslp
0,100412.75
1,100430.8125
2,100597.75
3,100615.25
4,100448.4375
5,100377.3125
6,100376.0
7,100278.0
8,100054.0625
9,100020.5
10,100252.375
11,100355.0
12,100265.125
13,100134.4375
14,100271.9375
15,100249.6875
16,100093.1875
17,100011.6875
18,100055.9375
19,100118.3125
20,100000.8125
21,99950.0625
22,99986.125
23,99931.5625
24,99728.875
25,99678.0
26,99945.375
27,99978.0
28,99837.8125
29,99888.75
30,100213.8125
31,100321.375
32,100240.375
33,100291.125
34,100436.1875
35,100591.5625
36,100474.5
37,100495.8125
38,100613.3125
39,100628.5
40,100545.875
41,100559.6875
42,100582.3125
43,100509.8125
44,100368.0625
45,100257.125
46,100365.1875
47,100112.4375
48,99874.875
49,99875.4375
50,100152.1875
51,100135.0625
52,100208.75
53,100350.0
54,100330.1875
55,100163.0625
56,100026.9375
57,100054.875
58,100171.9375
59,100145.375
60,100144.0
61,100259.9375
62,100326.8125
63,100282.9375
64,100335.8125
