,u10,v10,2mdewtmp,2mtmp,conv_ppt,tot_cld_ice,tot_cldwtr,tot_cld_rain,vi_div_cld_froz_wtr,vi_div_cld_liq_wtr,vi_div_gpot_flux,vi_div_ke_flux,vi_div_mass_flux,vi_div_moisture_flux,vi_div_olr_flux,vi_div_tot_enrgy_flux,vi_ke,vi_pe_inte,vi_pe_ie_latentenrgy,vi_temp,vi_olr,vi_tot_enrgy,vi_moisture_div
0,-0.8674964904785156,-0.9470863342285156,297.1813735961914,300.0792465209961,7.860269397497177e-05,0.12573754787445068,0.10440194606781006,0.0887002944946289,5.233450792729855e-07,-3.743334673345089e-07,630.34375,1.151611328125,-0.0013397634029388428,-4.1146762669086456e-05,-1071.00390625,-543.15625,489032.625,2688529280.0,2838081664.0,2657074.125,2683966464.0,2838568448.0,0.18365097045898438
1,-1.6068916320800781,-0.6917457580566406,297.3437194824219,301.1756591796875,8.375383913516998e-05,0.10381340980529785,0.12283492088317871,0.07828760147094727,3.788154572248459e-07,-2.684537321329117e-07,1689.7265625,2.091796875,0.0013879984617233276,-0.00020106136798858643,-779.0078125,422.0234375,481562.75,2682533120.0,2831027200.0,2648581.625,2675346816.0,2831507712.0,-0.06761932373046875
2,-2.4848365783691406,-0.5843391418457031,297.5130386352539,301.1693878173828,0.0004337066784501076,0.11621403694152832,0.15090906620025635,0.08897686004638672,1.1249212548136711e-06,1.4478573575615883e-06,2925.4296875,2.6405029296875,0.0005492120981216431,-0.00035506486892700195,-1852.0546875,157.8828125,446847.25,2679014656.0,2829570432.0,2644519.5,2671461120.0,2830017920.0,-0.7544174194335938
3,-2.871326446533203,-1.2079849243164062,297.28121185302734,300.4210662841797,0.0010705441236495972,0.1607058048248291,0.1622225046157837,0.12365198135375977,2.8063077479600906e-06,3.032037056982517e-07,3202.5625,0.0748291015625,-0.0006911009550094604,-0.00036917347460985184,-2504.6171875,-224.12890625,457049.3125,2670151168.0,2821332352.0,2632541.625,2659466752.0,2821790208.0,-1.5002288818359375
4,-2.2583389282226562,-2.0028038024902344,297.07422637939453,299.3783645629883,0.0007907561957836151,0.22533738613128662,0.16504406929016113,0.16255760192871094,2.5538611225783825e-06,-8.817878551781178e-07,4323.82421875,-1.1873779296875,-0.0024271607398986816,-0.0005414187908172607,-3782.375,-836.98046875,511670.1875,2673883136.0,2825998976.0,2636788.625,2663809280.0,2826509824.0,-1.040008544921875
5,-2.778484344482422,-0.7962722778320312,296.9396438598633,298.8590545654297,0.0009611360728740692,0.25516200065612793,0.15323996543884277,0.17528772354125977,9.397044777870178e-07,-1.6224803403019905e-06,5054.4765625,-0.733154296875,0.0002755671739578247,-0.0006452417001128197,-3374.5,88.375,543102.9283447266,2669890432.0,2821382784.0,2630746.625,2657661696.0,2821926144.0,-1.29254150390625
6,-2.7061119079589844,-0.081695556640625,296.6834259033203,298.4579544067383,0.0009397687390446663,0.34168851375579834,0.17598843574523926,0.20659351348876953,5.411566235125065e-07,-1.0884832590818405e-08,4401.328125,2.081298828125,0.0007895231246948242,-0.0004968941211700439,-2882.5859375,269.85546875,560214.6875,2662456960.0,2812444288.0,2622349.375,2649072000.0,2813003264.0,-1.2085227966308594
7,-2.411479949951172,0.2767295837402344,296.73287200927734,298.4609832763672,0.0011088354513049126,0.329254150390625,0.20935773849487305,0.2537856101989746,1.0434887371957302e-06,-1.311709638684988e-06,4573.64453125,1.5087890625,-0.00035384297370910645,-0.0004557007923722267,-3402.7265625,6.38671875,572391.6976318359,2662889472.0,2812946816.0,2623635.125,2650365696.0,2813517568.0,-1.7004890441894531
8,-1.7415924072265625,0.7524948120117188,297.0503845214844,299.12095642089844,0.0011753439903259277,0.2856653928756714,0.13507986068725586,0.19004106521606445,9.514624252915382e-07,-5.051842890679836e-07,4753.19921875,2.0888671875,-0.000758737325668335,-0.00046954303979873657,-3657.3984375,-33.16796875,624836.5078125,2665126144.0,2815839872.0,2625214.375,2652025600.0,2816464000.0,-1.6992454528808594
9,-1.458892822265625,0.9513664245605469,297.43402099609375,300.18949127197266,0.0008534062653779984,0.3104124069213867,0.17878687381744385,0.24007654190063477,1.1104857549071312e-06,-4.5960769057273865e-07,4852.21484375,2.630859375,0.00291287899017334,-0.00046596117317676544,-2511.921875,1158.7421875,654368.6162109375,2665216640.0,2815659392.0,2625025.25,2651818112.0,2816315648.0,-1.4115142822265625
