,wind10
0,7.722733974456787
1,6.921873092651367
2,7.292731285095215
3,7.879297733306885
4,8.163046836853027
5,8.290179252624512
6,9.944639205932617
7,8.717894554138184
8,10.03278636932373
9,10.281691551208496
10,10.480579376220703
11,10.406464576721191
12,10.056312561035156
13,10.624970436096191
14,10.709797859191895
15,10.987980842590332
16,10.538511276245117
17,11.322481155395508
18,10.746119499206543
19,10.941404342651367
20,12.358624458312988
21,14.139516830444336
22,14.824928283691406
23,14.933614730834961
24,16.083446502685547
25,15.239455223083496
26,15.85143756866455
27,15.593809127807617
28,16.700014114379883
29,16.437082290649414
30,15.75246524810791
31,15.96537971496582
32,16.14097785949707
33,17.138105392456055
34,18.106403350830078
35,18.439359664916992
36,18.34613037109375
37,19.447359085083008
38,19.795204162597656
39,19.475488662719727
40,21.0495662689209
41,21.24837875366211
42,20.77301597595215
43,16.267871856689453
44,14.392602920532227
45,12.561570167541504
46,12.483871459960938
47,12.408304214477539
48,12.566344261169434
49,10.400141716003418
50,10.253155708312988
51,10.049688339233398
52,9.105828285217285
