,Pmin
0,1001.005
1,1001.599375
2,1001.65375
3,999.9775
4,998.18
5,998.08375
6,997.993125
7,997.27
8,995.190625
9,995.908125
10,996.76375
11,996.085
12,994.57625
13,995.470625
14,996.785625
15,995.903125
16,994.57
17,995.10875
18,995.914375
19,994.55625
20,993.45625
21,994.201875
22,995.35375
23,994.265625
24,992.443125
25,992.643125
26,993.025625
27,991.25375
28,990.13375
29,989.10875
30,989.884375
31,989.998125
32,990.17
33,991.89375
34,992.18375
35,992.92
36,992.678125
37,993.156875
38,992.263125
39,990.934375
40,989.670625
41,989.3425
42,984.96125
43,983.853125
44,987.683125
45,990.579375
46,992.82
47,992.865625
48,991.27375
49,991.60875
50,994.083125
51,992.63
52,991.92875
