,w10max
0,13.641585350036621
1,13.03510856628418
2,14.719419479370117
3,15.037418365478516
4,13.863237380981445
5,15.605350494384766
6,16.82263946533203
7,14.213786125183105
8,12.953204154968262
9,12.4131441116333
10,12.783951759338379
11,13.455765724182129
12,11.286823272705078
13,10.791522979736328
14,10.831069946289062
15,9.578519821166992
16,8.682804107666016
17,8.90161418914795
18,9.486010551452637
19,8.901432991027832
20,9.112722396850586
21,9.240131378173828
22,10.479715347290039
23,9.024162292480469
24,9.181619644165039
25,8.800641059875488
26,8.416028022766113
27,8.861221313476562
28,8.366477012634277
29,7.484122276306152
30,8.916267395019531
31,10.246866226196289
32,8.153739929199219
33,7.4680633544921875
34,7.9334516525268555
