,outdiv_50,outdiv_100,outdiv_200,outdiv_250,outdiv_300,outdiv_400,outdiv_500,outdiv_600,outdiv_700,outdiv_800,outdiv_850,outdiv_925,outdiv_1000
0,-8.231572185953458e-07,-1.1567103986938795e-06,1.9235885702073574e-05,6.669751989344755e-06,-3.7340059255560237e-06,-2.1344167180359364e-06,2.953107468783855e-07,2.547128436466058e-07,1.2579141184687614e-06,-1.2596137821674347e-08,-1.856133652230104e-06,-3.966914179424445e-06,-3.5810905198256173e-06
1,-1.1546770110726357e-06,-8.151400834321976e-08,1.9012282912929852e-05,4.796264693140983e-06,-3.922897546241681e-06,-2.4236350630720454e-06,-8.911282444993655e-07,1.9258974740902582e-07,1.348438672721386e-06,-7.233271996180216e-07,-2.058121996621291e-06,-4.5904656872153286e-06,-3.562665854891141e-06
2,-3.0342993947366875e-06,1.2816977687180043e-06,1.7650340062876542e-05,6.0264797260363896e-06,-1.1848363404472668e-06,-7.017903650800388e-08,-1.3128388673067094e-06,2.863972137371699e-07,6.184059505661329e-07,-1.8854625523090363e-06,-3.2310917352636653e-06,-5.961876983443896e-06,-4.270719364285469e-06
3,-2.6677347098787627e-06,4.031299613416195e-06,1.6788245799640813e-05,5.819997750222683e-06,-1.2292759492993354e-06,1.799827441573143e-06,-1.3917723360160987e-06,4.23678041746219e-07,1.4487498750289282e-07,-2.252846024930477e-06,-3.878911957144737e-06,-5.8124695594112074e-06,-3.4182022015253705e-06
4,4.92311218034677e-07,4.919995534469478e-06,1.6865074147636465e-05,4.034941529089979e-06,-5.133703150071544e-06,1.2305775788686087e-06,-1.9540732023132294e-06,1.5315029739220608e-06,1.5066316374480972e-06,-8.588397867699382e-07,-2.5021932493601596e-06,-3.829918206665526e-06,-1.9787213691660974e-06
5,1.7844334555168946e-06,3.2213206092516582e-06,1.4610355719923973e-05,2.8616050258278847e-06,-6.183159227172534e-06,2.5947423030932746e-06,-2.3612907777229946e-08,1.955249657233556e-06,1.7559931923945745e-06,-1.6585923731327058e-06,-3.2830983400344847e-06,-4.168731781343619e-06,-2.5660110016663867e-06
6,-7.270363882122198e-07,5.207600311619612e-07,1.4536515331978782e-05,5.9977850076815895e-06,-4.7002845594497145e-06,1.4953871732925479e-06,-9.485848897225629e-07,7.214774358322017e-07,6.619220622718581e-07,-2.114242329204231e-06,-3.2525445833122085e-06,-4.0941925804397375e-06,-2.2307146510642593e-06
7,-1.367914956063032e-06,3.4815942247708637e-07,1.4094680485262264e-05,4.210742190480232e-06,-5.850032903254032e-06,2.5145825929939745e-06,1.3201497495174409e-08,6.46784125516812e-07,4.688510671257973e-07,-1.817747640113036e-06,-3.0054555584987006e-06,-3.1859963200986385e-06,-1.856382004916668e-06
8,-4.1913008317351343e-07,-3.024072308714191e-07,1.4037083989630143e-05,3.957880350450675e-06,-6.680005283972908e-06,2.575421240180731e-06,1.6459574302037556e-06,2.679065801203251e-07,4.615712290008863e-07,-1.5522857817510763e-06,-2.46991403400898e-06,-2.700299955904484e-06,-1.5271905188759169e-06
9,-1.8174992874264718e-06,4.6415564914544423e-07,1.5190554161866506e-05,4.31515509262681e-06,-5.925287647793691e-06,1.8138632488747438e-06,8.644652552902698e-07,-1.5955069102346896e-06,-6.942000860969225e-07,-1.995478911946217e-06,-2.903514541685581e-06,-2.97865675141414e-06,-1.4871397676567236e-06
10,-3.5322023036504068e-06,2.525926723275589e-06,1.1136908302128362e-05,2.618242118693359e-06,-4.737017035303391e-06,1.1007281299848884e-06,-2.3756189946902258e-07,-1.6497287733730066e-06,-1.8810213874766637e-07,-2.2686501852811938e-06,-3.5166858907888113e-06,-3.1808797449058294e-06,-1.0785202608109137e-06
11,-1.727420991907517e-06,1.1999160051345826e-06,9.984887825946014e-06,2.3652566596865656e-06,-4.570271509389083e-06,1.5300814993679523e-06,-1.5253123516837756e-07,-1.2105020383993784e-06,-1.1459536229570707e-07,-2.3850705474615095e-06,-3.4930727755029996e-06,-2.6190420612692835e-06,-3.26956311861674e-07
12,-2.8702777257784274e-08,7.097277001968558e-07,9.338834218649943e-06,2.511057237557356e-06,-4.133433721866845e-06,2.7323825694466033e-06,4.857562142289031e-07,-7.748874329432412e-07,2.4428475199893305e-07,-1.5389583850302638e-06,-3.0210529573849126e-06,-3.024467162756999e-06,-6.907215705180069e-07
13,-1.0274660520456515e-06,-8.747437621053324e-07,1.2056691440680215e-05,3.38269498091021e-06,-4.176135441574319e-06,2.8133883113930335e-06,9.614668972017358e-07,-5.86045357201604e-07,-2.701608348189548e-07,-1.8100573051396248e-06,-3.3869757800057714e-06,-4.261699253963732e-06,-1.6321669645700217e-06
14,-1.835150845132428e-06,1.995058158312101e-06,1.3296153295893392e-05,4.817012898407536e-06,-1.3141067799072542e-06,1.2644162764811417e-06,1.3887091961020751e-06,-9.778606863808335e-07,-2.6059574621470637e-06,-3.712241155292483e-06,-4.6046075886463225e-06,-4.84717654303891e-06,-1.4671528348660568e-06
