,outdiv_50,outdiv_100,outdiv_200,outdiv_250,outdiv_300,outdiv_400,outdiv_500,outdiv_600,outdiv_700,outdiv_800,outdiv_850,outdiv_925,outdiv_1000
0,8.59482679516077e-07,-5.082429076234499e-06,9.45752641807e-06,5.796505138278007e-06,3.3916595081488293e-06,-5.921698175370693e-07,-4.357134457677603e-06,-7.482827641069889e-07,1.5348312444984913e-06,-5.185216044386228e-07,-2.620889184375604e-06,-5.387274237970511e-06,-5.058521249641975e-06
1,5.28766152759393e-07,-3.973542091747125e-06,1.123622835924228e-05,6.838437790671984e-06,3.902777098119259e-06,-9.301700629293919e-07,-3.460732599099477e-06,-9.122498643894991e-07,9.633523101607958e-07,-1.3148800159494082e-06,-2.9045700406034786e-06,-5.830552739401658e-06,-5.67389652132988e-06
2,-1.91560247913003e-06,-2.0393597272535166e-06,1.2269701498250167e-05,8.11305750782291e-06,4.62110231940945e-06,-2.4190832239886125e-06,-4.2693146194020905e-06,-1.2921635061502457e-06,-1.9198438773552578e-07,-2.023639778296153e-06,-3.438869801660379e-06,-5.979680766661962e-06,-4.721316508948803e-06
3,-1.1220031107465425e-06,-1.7237539092699686e-06,1.2779336733122667e-05,7.134939854343732e-06,2.6174200077851614e-06,-2.335927759607633e-06,-3.422517329454422e-06,-6.63687630246083e-07,8.443991343180338e-07,-2.2659311071038247e-06,-4.119938239455223e-06,-6.191184123357137e-06,-5.054326417545478e-06
4,1.0292666653792063e-07,-1.784491663177808e-06,1.5066672737399737e-05,9.79684991762042e-06,2.9349932447075846e-06,-2.5012530386447905e-06,-2.670136746019125e-06,-1.2699941483636696e-06,1.3485938931504886e-07,-3.227428533136845e-06,-4.708099489410719e-06,-5.488066623608271e-06,-3.9522186852991584e-06
5,-1.9792156914869945e-07,-2.1699039886395137e-07,1.4954673436780771e-05,7.959812258680661e-06,1.0374157379070918e-06,-2.624156574408213e-06,-2.1281070075929164e-06,-1.3387762010097504e-09,-7.600989192724228e-07,-2.9175464684764544e-06,-4.174350760877133e-06,-5.800680567820867e-06,-4.063926947613557e-06
6,-6.111018592491746e-07,8.041931626697381e-07,1.1968527299662431e-05,5.968792053560416e-06,1.1928107899924119e-06,-9.866586575905483e-07,-1.703621819615364e-06,-1.462331662575404e-07,-1.7789580548803011e-06,-3.691832534968853e-06,-4.694385764499505e-06,-6.266132307549317e-06,-4.81889583170414e-06
7,-2.6950729079544546e-07,4.48922316233317e-06,1.0283768642693757e-05,6.302127925058206e-06,6.557170612116655e-07,-2.1616540228327116e-06,-1.159201686580976e-06,-7.193807202080886e-07,-1.535083477695783e-06,-2.676791821916898e-06,-3.4026335924863817e-06,-5.271797999739647e-06,-5.355989560484886e-06
8,5.537987961066709e-08,9.002208446936984e-06,9.501495889360974e-06,6.795039640051695e-06,2.261852126769505e-06,-2.52540385605636e-06,-1.2222005062083486e-06,-1.201176188917081e-06,-1.652530467918305e-06,-2.9278443778451547e-06,-3.8089479911005845e-06,-5.517831203601172e-06,-5.680750823614508e-06
9,4.017679020762443e-06,8.003405916194121e-06,8.15972841034333e-06,5.642138421535492e-06,3.6472299446662268e-06,-1.534959301352501e-06,-9.325876211126646e-07,-1.5767989680171013e-06,-1.8936659519871077e-06,-2.399769922097524e-06,-3.440274546543757e-06,-4.7977392872174585e-06,-5.171471275389194e-06
10,5.172910944869121e-06,4.142402516057094e-06,9.318064743032058e-06,7.558629537622134e-06,4.5426655560731884e-06,-9.062389532725017e-07,-1.200482559700807e-06,-3.045673171679179e-06,-2.9932668743034204e-06,-3.2017550741632777e-06,-3.905035555362701e-06,-5.645374767482281e-06,-5.836218285063902e-06
