,div_50,div_100,div_200,div_250,div_300,div_400,div_500,div_600,div_700,div_800,div_850,div_925,div_1000
0,-9.274503099732101e-06,-6.677582859992981e-07,1.3804994523525238e-05,-9.185168892145157e-08,-9.536161087453365e-06,-3.4479890018701553e-06,-3.7992140278220177e-07,6.150337867438793e-06,4.379311576485634e-06,1.3458775356411934e-06,-4.17931005358696e-08,-9.320559911429882e-06,-7.844646461308002e-06
1,-7.68205791246146e-06,-8.039991371333599e-06,1.5264900866895914e-05,-6.688875146210194e-06,-1.128326402977109e-05,-3.2890820875763893e-06,2.56288331001997e-06,5.888054147362709e-06,3.1299423426389694e-06,-1.448206603527069e-07,-7.664784789085388e-07,-8.372589945793152e-06,-8.663046173751354e-06
2,9.905343176797032e-07,1.312815584242344e-06,7.988361176103354e-06,-2.4533946998417377e-06,-5.732523277401924e-06,-8.501054253429174e-06,9.73785063251853e-06,-1.2679374776780605e-06,-2.080341801047325e-06,1.1816155165433884e-06,2.1478626877069473e-06,-4.995032213628292e-06,-8.137663826346397e-06
3,-2.2827880457043648e-06,-1.0807416401803493e-06,1.0390765964984894e-05,4.203757271170616e-07,3.7456629797816277e-07,-6.996560841798782e-07,1.1226395145058632e-05,-4.5979395508766174e-06,-6.166286766529083e-06,-3.059511072933674e-06,-8.168863132596016e-07,-3.7866411730647087e-06,-1.057435292750597e-05
4,7.287657354027033e-06,-5.791895091533661e-06,2.3762928321957588e-05,5.300622433423996e-06,-5.272682756185532e-06,-2.096639946103096e-06,9.436276741325855e-06,-3.672612365335226e-06,-1.3386597856879234e-06,-2.2284220904111862e-06,-2.873828634619713e-06,-8.702045306563377e-06,-1.6973470337688923e-05
5,4.353976692073047e-06,-3.084540367126465e-06,1.6794598195701838e-05,3.439374268054962e-06,-7.741502486169338e-06,2.425629645586014e-06,5.368608981370926e-06,-1.5030382201075554e-06,1.166132278740406e-06,-3.3641699701547623e-06,-3.7692952901124954e-06,-7.804017513990402e-06,-1.5177007298916578e-05
6,7.443304639309645e-07,-1.0412884876132011e-05,1.630245242267847e-05,-4.4063199311494827e-07,-7.365539204329252e-06,4.182744305580854e-06,-3.093155100941658e-06,2.7595669962465763e-06,8.23254231363535e-06,7.89144542068243e-06,-2.82342080026865e-06,-2.2180844098329544e-05,-2.639146987348795e-05
7,-9.288196451961994e-07,-1.44855584949255e-06,1.0033836588263512e-05,2.407701686024666e-06,-5.421694368124008e-06,1.2222037184983492e-05,4.206318408250809e-06,1.791282556951046e-06,-3.4730765037238598e-06,-2.084416337311268e-06,-8.913339115679264e-06,-2.2109132260084152e-05,-2.5006593205034733e-05
8,2.22999369725585e-06,9.527080692350864e-06,2.2889114916324615e-05,5.482695996761322e-06,-2.076849341392517e-06,4.726112820208073e-06,3.1046802178025246e-06,2.6513589546084404e-07,-9.119510650634766e-06,-5.337875336408615e-06,-7.126829586923122e-06,-1.7176498658955097e-05,-2.1038809791207314e-05
9,1.9273138605058193e-06,2.5807996280491352e-05,2.764389500953257e-05,-5.023903213441372e-06,-2.5091576389968395e-06,2.9834918677806854e-06,-5.232635885477066e-06,-8.025963325053453e-06,-9.906361810863018e-06,-6.961403414607048e-06,-3.2695243135094643e-06,-9.134993888437748e-06,-1.8171733245253563e-05
10,1.2200325727462769e-06,2.9238464776426554e-05,2.813353785313666e-05,7.93358776718378e-06,-1.976441126316786e-06,-1.0780117008835077e-05,-1.2854288797825575e-05,-6.474321708083153e-06,8.485512807965279e-07,-1.5803379938006401e-06,-4.430534318089485e-06,-1.5888945199549198e-05,-2.2763502784073353e-05
11,-9.027833584696054e-06,8.495408110320568e-06,1.6294186934828758e-05,7.887138053774834e-07,4.4397893361747265e-06,-3.687688149511814e-06,-3.1720264814794064e-06,-4.663597792387009e-06,-2.0208535715937614e-06,-4.379427991807461e-06,-1.1126394383609295e-05,-2.456037327647209e-05,-2.8328620828688145e-05
12,-3.2203970476984978e-06,5.534966476261616e-07,2.127487096004188e-05,-4.907022230327129e-06,-8.854200132191181e-06,-3.2520038075745106e-06,5.914072971791029e-06,7.104710675776005e-06,-1.049158163368702e-05,-1.2622331269085407e-05,-9.771843906491995e-06,-1.9505969248712063e-05,-2.628471702337265e-05
13,3.66562744602561e-07,-7.505470421165228e-06,3.912486135959625e-06,-1.7323356587439775e-05,-1.9876519218087196e-05,9.534414857625961e-08,1.4746969100087881e-05,1.3533863238990307e-05,-9.01886960491538e-06,-1.1739437468349934e-05,-6.99702650308609e-06,-1.406925730407238e-05,-2.3404601961374283e-05
14,-1.7969869077205658e-06,8.362170774489641e-06,1.3208133168518543e-05,-7.71600753068924e-07,-1.0800547897815704e-05,5.64113724976778e-06,1.3064651284366846e-05,3.4054392017424107e-06,-1.527991844341159e-05,-1.119985245168209e-05,-9.584706276655197e-06,-2.0352890715003014e-05,-2.587528433650732e-05
15,-4.478453774936497e-06,1.4094170182943344e-05,3.118044696748257e-05,9.578419849276543e-06,-1.1345022358000278e-05,-5.13449776917696e-06,1.107680145651102e-05,6.026646587997675e-06,-1.2294156476855278e-05,-1.2084259651601315e-05,-1.0843854397535324e-05,-3.292318433523178e-05,-3.495160490274429e-05
16,2.509535988792777e-06,-2.6158522814512253e-07,3.4319586120545864e-05,1.954974140971899e-05,-2.8526410460472107e-06,-2.2665713913738728e-05,-2.328131813555956e-06,1.0230578482151031e-06,-3.3174874261021614e-06,-4.702014848589897e-06,-3.6441488191485405e-06,-2.5141634978353977e-05,-3.17074591293931e-05
17,-9.696814231574535e-06,9.696581400930882e-06,3.0444585718214512e-05,2.6960624381899834e-06,-1.2479955330491066e-05,-3.4850905649363995e-05,-5.790381692349911e-06,6.059999577701092e-06,7.074326276779175e-06,2.0175939425826073e-06,9.019859135150909e-07,-1.751445233821869e-05,-3.263272810727358e-05
18,-1.4863675460219383e-05,6.668269634246826e-07,3.5393459256738424e-05,7.857452146708965e-06,-2.756674075499177e-05,-2.9185146559029818e-05,-2.7124187909066677e-06,8.206989150494337e-06,6.350688636302948e-06,5.128909833729267e-06,2.123531885445118e-06,-1.8589547835290432e-05,-2.9035843908786774e-05
19,-1.284177415072918e-06,-1.243856968358159e-05,2.1840562112629414e-05,7.40226823836565e-06,-2.6585999876260757e-05,-3.056740388274193e-05,2.9587536118924618e-06,1.4558550901710987e-05,1.210079062730074e-05,8.833245374262333e-06,2.589426003396511e-06,-1.844414509832859e-05,-2.8503593057394028e-05
20,1.059786882251501e-06,-4.692818038165569e-06,1.5344121493399143e-05,7.087364792823792e-07,-1.8773367628455162e-05,-5.3730327636003494e-06,1.259869895875454e-05,9.76806040853262e-06,1.0175746865570545e-05,2.1544983610510826e-06,-2.6640482246875763e-06,-2.4150009267032146e-05,-3.632204607129097e-05
21,4.747416824102402e-06,1.5754252672195435e-05,1.8948223441839218e-05,-1.8192571587860584e-05,-1.9965809769928455e-05,-4.243047442287207e-06,1.0212941560894251e-05,6.277579814195633e-06,5.105976015329361e-07,3.930181264877319e-06,2.160784788429737e-06,-1.3886252418160439e-05,-2.946890890598297e-05
22,-4.364570486359298e-06,2.0948296878486872e-05,3.7762802094221115e-06,-2.7416623197495937e-05,-1.3944343663752079e-05,-3.271270543336868e-08,1.511257141828537e-05,1.2564996723085642e-05,2.6944326236844063e-06,3.7567224353551865e-07,-2.46602576225996e-06,-1.416308805346489e-05,-2.6351655833423138e-05
23,3.990950062870979e-06,6.779911927878857e-06,8.306349627673626e-06,-2.334645250812173e-05,-8.865026757121086e-06,2.84658744931221e-06,8.338422048836946e-06,7.161172106862068e-06,9.692274034023285e-06,1.5043187886476517e-06,-4.8157526180148125e-06,-2.0604697056114674e-05,-3.1193485483527184e-05
24,1.1586525943130255e-05,-4.0512531995773315e-07,6.222049705684185e-06,-1.8890248611569405e-05,-9.729585144668818e-06,2.1843588910996914e-06,1.3089971616864204e-05,1.0022078640758991e-05,3.612949512898922e-06,-4.3549807742238045e-06,-6.157089956104755e-06,-1.4921650290489197e-05,-2.8214184567332268e-05
25,-9.316892828792334e-06,2.0114704966545105e-05,2.542976289987564e-06,-8.403672836720943e-06,-2.761255018413067e-06,2.0873267203569412e-07,1.0085641406476498e-05,7.602619007229805e-06,-6.634043529629707e-06,-8.72660893946886e-06,-6.072805263102055e-06,-1.073384191840887e-05,-3.1502917408943176e-05
26,-1.1846190318465233e-05,2.774619497358799e-05,8.919334504753351e-06,9.709037840366364e-07,-5.873385816812515e-06,-1.1429539881646633e-05,9.644660167396069e-06,4.956615157425404e-06,-2.310844138264656e-06,-7.904600352048874e-06,-7.305992767214775e-06,-1.1003343388438225e-05,-2.7676811441779137e-05
