,div_50,div_100,div_200,div_250,div_300,div_400,div_500,div_600,div_700,div_800,div_850,div_925,div_1000
0,-4.499510396271944e-06,-2.9382703360170126e-05,3.7444682732257206e-05,2.0399398636072874e-05,4.476227331906557e-06,-5.911337211728096e-06,-1.2325006537139416e-05,-6.367219612002373e-06,-1.4560879208147526e-05,-3.768480382859707e-06,-1.4133984223008156e-06,-4.228437319397926e-06,-9.009381756186485e-06
1,-4.663888830691576e-06,-1.763232285156846e-05,3.266497515141964e-05,2.517324173822999e-05,8.878516382537782e-06,-1.28881074488163e-05,-1.4079909306019545e-05,-4.4130138121545315e-06,-4.534143954515457e-06,3.7404242902994156e-06,9.996583685278893e-07,-1.6413512639701366e-05,-2.1173967979848385e-05
2,6.788584869354963e-06,-5.274079740047455e-06,3.852252848446369e-05,2.250057877972722e-05,7.141614332795143e-06,-2.091639908030629e-05,-1.8042512238025665e-05,-6.916932761669159e-06,1.9925646483898163e-06,5.6299613788723946e-06,1.2203818187117577e-06,-1.8771854229271412e-05,-2.0528212189674377e-05
3,2.238288288936019e-05,4.25736652687192e-06,3.514555282890797e-05,1.8028891645371914e-05,6.072572432458401e-06,-1.8385588191449642e-05,-1.0775751434266567e-05,-3.6358251236379147e-06,-4.291767254471779e-06,1.8220162019133568e-06,-1.3562384992837906e-06,-1.621735282242298e-05,-1.6168225556612015e-05
4,1.9141880329698324e-05,-1.1061376426368952e-05,4.893937148153782e-05,3.749795723706484e-05,1.445284578949213e-05,-1.2593518476933241e-05,-1.0390824172645807e-05,6.353366188704967e-07,-3.239954821765423e-06,-8.621602319180965e-06,-1.389684621244669e-05,-2.949975896626711e-05,-2.8018606826663017e-05
5,-1.3040844351053238e-06,9.072478860616684e-06,7.337878923863173e-05,2.8969079721719027e-05,1.2278207577764988e-05,-1.0233372449874878e-05,-1.244124723598361e-05,-1.422304194420576e-06,-8.599774446338415e-06,-1.6435980796813965e-05,-2.005568239837885e-05,-3.0367053113877773e-05,-2.5258399546146393e-05
6,-2.9482762329280376e-06,-9.289942681789398e-06,5.5065087508410215e-05,2.666760701686144e-05,6.337766535580158e-06,-1.7031969036906958e-05,-1.4673860277980566e-05,-4.404748324304819e-06,-2.098735421895981e-06,-6.903894245624542e-06,-1.238449476659298e-05,-2.4141743779182434e-05,-2.2766354959458113e-05
7,-2.2798776626586914e-06,-2.8378621209412813e-05,6.072683027014136e-05,3.095332067459822e-05,-3.866676706820726e-06,-2.2617809008806944e-05,-7.5026764534413815e-06,-8.849194273352623e-06,-1.6569392755627632e-06,1.6008270904421806e-06,-4.168949089944363e-06,-1.867732498794794e-05,-2.0146253518760204e-05
8,8.30844510346651e-06,-9.240582585334778e-06,4.643487045541406e-05,1.8527193162753974e-05,3.17208468914032e-06,-1.5393015928566456e-06,8.674105629324913e-06,-1.9884901121258736e-06,-8.865958079695702e-06,-1.3415585272014141e-05,-1.4950870536267757e-05,-2.114451490342617e-05,-2.1522107999771833e-05
9,3.2766256481409073e-06,2.395885530859232e-05,4.118867218494415e-05,2.1688290871679783e-05,4.3361796997487545e-06,3.3231917768716812e-06,3.138382453471422e-06,2.7879723347723484e-06,-5.3826370276510715e-06,-1.5078228898346424e-05,-1.91486906260252e-05,-2.555549144744873e-05,-2.3078289814293385e-05
10,-1.6638892702758312e-05,4.2828964069485664e-05,3.617512993514538e-05,1.7115671653300524e-05,-5.737005267292261e-06,-3.1531089916825294e-06,-1.4877296052873135e-06,-1.6817939467728138e-06,-2.3317988961935043e-06,-9.320676326751709e-06,-1.3968674466013908e-05,-1.9453349523246288e-05,-1.7370970454066992e-05
11,-1.4101096894592047e-05,5.464063724502921e-05,1.233664806932211e-05,1.1031865142285824e-05,-9.859446436166763e-06,3.7538702599704266e-06,1.24023063108325e-06,8.529168553650379e-07,-5.497131496667862e-07,-6.634043529629707e-06,-1.2517732102423906e-05,-2.2372114472091198e-05,-2.4057284463196993e-05
12,-5.844223778694868e-06,3.022310556843877e-05,1.1665630154311657e-05,1.6630743630230427e-05,-3.882800228893757e-06,7.2810216806828976e-06,5.867157597094774e-06,1.569860614836216e-07,-1.5896977856755257e-05,-1.7044367268681526e-05,-1.4056684449315071e-05,-1.7279991880059242e-05,-2.6616966351866722e-05
13,9.181152563542128e-06,1.894001616165042e-05,8.52264929562807e-06,8.415488991886377e-06,-4.293397068977356e-06,1.568871084600687e-05,-1.552922185510397e-06,-4.649569746106863e-06,-1.1172611266374588e-05,-1.1233147233724594e-05,-1.0936055332422256e-05,-2.180878072977066e-05,-2.7156667783856392e-05
14,8.226488716900349e-07,5.691626574844122e-05,6.9338129833340645e-06,4.666508175432682e-06,-1.5735859051346779e-06,-1.4323159120976925e-06,-1.5020370483398438e-05,-1.2706092093139887e-05,-2.7645728550851345e-06,2.3435568436980247e-06,-1.1594966053962708e-07,-1.7213518731296062e-05,-2.6577734388411045e-05
15,5.579553544521332e-06,6.891845259815454e-05,4.403525963425636e-06,-2.821790985763073e-06,-1.8291175365447998e-06,-6.288290023803711e-06,-1.2880249414592981e-05,-1.18901371024549e-05,3.657187335193157e-07,-1.889304257929325e-06,-3.759050741791725e-06,-1.376273576170206e-05,-2.4495297111570835e-05
16,1.1061158147640526e-05,4.826037911698222e-05,1.5806988812983036e-05,-6.295391358435154e-06,-1.4535384252667427e-05,-5.505222361534834e-06,3.3749383874237537e-06,2.9074144549667835e-06,-2.1903542801737785e-07,-7.190625183284283e-06,-1.0529882274568081e-05,-2.3296335712075233e-05,-2.8823385946452618e-05
