,tot_Prec_Intg
0,1209.8705768585205
1,1103.3836752176285
2,983.5482388734818
3,869.259312748909
4,723.7967103719711
5,644.1947817802429
6,471.3389277458191
7,274.4944393634796
8,226.6336977481842
9,210.16590297222137
10,418.57175529003143
11,444.5949196815491
12,408.8743031024933
13,316.96900725364685
14,209.1093361377716
15,252.4593472480774
16,253.69442999362946
17,309.7769618034363
18,367.07013845443726
19,500.8567124605179
20,478.3763736486435
21,508.09159874916077
22,596.7731773853302
23,557.2385340929031
24,470.2102392911911
25,589.3293768167496
26,779.239758849144
27,723.010003566742
28,590.1215970516205
29,656.5328687429428
30,399.41780269145966
31,394.8194533586502
32,320.0078010559082
33,311.31282448768616
34,365.033894777298
35,356.4491868019104
36,384.33998823165894
37,470.7957059144974
38,446.2210088968277
39,321.32357358932495
40,295.4915165901184
