,Pmin
0,1001.733125
1,1003.043125
2,1003.23625
3,1000.035625
4,999.739375
5,1000.781875
6,999.370625
7,996.70875
8,996.56375
9,997.2375
10,997.15
11,995.62
12,994.880625
13,996.60375
14,996.80625
15,994.0375
16,993.203125
17,993.944375
18,993.1875
19,991.515
20,993.055625
21,994.561875
22,996.654375
23,993.29
24,995.286875
25,995.7275
26,996.526875
27,995.784375
28,996.339375
29,998.113125
30,997.78
31,996.20625
32,996.53375
33,999.470625
34,1000.37125
35,999.14375
36,999.385
37,1001.2675
38,1001.86375
39,1000.175625
40,1000.465625
41,1001.9175
42,1001.4775
43,1000.366875
44,999.22
45,1001.98625
46,1003.39375
47,1001.813125
48,1002.9675
49,1004.806875
50,1005.07375
51,1002.215625
