,Pmin
0,1006.60375
1,1003.94
2,1004.05625
3,1006.15375
4,1005.106875
5,1003.2775
6,1003.989375
7,1005.53375
8,1004.8175
9,1002.486875
10,1002.608125
11,1003.676875
12,1003.206875
13,1001.02125
14,1000.848125
15,1002.60625
16,1001.90125
17,998.8075
18,997.0425
19,998.87625
20,997.87125
21,994.98125
22,991.658125
23,991.526875
24,989.04625
25,986.698125
26,985.225
27,987.684375
28,987.138125
29,983.689375
30,981.4925
31,980.803125
32,976.2375
33,974.953125
34,975.39
35,978.713125
36,978.96125
37,975.7275
38,975.39625
39,975.93
40,976.054375
