,tot_Prec_max
0,6.90460205078125
1,6.354808807373047
2,5.572319030761719
3,6.739139556884766
4,7.807254791259766
5,7.495403289794922
6,8.404254913330078
7,6.5059661865234375
8,7.54547119140625
9,7.222175598144531
10,6.598472595214844
11,7.506847381591797
12,6.753444671630859
13,8.084297180175781
14,6.4411163330078125
15,7.005214691162109
16,7.230281829833984
17,8.27646255493164
18,12.99905776977539
19,15.201568603515625
20,17.790794372558594
21,24.95098114013672
22,14.162540435791016
23,15.955924987792969
24,13.76485824584961
25,12.538909912109375
26,16.076087951660156
27,17.670154571533203
28,16.422271728515625
29,16.782760620117188
30,16.61205291748047
31,11.507987976074219
32,12.976646423339844
33,18.49365234375
34,18.077850341796875
35,18.00537109375
36,16.969680786132812
37,14.416694641113281
38,16.711711883544922
39,17.734050750732422
40,18.564701080322266
41,17.015933990478516
42,24.182796478271484
43,26.435375213623047
