,tot_Prec_Intg
0,627.1199882030487
1,471.9182848930359
2,472.84260392189026
3,449.7756063938141
4,368.3696687221527
5,355.0463169813156
6,422.6159304380417
7,555.2290380001068
8,691.9839978218079
9,839.0897512435913
10,701.7233967781067
11,568.2770907878876
12,533.1186950206757
13,776.902586221695
14,658.503845334053
15,589.4604325294495
16,549.1260439157486
17,510.94166934490204
18,770.532414317131
19,884.5637738704681
20,910.7986092567444
21,791.9569313526154
22,701.77361369133
23,707.118958234787
24,903.6709368228912
25,830.0933241844177
26,861.639529466629
27,922.6296097040176
28,1051.8386960029602
29,731.3060015439987
30,499.82428550720215
31,588.560551404953
32,737.3057305812836
33,870.7331120967865
34,981.4454615116119
35,939.7377818822861
36,923.7139672040939
37,1003.304049372673
38,708.7945193052292
39,641.3016468286514
40,760.1362466812134
41,838.9794081449509
42,674.3862479925156
43,567.0829862356186
44,700.995996594429
45,866.437554359436
46,720.8888977766037
47,613.6494874954224
48,658.1556797027588
49,748.2689619064331
50,795.7027852535248
51,944.5749968290329
52,1010.0121051073074
53,844.0081775188446
54,632.7158957719803
55,625.523179769516
56,754.1757822036743
57,769.035592675209
58,838.2302522659302
59,879.7618746757507
60,790.4747128486633
