,w10max
0,12.837392807006836
1,13.918336868286133
2,16.681175231933594
3,15.937311172485352
4,15.358919143676758
5,14.71058177947998
6,15.939665794372559
7,16.168609619140625
8,17.20476722717285
9,18.48954963684082
10,18.40326499938965
11,17.032272338867188
12,16.977718353271484
13,17.83512306213379
14,20.381162643432617
15,21.968015670776367
16,20.63751792907715
17,23.201852798461914
18,20.719932556152344
19,20.39183807373047
20,22.056987762451172
21,21.209571838378906
22,21.074291229248047
23,21.88096046447754
24,22.90642547607422
25,23.578914642333984
26,24.136295318603516
27,25.72254180908203
28,24.106182098388672
29,22.305025100708008
30,22.96461296081543
31,23.14681053161621
32,22.426427841186523
33,20.32269859313965
34,21.728565216064453
35,22.761837005615234
36,22.298376083374023
37,21.53260040283203
38,23.267839431762695
39,23.636669158935547
40,22.47208595275879
41,22.217844009399414
42,22.762767791748047
43,23.202341079711914
44,21.32825469970703
45,19.994796752929688
46,20.67647933959961
47,21.12147331237793
48,21.565202713012695
49,20.637928009033203
50,17.161409378051758
51,17.706260681152344
52,18.029338836669922
53,16.843175888061523
54,16.656570434570312
