,Prec_max
0,5.151987075805664
1,8.270645141601562
2,4.956722259521484
3,5.7369232177734375
4,5.052852630615234
5,5.563974380493164
6,4.420280456542969
7,2.963733673095703
8,2.943134307861328
9,4.557180404663086
10,5.700445175170898
11,5.543804168701172
12,5.686712265014648
13,6.745433807373047
14,5.508613586425781
15,5.109071731567383
16,4.936552047729492
17,4.46019172668457
18,5.632638931274414
19,29.137802124023438
20,34.74383354187012
21,8.700227737426758
22,7.186174392700195
23,8.953857421875
24,11.1785888671875
25,9.29718017578125
26,5.284595489501953
27,7.656526565551758
28,9.737062454223633
29,7.996845245361328
30,5.95707893371582
31,5.7300567626953125
32,5.3043365478515625
33,6.771612167358398
34,8.374929428100586
35,5.353260040283203
36,5.632209777832031
37,5.53736686706543
38,6.345033645629883
39,6.312417984008789
40,4.246044158935547
41,7.164716720581055
42,8.344888687133789
43,3.0869007110595703
44,5.079030990600586
45,3.2834529876708984
46,4.229736328125
47,12.417984008789062
48,18.13344955444336
49,18.247604370117188
50,19.357824325561523
51,20.32470703125
52,22.249460220336914
53,24.26605224609375
54,26.03888511657715
55,28.446006774902344
56,26.96070671081543
57,21.189022064208984
58,19.569826126098633
59,11.99955940246582
60,16.500520706176758
61,10.329294204711914
62,7.965087890625
63,5.450248718261719
64,1.7578125
65,0.9007930755615234
66,2.077960968017578
67,0.9377002716064453
68,0.42014122009277344
69,1.1909008026123047
70,2.5281429290771484
71,4.347324371337891
72,3.9971351623535156
73,7.1136474609375
74,6.646728515625
75,7.228660583496094
