,Prec_max
0,4.324579238891602
1,24.154043197631836
2,26.61266326904297
3,26.174497604370117
4,11.276435852050781
5,16.715526580810547
6,13.402032852172852
7,8.560323715209961
8,9.520769119262695
9,13.38357925415039
10,13.74964714050293
11,15.068864822387695
12,14.561605453491211
13,5.768680572509766
14,8.96759033203125
15,9.525489807128906
16,10.342597961425781
17,11.660957336425781
18,20.21012306213379
19,25.72474479675293
20,13.837194442749023
21,18.351030349731445
22,23.697423934936523
23,28.45287322998047
24,27.86107063293457
25,32.465457916259766
26,14.32342529296875
27,18.907642364501953
28,20.865440368652344
29,15.92717170715332
30,15.05899429321289
31,12.649726867675781
32,11.536502838134766
33,11.659669876098633
34,11.460542678833008
35,11.291885375976562
36,12.712812423706055
37,12.970733642578125
38,14.849567413330078
39,14.901065826416016
40,13.8427734375
41,16.9313907623291
42,18.050193786621094
43,17.949771881103516
44,16.50824546813965
45,19.910144805908203
46,21.303606033325195
47,20.610523223876953
48,30.614948272705078
49,35.57896614074707
50,28.84812355041504
51,21.743059158325195
52,23.191452026367188
53,20.2847957611084
54,27.153825759887695
55,27.043533325195312
56,21.616029739379883
57,9.67397689819336
58,4.744291305541992
59,7.545375823974609
60,9.902286529541016
61,9.45897102355957
62,8.8714599609375
63,5.095767974853516
